"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",0,0,1,2
"3",0,0,1,2
"4",1,1,2,1
"5",0,0,1,2
"6",0,1,2,1
"7",1,0,1,2
"8",0,1,1,2
"9",0,1,1,2
"10",1,1,2,1
"11",1,0,1,2
"12",1,1,2,1
"13",1,0,1,2
"14",0,1,1,2
"15",0,1,2,1
"16",0,1,2,1
"17",1,0,1,2
"18",1,0,1,2
"19",1,0,1,2
"20",0,1,1,2
"21",1,1,2,1
"22",0,1,1,2
"23",0,0,1,2
"24",0,0,1,2
"25",1,0,1,2
"26",0,0,2,1
"27",0,0,1,2
"28",0,0,1,2
"29",1,0,1,2
"30",0,1,1,2
"31",1,1,2,1
"32",1,1,2,1
"33",1,1,2,1
"34",1,0,1,2
"35",0,0,1,2
"36",1,1,2,1
"37",1,0,1,2
"38",1,0,1,2
"39",0,0,2,1
"40",1,1,2,1
"41",1,1,2,1
"42",1,1,2,1
"43",1,1,2,1
"44",1,0,1,2
"45",1,1,2,1
"46",1,0,1,2
"47",1,1,2,1
"48",1,0,1,2
"49",0,1,1,2
"50",1,0,1,2
"51",0,1,1,2
"52",1,0,2,1
"53",0,0,1,2
"54",0,0,1,2
"55",0,1,1,2
"56",1,1,2,1
"57",1,1,2,1
"58",1,0,1,2
"59",0,1,1,2
"60",1,1,2,1
"61",1,0,1,2
"62",0,0,1,2
"63",0,1,1,2
"64",0,0,1,2
"65",0,1,1,2
"66",1,1,2,1
"67",0,1,1,2
"68",1,1,2,1
"69",1,1,2,1
"70",0,1,1,2
"71",1,1,2,1
"72",1,1,2,1
"73",0,1,1,2
"74",0,0,1,2
"75",0,0,1,2
"76",0,1,2,1
"77",0,0,2,1
"78",0,0,1,2
"79",0,1,1,2
"80",0,0,1,2
"81",0,0,1,2
"82",0,1,1,2
"83",1,1,2,1
"84",1,1,2,1
"85",0,0,1,2
"86",1,1,2,1
"87",0,0,1,2
"88",1,1,2,1
"89",1,1,2,1
"90",1,1,2,1
"91",1,0,1,2
"92",1,0,1,2
"93",0,1,1,2
"94",1,0,1,2
"95",1,0,1,2
"96",0,0,1,2
"97",1,0,1,2
"98",1,0,2,1
"99",1,1,2,1
"100",0,0,1,2
"101",0,1,1,2
"102",1,0,1,2
"103",1,1,2,1
"104",1,1,2,1
"105",1,1,2,1
"106",0,0,1,2
"107",0,1,2,1
"108",0,0,1,2
"109",1,1,2,1
"110",0,1,1,2
"111",0,1,1,2
"112",0,0,1,2
"113",0,1,1,2
"114",0,0,1,2
"115",1,1,2,1
"116",1,1,2,1
"117",0,1,1,2
"118",1,1,2,1
"119",0,1,1,2
"120",0,1,1,2
"121",0,0,1,2
"122",0,1,1,2
"123",1,0,1,2
"124",0,0,1,2
"125",0,1,1,2
"126",1,0,1,2
"127",1,0,1,2
"128",1,1,2,1
"129",0,0,1,2
"130",0,1,1,2
"131",1,0,1,2
"132",1,0,1,2
"133",0,0,1,2
"134",0,0,1,2
"135",1,1,2,1
"136",1,0,2,1
"137",1,1,2,1
"138",0,1,1,2
"139",1,0,1,2
"140",1,0,1,2
"141",0,0,1,2
"142",0,0,1,2
"143",0,1,1,2
"144",1,1,2,1
"145",0,0,1,2
"146",0,1,1,2
"147",0,0,1,2
"148",1,1,2,1
"149",1,0,1,2
"150",0,1,1,2
"151",0,0,1,2
"152",0,0,1,2
"153",0,0,1,2
"154",0,1,1,2
"155",1,0,1,2
"156",1,1,2,1
"157",1,0,1,2
"158",1,0,1,2
"159",1,0,1,2
"160",1,1,2,1
"161",0,0,1,2
"162",0,0,1,2
"163",0,1,1,2
"164",1,0,1,2
"165",0,0,1,2
"166",1,1,2,1
"167",0,0,1,2
"168",1,1,2,1
"169",1,0,1,2
"170",0,1,1,2
"171",0,1,1,2
"172",1,0,1,2
"173",0,0,1,2
"174",1,1,2,1
"175",1,1,2,1
"176",0,0,1,2
"177",1,0,1,2
"178",1,0,1,2
"179",0,1,1,2
"180",0,0,1,2
"181",1,0,1,2
"182",0,0,1,2
