"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,0,1,0,0,0,1,1,3,2,4,5,6,7,8
"2",0,1,0,0,1,1,0,1,3,1,2,4,5,7,6,8
"3",1,0,1,0,1,1,0,0,1,2,3,4,5,7,6,8
"4",0,1,1,1,0,0,0,0,1,2,3,4,6,8,7,5
"5",0,1,0,0,0,0,1,0,1,2,3,6,4,8,5,7
"6",1,0,1,1,0,1,0,0,1,3,2,4,5,6,8,7
"7",1,0,0,0,1,0,1,1,1,2,3,4,5,6,7,8
"8",1,0,0,1,1,0,1,1,1,2,3,4,6,5,8,7
"9",0,0,0,1,0,0,0,1,1,2,6,3,5,4,8,7
"10",1,1,1,0,1,1,0,0,2,1,4,3,6,5,8,7
"11",1,0,0,0,1,1,1,1,1,3,2,4,5,6,7,8
"12",0,1,1,1,1,0,1,0,1,2,3,4,5,7,6,8
"13",1,1,0,0,1,1,0,1,2,1,4,3,6,5,8,7
"14",1,0,0,0,0,1,1,0,1,2,3,4,6,5,8,7
"15",1,0,1,0,0,0,0,1,1,2,3,4,5,7,6,8
"16",0,1,0,1,1,1,1,1,1,2,4,3,5,6,7,8
"17",1,1,1,1,0,0,1,0,2,1,4,3,6,5,8,7
"18",0,1,1,1,0,1,0,0,1,2,3,5,4,6,7,8
"19",0,1,1,0,1,1,1,1,1,2,3,6,4,5,7,8
"20",1,1,0,1,0,0,0,0,2,1,4,3,6,5,8,7
"21",0,0,1,1,0,0,0,1,1,3,2,5,4,8,7,6
"22",1,1,1,1,1,1,0,1,2,1,4,3,6,5,8,7
"23",0,1,0,0,0,0,0,0,1,2,3,4,5,6,7,8
"24",1,0,1,0,0,0,1,0,1,2,3,5,4,7,8,6
"25",0,1,1,1,1,0,0,1,2,1,3,5,4,7,6,8
"26",1,0,1,1,1,0,1,0,1,2,3,8,5,4,6,7
"27",1,1,1,0,0,1,0,1,2,1,4,3,6,5,8,7
"28",1,1,1,0,1,1,0,0,2,1,4,3,6,5,8,7
"29",0,1,0,0,0,0,1,0,2,1,3,6,4,5,7,8
"30",0,1,0,0,0,1,0,0,1,2,3,4,5,6,7,8
"31",1,0,1,0,0,1,1,1,1,4,2,3,7,6,5,8
"32",1,1,0,0,0,1,0,0,2,1,4,3,6,5,8,7
"33",0,1,0,1,1,0,1,1,1,2,3,4,5,6,7,8
"34",0,1,0,0,1,1,1,1,1,2,3,4,5,6,7,8
"35",0,0,0,1,0,0,1,0,1,2,3,4,6,5,7,8
"36",1,0,1,1,0,0,1,1,1,2,3,7,5,4,8,6
"37",1,0,0,1,0,1,0,0,1,2,3,5,4,6,7,8
"38",0,1,1,0,0,1,1,1,1,2,3,5,4,6,7,8
"39",1,1,0,0,1,1,0,1,2,1,4,3,6,5,8,7
"40",0,0,1,1,0,0,1,0,1,2,3,5,6,4,7,8
"41",0,1,1,1,1,0,0,0,1,2,3,4,7,5,6,8
"42",0,1,1,0,0,1,1,0,1,2,3,4,5,7,6,8
"43",0,1,1,0,0,0,1,1,1,2,3,4,5,7,6,8
"44",1,1,0,0,1,1,0,0,2,1,4,3,6,5,8,7
"45",0,0,1,0,1,0,1,1,1,2,3,4,7,5,6,8
"46",1,1,1,1,0,0,0,1,2,1,4,3,6,5,8,7
"47",1,0,0,0,1,0,1,1,1,2,3,5,4,7,8,6
"48",1,0,1,0,1,0,1,1,1,2,3,4,6,5,7,8
"49",1,0,1,0,1,0,0,1,1,2,3,4,7,6,5,8
"50",0,1,0,1,0,1,1,1,1,2,3,6,5,8,4,7
"51",0,1,1,1,1,0,0,0,1,2,3,4,6,7,5,8
"52",1,1,1,1,0,1,0,1,2,1,4,3,6,5,8,7
"53",0,0,0,0,1,1,0,1,1,2,3,5,4,8,6,7
"54",1,1,0,1,0,0,1,0,2,1,4,3,6,5,8,7
"55",0,1,1,1,0,1,0,1,2,1,3,4,5,8,7,6
"56",0,1,1,0,1,1,0,1,1,2,3,4,6,5,7,8
"57",0,0,0,1,0,1,1,1,1,4,2,3,7,5,6,8
"58",0,0,0,1,0,1,0,0,1,2,3,4,5,6,8,7
"59",0,0,0,0,0,1,0,0,1,2,3,4,8,6,7,5
"60",0,0,0,0,0,1,0,0,1,2,3,4,7,5,6,8
"61",0,0,1,0,1,0,1,0,1,2,3,5,6,4,8,7
"62",1,0,0,1,1,0,0,0,1,2,3,4,5,6,7,8
"63",1,1,1,1,0,1,1,1,2,1,4,3,6,5,8,7
"64",0,1,1,0,1,1,0,0,1,2,3,4,6,5,7,8
"65",0,0,1,1,0,1,0,1,1,2,3,4,5,6,7,8
"66",0,1,1,0,0,0,0,0,1,3,2,4,5,7,6,8
"67",0,0,0,1,0,1,1,0,2,1,4,3,5,6,7,8
"68",0,1,1,1,0,0,1,1,1,2,3,5,4,6,8,7
"69",0,0,0,0,1,0,0,0,1,2,4,3,6,5,8,7
"70",1,0,0,1,1,1,0,0,1,3,2,4,5,6,7,8
"71",1,0,1,0,0,1,0,0,1,2,3,5,4,8,6,7
"72",1,0,1,0,0,1,0,1,1,2,3,8,5,6,4,7
"73",1,0,0,0,1,1,1,1,1,3,2,4,5,6,7,8
"74",1,0,1,1,1,1,0,1,1,2,3,4,5,7,6,8
"75",0,0,0,1,0,1,0,1,1,2,3,4,5,6,8,7
"76",1,0,0,1,1,1,0,1,1,2,3,5,4,6,8,7
