"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,0,0,1,1,0,1,2,3,4,6,5,10,9,8,12,7,32,11,31,30,29,14,19,16,13,17,20,25,23,15,28,18,22,24,27,21,26
"2",0,1,0,1,0,0,0,1,1,3,2,4,5,8,6,7,10,15,9,26,13,14,12,11,18,25,32,21,17,31,16,30,28,29,24,20,22,19,23,27
"3",0,1,1,0,1,1,1,1,1,3,2,4,5,7,8,6,14,9,28,10,30,13,15,11,12,32,31,17,27,19,26,29,23,24,21,25,20,16,18,22
"4",1,1,0,0,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"5",0,1,0,0,0,1,1,0,1,2,3,4,5,15,8,6,7,9,10,11,19,13,14,12,30,17,29,18,16,32,20,28,25,21,26,23,31,22,27,24
"6",0,1,1,0,1,0,1,0,1,2,4,3,6,8,7,5,10,9,11,16,31,32,30,15,13,12,17,14,29,20,26,18,24,27,28,23,22,19,21,25
"7",0,1,0,1,0,1,0,0,1,2,3,5,4,8,6,7,9,12,32,11,10,20,13,16,23,14,30,15,31,22,18,29,19,17,21,28,27,24,25,26
"8",0,1,1,1,0,0,1,1,1,2,3,4,5,6,8,7,12,10,32,9,11,30,29,31,17,20,14,13,15,24,16,22,19,18,28,26,25,21,27,23
"9",1,1,1,1,0,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"10",1,0,0,1,0,1,1,0,1,2,4,3,5,8,6,12,7,9,10,14,11,32,27,30,16,31,13,17,29,18,15,25,20,28,26,19,22,23,24,21
"11",1,0,1,1,0,0,0,0,1,2,3,4,7,5,6,8,32,18,11,15,12,10,9,16,13,31,14,30,26,27,25,17,19,20,21,29,22,24,23,28
"12",1,1,1,1,0,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13",0,1,1,1,1,1,0,1,1,2,3,4,6,5,8,9,7,13,10,14,12,16,15,11,19,31,17,30,32,23,18,21,28,20,24,26,22,25,27,29
"14",0,0,0,1,1,1,1,0,2,1,3,4,6,5,7,10,17,8,11,29,12,9,14,13,32,27,15,26,31,16,28,30,19,21,20,22,18,24,23,25
"15",0,0,1,1,1,1,1,0,1,2,3,5,4,7,6,9,11,8,10,30,14,15,12,13,16,17,31,26,32,20,19,27,25,18,29,28,23,21,22,24
"16",1,0,0,0,0,0,0,0,1,2,3,4,7,6,5,8,14,10,9,11,12,16,13,15,24,17,19,18,25,32,20,31,30,29,21,28,26,22,23,27
"17",1,1,1,1,0,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"18",1,0,1,0,1,0,0,1,1,2,3,5,4,7,6,9,8,10,11,31,32,12,25,13,26,30,16,28,29,15,14,18,27,24,21,17,20,23,22,19
