"","descriptor1","descriptor2","party1","party2"
"1",0,0,1,2
"2",0,0,1,2
"3",0,1,1,2
"4",1,0,1,2
"5",0,0,1,2
"6",0,1,1,2
"7",1,0,1,2
"8",1,1,2,1
"9",0,1,1,2
"10",0,1,1,2
"11",0,0,1,2
"12",1,0,1,2
"13",0,0,1,2
"14",0,0,2,1
"15",1,1,2,1
"16",0,1,2,1
"17",1,0,1,2
"18",0,1,1,2
"19",1,1,2,1
"20",1,1,2,1
"21",0,1,2,1
"22",1,0,1,2
"23",0,0,1,2
"24",1,1,2,1
"25",1,0,1,2
"26",0,0,1,2
"27",1,0,1,2
"28",0,0,1,2
"29",0,0,1,2
"30",1,1,2,1
"31",0,0,1,2
"32",1,1,2,1
"33",0,1,1,2
"34",1,0,1,2
"35",0,1,1,2
"36",1,1,2,1
"37",0,1,1,2
"38",0,1,1,2
"39",0,1,1,2
"40",1,0,2,1
"41",1,1,2,1
"42",1,0,1,2
"43",1,1,2,1
"44",0,1,1,2
"45",1,0,1,2
"46",1,0,1,2
"47",0,1,1,2
"48",1,1,2,1
"49",0,1,1,2
"50",1,1,2,1
"51",0,0,1,2
"52",0,1,2,1
"53",1,0,1,2
"54",0,1,1,2
"55",1,1,2,1
"56",0,1,2,1
"57",1,1,2,1
"58",0,1,1,2
"59",1,1,2,1
"60",1,0,1,2
"61",1,1,2,1
"62",0,1,1,2
"63",1,1,2,1
"64",0,0,1,2
"65",1,0,1,2
"66",0,1,1,2
"67",1,0,1,2
"68",0,0,1,2
"69",1,0,2,1
"70",1,1,2,1
"71",0,0,1,2
"72",0,1,2,1
"73",0,0,1,2
"74",0,0,2,1
"75",0,0,2,1
"76",1,0,1,2
"77",0,1,1,2
"78",1,1,2,1
"79",1,0,1,2
"80",1,0,1,2
"81",1,1,2,1
"82",0,0,1,2
"83",0,0,1,2
"84",0,1,1,2
"85",0,1,1,2
"86",0,1,1,2
"87",1,1,2,1
"88",1,1,2,1
"89",0,0,2,1
"90",0,1,1,2
"91",1,1,2,1
"92",0,1,1,2
"93",0,0,1,2
"94",1,1,2,1
"95",1,1,2,1
"96",1,0,1,2
"97",1,0,1,2
"98",0,0,1,2
"99",1,1,2,1
"100",1,1,2,1
"101",0,1,1,2
"102",1,0,1,2
"103",1,0,1,2
"104",1,0,1,2
"105",1,1,2,1
"106",0,1,1,2
"107",0,0,1,2
"108",0,1,2,1
"109",0,1,1,2
"110",1,1,2,1
"111",1,0,1,2
"112",0,0,1,2
"113",0,0,1,2
"114",1,1,2,1
"115",0,1,1,2
"116",1,1,2,1
"117",0,0,1,2
"118",0,0,2,1
"119",1,0,1,2
"120",1,1,2,1
"121",1,0,1,2
"122",1,0,1,2
"123",0,0,1,2
"124",1,0,1,2
"125",0,0,1,2
"126",0,1,1,2
"127",1,1,2,1
"128",1,0,1,2
"129",1,1,2,1
"130",0,0,1,2
"131",1,1,2,1
"132",0,1,1,2
"133",0,0,1,2
"134",1,0,2,1
"135",0,1,1,2
"136",0,0,1,2
"137",1,0,1,2
"138",0,0,1,2
"139",0,1,1,2
"140",1,1,2,1
"141",1,0,1,2
"142",1,0,1,2
"143",1,1,2,1
"144",1,1,2,1
"145",1,0,1,2
"146",0,0,1,2
"147",0,0,1,2
"148",0,1,1,2
"149",0,1,1,2
"150",1,1,2,1
"151",0,0,1,2
"152",1,0,1,2
"153",0,0,1,2
"154",0,0,1,2
"155",0,0,1,2
"156",0,0,1,2
"157",0,0,1,2
"158",0,0,1,2
"159",0,1,1,2
"160",0,0,1,2
"161",0,0,1,2
"162",1,0,1,2
"163",1,0,1,2
"164",1,1,2,1
"165",0,0,1,2
"166",1,0,1,2
"167",0,1,1,2
"168",0,0,1,2
"169",1,1,2,1
"170",1,0,1,2
"171",0,1,1,2
"172",0,0,1,2
"173",0,1,1,2
"174",1,1,2,1
"175",0,0,1,2
"176",0,1,1,2
"177",0,0,1,2
"178",0,0,1,2
"179",1,1,2,1
"180",1,0,1,2
"181",1,1,2,1
"182",1,1,2,1
"183",0,1,1,2
"184",1,1,2,1
"185",0,1,2,1
"186",0,1,1,2
"187",1,0,1,2
"188",1,0,2,1
