"","descriptor1","descriptor2","party1","party2"
"1",1,0,1,2
"2",0,0,1,2
"3",1,1,2,1
"4",0,1,1,2
"5",1,0,1,2
"6",1,0,1,2
"7",1,0,1,2
"8",0,1,1,2
"9",0,1,1,2
"10",0,0,1,2
"11",1,1,2,1
"12",1,0,2,1
"13",0,1,2,1
"14",1,0,1,2
"15",1,1,2,1
"16",1,0,1,2
"17",0,0,1,2
"18",0,0,2,1
"19",0,0,1,2
"20",0,1,1,2
"21",1,1,2,1
"22",0,0,1,2
"23",0,0,2,1
"24",0,1,1,2
"25",1,0,1,2
"26",0,1,1,2
"27",0,0,1,2
"28",1,0,1,2
"29",0,1,1,2
"30",0,0,1,2
"31",0,0,1,2
"32",0,0,1,2
"33",0,1,1,2
"34",0,0,1,2
"35",1,0,1,2
"36",1,0,1,2
"37",0,0,1,2
"38",1,0,2,1
"39",1,0,1,2
"40",0,0,2,1
"41",0,0,1,2
"42",1,0,1,2
"43",1,1,2,1
"44",1,0,1,2
"45",0,0,1,2
"46",0,0,1,2
"47",0,1,1,2
"48",0,1,1,2
"49",1,0,1,2
"50",1,1,2,1
"51",0,1,1,2
"52",1,1,2,1
"53",0,0,1,2
"54",0,0,1,2
"55",1,1,2,1
"56",1,0,1,2
"57",1,0,1,2
"58",1,1,2,1
"59",0,0,2,1
"60",1,1,2,1
"61",1,0,1,2
"62",1,0,1,2
"63",1,1,2,1
"64",0,1,1,2
"65",1,0,1,2
"66",1,0,2,1
"67",0,0,1,2
"68",0,0,1,2
"69",1,0,1,2
"70",0,1,1,2
"71",0,0,1,2
"72",0,1,1,2
"73",1,0,1,2
"74",0,0,1,2
"75",1,0,2,1
"76",1,0,2,1
"77",1,1,2,1
"78",1,1,2,1
"79",1,1,2,1
"80",0,0,1,2
"81",1,0,1,2
"82",0,0,1,2
"83",1,0,2,1
"84",1,1,2,1
"85",1,1,2,1
"86",1,1,2,1
"87",0,0,2,1
"88",1,0,1,2
"89",1,1,2,1
"90",0,0,1,2
"91",1,1,2,1
"92",0,1,1,2
"93",1,0,1,2
"94",1,1,2,1
"95",0,0,1,2
"96",1,0,1,2
"97",1,0,1,2
"98",1,1,2,1
"99",0,0,1,2
"100",0,1,1,2
"101",0,0,1,2
"102",1,0,1,2
"103",1,1,2,1
"104",0,0,1,2
"105",1,0,1,2
"106",0,1,1,2
"107",1,0,2,1
"108",1,0,1,2
"109",0,0,1,2
"110",0,1,1,2
"111",0,1,1,2
"112",1,0,1,2
"113",0,0,1,2
"114",1,0,1,2
"115",0,0,1,2
"116",0,0,1,2
"117",1,0,1,2
"118",0,1,1,2
"119",0,0,1,2
"120",1,1,2,1
"121",1,1,2,1
"122",0,0,1,2
