"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,2,4,3,13,5,6,7,9,8,11,19,32,12,10,14,16,21,18,15,17,31,30,27,28,25,29,24,20,26,22,23
"2",0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,2,3,4,5,7,6,11,8,12,10,9,14,32,13,20,31,30,18,24,17,16,15,19,26,21,29,23,22,25,28,27
"3",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,2,3,5,6,32,4,7,8,10,11,9,12,19,31,29,30,14,15,27,17,26,23,28,13,18,20,22,16,24,25,21
"4",0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,2,3,4,5,6,32,7,9,10,30,12,11,8,13,28,29,15,27,14,22,31,26,20,24,17,18,25,16,23,19,21
"5",0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,2,1,3,4,7,5,6,8,9,10,13,14,11,15,32,26,12,27,30,31,29,28,16,19,23,17,25,22,20,18,24,21
"6",0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,3,2,5,4,6,7,9,10,32,31,8,11,12,17,15,19,30,14,13,16,18,26,29,20,22,28,25,27,23,21,24
"7",1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,2,5,3,4,6,10,8,7,9,16,32,11,12,13,19,31,18,15,14,28,27,29,30,20,23,26,17,21,25,24,22
"8",0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,2,3,5,4,6,10,7,9,8,11,14,12,31,15,32,13,30,16,17,26,28,27,25,29,22,18,19,21,24,20,23
"9",0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,3,4,7,5,9,6,8,12,13,10,32,15,17,16,11,28,29,14,18,24,31,30,21,27,25,19,26,22,20,23
"10",1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,2,3,4,6,7,5,8,13,30,31,9,10,32,20,12,11,18,14,22,29,27,15,19,17,28,16,25,23,24,26,21
"12",0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,2,1,3,5,6,4,8,11,7,9,10,31,12,15,32,27,29,14,16,28,30,13,17,22,23,18,26,19,20,25,21,24
"13",1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,2,3,5,4,7,15,6,8,30,10,9,27,32,12,11,13,29,18,25,16,31,14,28,21,26,17,23,19,24,20,22
"14",0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,3,4,5,6,8,7,11,9,32,30,10,16,13,29,31,12,17,14,15,28,21,22,27,20,23,26,24,19,25,18
"15",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,2,3,4,5,7,6,10,9,8,11,12,29,32,16,18,13,28,30,15,31,17,14,21,27,20,26,22,25,19,23,24
"16",0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,3,2,4,6,5,9,7,8,10,12,11,14,15,17,13,18,19,16,21,25,20,23,26,22,29,27,32,28,24,31,30
"17",0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,2,5,3,4,6,7,9,11,10,15,8,32,14,17,12,13,25,18,29,28,16,31,21,26,23,22,20,30,19,27,24
"18",0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,2,3,4,5,6,8,7,11,12,25,10,30,13,9,31,27,15,32,16,20,14,29,23,22,26,17,28,24,18,21,19
"19",1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,2,4,6,32,5,8,7,9,15,10,13,11,12,14,30,31,17,21,20,18,26,16,25,24,19,29,23,28,27,22
"20",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,2,4,3,5,9,6,8,7,32,12,10,11,14,21,31,13,30,15,29,16,17,20,18,28,19,27,22,26,25,24,23
"22",1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"23",1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,2,1,4,3,5,7,6,12,9,13,8,32,10,16,11,15,14,31,21,19,20,18,17,29,24,30,26,28,22,27,23,25
"24",1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,2,3,4,5,7,8,9,6,10,11,15,28,12,18,31,14,13,32,16,24,26,17,25,27,23,29,19,30,20,22,21
"25",1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"26",1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,3,4,6,9,5,8,7,32,10,14,21,11,30,31,15,12,27,29,13,23,24,28,16,26,20,25,19,22,17,18
"27",0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,2,3,5,4,6,7,8,13,9,26,22,11,15,16,12,31,10,32,29,21,18,28,24,14,20,30,17,25,23,27,19
"28",0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,2,3,4,5,7,6,8,10,11,13,12,14,9,24,16,28,15,17,27,21,18,22,32,20,31,26,30,25,19,23,29
"29",0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,5,3,4,6,7,9,8,12,13,10,32,31,11,27,22,30,14,16,19,28,25,15,21,29,26,23,20,17,18,24
"30",0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,1,3,4,6,5,9,7,8,12,14,32,11,13,10,16,15,20,25,18,21,28,31,17,19,27,30,24,26,22,29,23
"31",0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,2,4,3,6,5,7,9,15,8,14,20,13,10,12,11,22,18,16,19,17,26,32,21,27,31,23,30,25,29,24,28
"32",0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,2,3,4,5,8,6,7,9,10,16,11,13,17,15,12,18,14,32,31,28,26,30,19,29,27,22,20,24,23,21,25
"33",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"34",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"35",0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,5,4,8,7,32,6,30,31,9,15,11,29,10,16,12,28,14,24,13,27,17,26,20,18,19,23,21,25,22
"36",1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"37",1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,2,4,3,5,6,7,8,9,12,13,10,14,17,11,15,32,16,28,31,29,30,22,25,18,26,23,27,24,21,19,20
"38",0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,2,3,4,6,8,7,9,5,11,10,30,16,32,12,17,13,15,14,18,20,19,25,28,31,23,24,26,29,22,21,27
"39",0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,4,3,5,6,9,7,8,12,11,10,28,14,19,13,15,16,29,32,17,31,18,22,30,23,27,26,24,25,20,21
"40",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,2,3,5,4,6,11,8,31,7,10,9,32,17,15,12,19,30,13,18,22,14,16,29,24,26,23,28,21,27,25,20
"41",0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,3,2,4,5,6,7,13,9,10,8,11,14,12,15,19,32,17,31,29,16,30,27,18,28,22,24,21,20,26,25,23
"42",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"43",1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"44",0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,3,5,6,7,4,8,9,10,11,17,13,12,31,16,32,15,14,30,20,23,29,22,26,19,27,21,18,28,24,25
"45",0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,2,3,4,5,6,10,7,8,11,12,9,32,13,31,15,14,16,17,30,27,21,18,19,22,28,20,29,26,25,24,23
"46",0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2,3,4,5,7,6,8,17,9,14,10,11,13,12,15,27,18,28,31,22,24,29,32,26,21,16,30,19,20,23,25
