"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,3,4,5,6,8,7,15,10,9,11,12,16,13,14,20,32,30,19,18,31,24,25,17,23,27,29,21,22,28,26
"3",0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,2,3,4,5,7,10,8,6,9,32,11,12,16,13,19,15,30,31,18,14,17,20,24,23,28,29,21,27,26,22,25
"4",0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,2,3,4,11,5,6,7,8,9,32,10,13,28,12,15,16,14,30,17,18,29,22,26,27,19,31,25,21,20,24,23
"5",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,2,3,4,5,6,7,11,8,27,10,9,12,14,13,15,29,31,28,18,16,32,20,19,17,30,21,24,25,26,23,22
"6",1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,2,3,4,5,8,6,7,11,14,9,10,17,16,13,12,20,30,15,32,31,18,19,24,28,29,21,22,25,27,26,23
"9",0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,2,3,5,4,6,8,7,9,17,22,11,10,14,32,13,26,15,12,30,16,19,28,21,31,29,18,23,25,20,24,27
"10",1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,2,4,3,5,8,6,7,10,11,32,28,9,15,21,24,30,12,14,13,31,26,25,19,27,16,17,22,20,18,29,23
"11",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,2,3,4,5,6,7,8,13,9,10,31,12,11,32,16,15,30,19,17,14,18,20,23,26,28,22,21,29,27,24,25
"12",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
