"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,2,3,5,4,6,7,8,11,9,12,16,10,21,13,14,15,28,32,17,23,18,31,26,29,19,24,20,25,30,22,27
"2",0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,2,3,4,5,8,7,6,9,12,11,10,13,15,14,32,31,17,29,16,28,30,18,24,23,22,27,19,21,25,20,26
"3",0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,3,2,5,4,6,9,7,10,11,12,8,13,15,18,16,14,23,17,22,32,20,31,19,30,24,21,29,25,28,26,27
"4",0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,2,3,4,5,6,29,7,8,30,9,10,32,11,13,18,14,15,28,31,12,25,16,17,27,22,20,24,21,26,19,23
"5",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,2,3,4,5,6,7,9,8,13,12,11,32,10,29,28,27,31,15,19,30,14,24,16,17,22,18,25,26,20,23,21
"6",1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,2,3,4,11,6,7,8,5,10,9,14,12,32,29,31,15,30,13,28,18,16,26,27,17,25,21,20,19,22,24,23
"7",0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,3,2,4,5,6,15,7,9,8,32,12,13,14,10,11,20,22,16,17,18,31,19,27,21,30,28,29,23,26,25,24
"8",1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,2,3,4,6,5,7,10,8,9,32,13,11,16,12,14,17,31,15,18,24,30,29,19,22,25,28,21,20,23,26,27
"9",1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"10",1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,2,3,7,4,5,9,6,8,17,10,11,12,13,32,16,29,15,31,19,14,22,26,24,30,28,25,27,21,20,18,23
"11",0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,2,4,3,5,7,6,10,8,15,9,11,32,30,18,24,27,26,31,29,13,19,12,28,23,14,25,17,22,21,20,16
"12",0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,4,3,5,6,7,8,9,11,32,10,12,13,31,23,14,16,17,15,21,18,19,27,29,30,20,28,22,26,25,24
"13",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
