"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,2,5,3,4,6,7,30,9,32,11,8,13,14,10,12,31,15,16,29,21,25,17,27,28,18,23,19,20,26,24,22
"2",0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,3,2,4,5,9,7,6,32,8,11,31,15,12,18,10,30,17,16,13,21,20,29,19,14,28,22,24,27,23,25,26
"3",0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,2,3,4,5,7,10,6,14,8,12,9,11,26,13,28,27,32,15,17,16,30,31,29,18,19,23,22,25,24,21,20
"4",0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,2,3,9,4,6,14,5,8,7,10,11,13,12,32,17,31,15,24,30,28,25,16,19,26,29,18,20,22,27,23,21
"5",0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,2,4,3,5,7,8,6,10,11,9,32,13,31,12,14,15,27,29,26,17,18,19,20,30,28,16,24,21,25,22,23
"6",1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,2,3,4,6,5,30,13,31,32,7,8,11,9,17,27,14,10,28,29,15,12,18,23,21,19,16,26,24,22,20,25
"8",0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,3,4,5,6,7,9,17,10,32,25,8,12,11,18,29,28,31,24,19,13,15,22,30,26,27,23,20,14,16,21
"9",1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"10",0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,2,3,4,7,8,6,5,18,10,9,11,20,13,12,14,28,32,27,23,31,30,29,15,26,16,17,19,22,25,21,24
"11",1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,2,4,3,6,5,8,11,7,10,12,9,14,18,13,15,25,32,28,30,31,16,17,19,26,29,20,21,23,27,24,22
"12",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,3,2,5,4,10,12,9,6,7,13,8,11,32,29,25,14,19,31,17,15,16,30,24,23,20,18,28,26,27,21,22
"13",1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,2,1,3,4,5,6,8,10,7,12,9,11,13,32,17,22,15,16,21,14,31,18,25,30,29,27,26,28,23,24,19,20
"14",1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,2,4,3,5,6,7,8,9,10,16,32,11,14,13,12,15,31,27,30,19,17,29,18,25,20,28,22,21,23,24,26
"15",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"17",0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,2,3,4,7,5,6,8,9,16,10,15,14,12,31,32,29,11,28,22,13,24,30,17,20,25,19,18,21,26,23,27
