"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,5,4,6,7,9,8,11,15,12,10,13,14,32,16,30,22,27,25,31,19,29,28,17,18,26,21,20,23,24
"2",1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,2,3,4,6,5,7,9,8,11,10,19,17,14,12,32,13,30,28,22,20,31,18,15,16,21,29,25,23,26,24,27
"4",0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2,4,3,5,6,7,32,8,29,31,9,10,17,14,12,11,30,25,15,26,27,13,23,18,24,20,22,28,19,16,21
"5",1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,2,3,6,5,4,8,7,12,13,9,32,10,11,17,15,31,30,14,16,24,19,29,26,23,20,18,21,28,22,25,27
"6",1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,2,3,4,6,5,7,8,9,12,31,32,15,28,10,30,11,13,21,29,17,14,24,22,16,25,18,23,19,27,20,26
"7",0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,3,1,2,4,5,7,6,8,11,9,21,10,31,14,32,12,13,15,27,18,29,30,26,28,16,20,23,24,17,25,19,22
"8",0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,2,3,4,6,5,11,12,7,31,8,9,13,10,18,14,29,15,32,16,27,30,19,17,26,28,24,23,20,25,21,22
"9",1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"10",0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,2,4,3,5,14,9,8,10,12,15,6,7,11,13,20,22,18,24,16,19,31,32,17,30,23,27,21,28,29,26,25
