"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",1,0,1,0,0,1,0,0,1,2
"2",1,0,1,0,1,1,0,0,1,2
"3",1,1,1,0,1,1,1,0,2,1
"4",1,0,1,1,1,1,0,0,1,2
"5",1,0,1,1,0,0,0,1,2,1
"6",1,0,0,0,0,0,1,1,1,2
"7",0,0,1,0,1,0,0,0,1,2
"8",1,0,0,1,1,0,1,0,1,2
"9",0,0,1,1,1,0,0,0,1,2
"10",0,0,1,1,0,0,1,0,1,2
"11",0,1,1,1,1,1,0,1,1,2
"12",0,1,1,1,0,1,1,0,1,2
"13",0,0,1,1,1,0,0,0,1,2
"14",1,0,1,0,0,0,1,1,1,2
"15",1,0,1,0,1,0,1,0,1,2
"16",1,1,0,1,0,1,1,0,2,1
"17",1,1,1,0,0,1,0,0,2,1
"18",0,0,1,1,0,1,0,0,1,2
"19",0,1,0,1,1,1,0,0,1,2
"20",0,1,1,1,0,0,1,1,1,2
"21",0,1,0,1,0,0,1,1,1,2
"22",0,0,0,0,1,0,1,0,1,2
"23",1,1,0,0,0,1,1,0,2,1
"24",0,0,0,1,0,1,1,0,1,2
"25",0,0,1,0,0,1,0,0,1,2
"26",1,0,1,0,1,0,0,0,1,2
"27",1,0,0,1,1,1,1,1,1,2
"28",0,1,0,0,0,1,1,0,1,2
"29",1,1,1,0,1,0,0,1,2,1
"30",0,0,0,1,0,1,0,1,1,2
"31",1,0,1,1,0,1,1,0,1,2
"32",1,0,0,1,1,0,0,1,1,2
"33",1,1,0,0,0,0,0,1,2,1
"34",0,0,1,1,1,0,1,1,1,2
"35",0,0,1,0,0,1,1,1,1,2
"36",1,0,0,1,1,1,0,0,1,2
"37",0,1,0,1,0,0,1,0,1,2
"38",1,1,0,0,0,1,1,1,2,1
"39",1,1,0,1,1,1,1,1,2,1
"40",1,1,0,0,1,1,0,0,2,1
"41",0,0,0,0,0,1,0,1,1,2
"42",1,1,0,0,0,0,1,1,2,1
"43",1,0,0,0,1,0,0,0,1,2
"44",1,0,0,0,1,0,0,0,1,2
"45",1,0,1,0,0,1,0,0,1,2
"46",1,0,1,0,1,1,0,1,1,2
"47",1,0,0,0,1,1,1,0,1,2
"48",0,1,0,1,1,1,1,1,1,2
"49",1,0,0,0,1,1,1,1,1,2
"50",1,0,0,1,0,0,1,0,2,1
"51",0,1,1,1,1,0,0,0,1,2
"52",0,1,1,0,1,0,0,1,1,2
"53",0,0,1,0,1,1,0,1,1,2
"54",0,1,0,0,1,1,1,1,1,2
"55",0,0,0,1,0,1,1,0,1,2
"56",0,0,0,0,0,1,1,1,1,2
"57",1,0,0,1,0,0,0,1,1,2
"58",1,1,0,1,0,1,0,0,2,1
"59",1,1,1,0,0,0,0,1,2,1
"60",1,1,0,0,1,1,0,0,2,1
"61",1,1,0,0,0,1,0,1,2,1
"62",1,0,1,0,0,1,0,0,1,2
"63",1,1,0,1,0,1,0,0,2,1
"64",0,0,0,0,0,0,1,1,1,2
"65",1,0,1,1,1,0,1,0,2,1
"66",0,0,1,0,1,0,1,0,1,2
"67",1,0,0,0,0,0,0,0,2,1
"68",0,0,0,1,0,1,0,0,1,2
"69",0,1,1,0,0,0,0,1,1,2
"70",1,0,1,1,1,0,1,0,1,2
"71",1,1,0,1,0,0,1,1,2,1
"72",0,0,0,0,1,1,1,0,1,2
"73",0,1,0,0,0,1,0,0,1,2
"74",1,0,0,1,0,0,0,0,1,2
"75",0,0,0,0,0,1,0,0,1,2
"76",0,0,0,0,0,0,1,1,1,2
"77",1,1,0,0,0,1,0,1,2,1
"78",1,1,1,1,1,1,0,1,2,1
"79",1,1,1,0,1,1,1,0,2,1
"80",0,1,0,0,0,0,1,1,2,1
"81",0,0,0,1,1,0,0,1,2,1
"82",1,0,0,1,0,0,0,1,1,2
"83",0,0,0,0,1,1,0,0,1,2
"84",0,1,0,0,1,0,0,1,1,2
"85",0,1,1,1,0,1,0,0,1,2
