"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",1,1,1,1,0,0,0,1,2,1
"2",1,1,1,1,0,0,0,0,2,1
"3",0,0,0,0,0,0,0,0,1,2
"4",1,1,0,1,1,0,0,0,2,1
"5",1,1,1,1,0,0,1,0,2,1
"6",0,1,0,0,0,0,0,0,1,2
"7",1,1,1,1,0,0,0,1,2,1
"8",1,1,1,1,1,0,1,1,2,1
"9",0,0,0,1,0,0,0,1,1,2
"10",1,0,0,1,1,0,0,0,1,2
"11",0,0,0,0,0,1,0,1,1,2
"12",1,0,0,1,0,1,0,0,1,2
"13",1,1,0,0,0,0,0,0,2,1
"14",0,1,1,0,1,1,0,1,1,2
"15",1,0,1,1,1,1,1,1,1,2
"16",1,1,0,1,1,1,0,1,2,1
"17",1,1,0,1,0,0,1,0,2,1
"18",1,1,1,1,1,1,0,1,2,1
"19",0,1,0,1,1,0,0,1,1,2
"20",1,0,1,0,1,0,1,1,1,2
"21",1,1,1,0,1,0,0,0,2,1
"22",0,0,1,0,1,1,0,1,1,2
"23",0,1,0,0,0,1,0,0,1,2
"24",0,0,0,0,1,1,1,1,1,2
"25",1,1,0,1,1,0,1,0,2,1
"26",0,0,1,1,1,1,0,1,1,2
"27",1,1,1,1,1,0,1,0,2,1
"28",0,0,0,1,0,1,1,0,1,2
"29",0,1,1,0,0,0,1,1,1,2
"30",0,0,1,0,1,0,1,0,1,2
"31",1,0,0,0,1,0,0,0,1,2
"32",1,0,0,0,0,0,0,0,1,2
"33",1,0,1,0,1,0,0,1,2,1
"34",0,0,1,0,0,1,1,0,1,2
"35",1,0,1,0,1,1,0,1,1,2
"36",1,1,0,0,0,1,1,1,2,1
"37",1,1,0,0,0,1,1,1,2,1
"38",1,1,0,0,0,1,1,0,2,1
"39",1,1,1,0,0,1,0,1,2,1
"40",1,1,1,1,0,1,0,1,2,1
"41",0,1,0,1,0,1,0,1,1,2
"42",1,0,0,1,1,1,1,0,1,2
"43",0,1,0,1,1,1,1,0,1,2
"44",0,0,0,0,0,1,1,1,1,2
"45",1,0,0,1,1,0,1,1,1,2
"46",0,0,1,0,0,0,1,1,1,2
"47",0,1,0,1,1,1,1,0,1,2
"48",1,0,0,1,1,1,1,0,1,2
"49",1,0,1,1,0,1,0,1,1,2
"50",1,0,0,0,0,1,0,1,1,2
"51",0,1,0,0,0,1,0,1,1,2
"52",1,1,0,1,1,0,0,0,2,1
"53",1,0,1,0,0,0,1,1,2,1
"54",0,1,0,1,0,1,1,1,1,2
"55",1,1,0,1,1,0,0,1,2,1
"56",1,1,0,1,0,0,1,1,2,1
"57",0,0,0,1,0,0,1,1,1,2
"58",1,1,0,0,0,0,0,1,2,1
"59",1,1,0,1,1,0,1,0,2,1
"60",0,0,1,1,0,0,0,0,1,2
"61",1,1,1,1,1,0,0,0,2,1
"62",1,1,1,0,0,0,1,0,2,1
"63",0,1,1,0,0,1,0,1,1,2
"64",1,1,0,0,1,0,0,0,2,1
"65",0,1,0,0,0,0,0,1,1,2
"66",1,0,0,1,0,1,0,1,1,2
"67",0,0,0,1,1,1,0,0,1,2
"68",1,0,1,1,1,1,1,0,1,2
"69",0,1,1,1,1,1,1,0,1,2
"70",1,0,1,1,1,1,0,1,1,2
"71",1,0,0,0,0,1,0,1,1,2
"72",0,0,0,0,1,1,1,1,2,1
"73",1,0,0,0,0,0,1,1,1,2
"74",0,1,0,1,0,0,1,0,1,2
"75",0,1,0,1,1,0,1,1,1,2
"76",1,1,1,1,0,1,0,1,2,1
"77",0,0,1,1,0,1,0,0,1,2
"78",0,1,0,1,0,1,1,1,1,2
"79",1,1,0,1,0,0,1,1,2,1
"80",0,0,1,1,1,0,1,1,1,2
"81",1,1,0,1,1,0,1,0,2,1
"82",0,1,0,0,1,1,0,0,1,2
"83",0,1,1,0,1,0,1,1,1,2
"84",1,0,0,1,0,0,0,1,2,1
"85",1,1,1,0,0,1,1,1,2,1
"86",0,0,0,1,0,1,1,0,1,2
"87",0,1,0,0,0,0,0,1,1,2
"88",1,0,0,1,1,1,1,0,1,2
"89",1,1,1,0,0,1,0,1,2,1
"90",1,1,0,0,1,1,1,1,2,1
"91",1,0,0,1,0,0,0,0,1,2
"92",1,0,1,0,0,0,1,0,1,2
"93",0,1,1,0,0,0,0,0,2,1
"94",0,0,1,0,0,1,0,0,1,2
"95",0,0,1,0,0,0,1,1,1,2
"96",0,0,1,1,1,1,0,0,1,2
"97",1,0,1,0,0,0,1,1,1,2
"98",1,0,0,0,1,0,1,1,2,1
"99",0,1,1,0,0,1,1,1,1,2
"100",0,1,1,1,0,1,1,0,1,2
"101",0,1,1,1,0,0,0,0,1,2
"102",0,0,0,1,1,1,0,0,1,2
"103",0,0,1,1,0,0,0,1,1,2
"104",1,0,1,0,1,1,1,0,1,2
"105",0,1,1,1,1,1,1,1,1,2
"106",1,0,1,0,1,1,0,1,1,2
"107",1,1,1,1,1,0,0,0,2,1
"108",0,0,1,0,0,0,1,0,2,1
"109",0,0,0,0,1,1,0,1,1,2
"110",1,0,0,1,0,0,1,1,1,2
"111",1,0,0,1,1,0,0,0,1,2
"112",0,0,0,1,1,0,1,0,2,1
"113",1,0,1,1,1,0,0,1,1,2
"114",0,0,1,1,0,1,0,1,2,1
"115",1,1,0,1,1,0,0,0,2,1
"116",0,0,0,0,0,1,1,0,1,2
"117",1,0,1,0,0,1,0,0,1,2
"118",0,0,1,1,1,1,0,0,1,2
"119",1,1,0,1,0,0,0,0,2,1
"120",0,0,0,1,1,0,0,0,1,2
"121",0,1,1,1,1,1,0,0,1,2
"122",1,0,0,0,0,1,0,0,1,2
"123",1,0,0,1,0,0,1,1,1,2
"124",1,1,0,1,1,0,0,0,2,1
"125",0,0,1,0,0,1,0,0,1,2
"126",0,1,1,1,0,1,1,0,1,2
"127",1,0,1,0,0,1,0,0,1,2
"128",1,1,0,1,0,0,0,0,2,1
"129",1,0,0,1,1,1,0,0,1,2
"130",1,0,0,1,0,1,1,0,1,2
"131",0,1,1,1,1,1,1,1,1,2
"132",1,0,1,0,0,0,1,1,1,2
"133",1,1,0,1,0,0,0,0,2,1
"134",0,0,1,0,0,0,0,0,1,2
"135",0,0,0,0,0,0,0,0,1,2
"136",1,1,0,0,1,1,0,0,2,1
"137",1,0,1,1,0,1,1,1,1,2
"138",0,1,0,1,1,1,1,0,1,2
