RegioNaam,Region code,Total population (nr.),Men (%),Women (%),<5 years old (%),5-9 years old (%),10-14 years old (%),15-19 years old (%),20-24 years old (%),25-44 years old (%),45-64 years old (%),65-79 years old (%),80+ years old  (%),Total demographic pressure (%),Green pressure (%),Grey pressure (%),Unmarried (%),Married (%),Divorced (%),Widowed (%),Dutch background (%),Migration background - any (%),Migration background - western (%),Migration background - any non-western (%),Migration background - Maroccan (%),"Migration background - former Dutch Antilles, Aruba  (%)",Migration background - Suriname (%),Migration background - Turkey (%),Migration background - remaining non-western (%),Population density (people/km2),Single person households (%),Households without children (%),Households with children (%),Average household size (people/household),Total housing stock (nr.),Newly constructed houses (%),Housing density (houses/km2),Owner-occupied houses (%),Rental houses (%),House ownership unknown (%),Average house price (x 1000EUR),Total students (nr.),Students - secondary education (%),Students - bol (%),Students - bbl (%),Students - hbo (%),Students - university (%),Companies (nr.),"Companies by type - agriculture, forestry and fishery (%)",Companies by type - industry and engery (%),Companies by type - trade and catering industry (%),"Companies by type - transport, information and comunication (%)",Companies by type - financial services and real-estate (%),Companies by type - business services (%),"Companies by type - culture, recreation and other (%)",Cattle (nr.),Sheep (nr.),Goats (nr.),Horses (nr.),Pigs (nr.),Chickens (nr.),Turkeys (nr.),Ducks for slaughter (nr.),Other poultry (nr.),Rabbits (nr.),Fur animals (nr.),Cultivated land (are),Cultivated land by type - agriculture (%),"Cultivated land by type - horticulture, open ground (%)","Cultivated land by type - horticulture, under glass (%)",Cultivated land by type - permanent grassland (%),Cultivated land by type - natural grassland (%),Cultivated land by type - temporary grassland (%),Cultivated land by type - green fodder crops (%),Cars (per 1000 inhabitants),Privately owned cars (per 1000 inhabitants),Motorcycles (per 1000 inhabitants),Mopeds (per 1000 inhabitants),Total road length (km),Road owned by municipality (%),Road owned by province (%),Road owned by state (%),Total area (km2),Districts (nr.),Neighbourhoods (nr.),Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,D66,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Forum voor Democratie,Partij voor de Dieren,ChristenUnie,Volt,JA21,Staatkundig Gereformeerde Partij (SGP),DENK,50PLUS,BBB,BIJ1,CODE ORANJE,NIDA,Splinter,Piratenpartij,JONG,Trots op Nederland (TROTS),Lijst Henk Krol,NLBeter,"Blanco (Zeven, A.J.L.B.)",LP (Libertaire Partij),OPRECHT,JEZUS LEEFT,DE FEESTPARTIJ (DFP),U-Buntu Connected Front,Vrij en Sociaal Nederland,Partij van de Eenheid,Wij zijn Nederland,Partij voor de Republiek,Modern Nederland,De Groenen
Groningen,GM0014,232874.0,0.4974277935707721,0.5025722064292278,4.2,4.1,4.1,6.2,15.5,29.6,21.7,11.1,3.6,49.6,27.7,22.0,60.7,27.4,8.0,4.0,75.3,24.7,12.6,12.1,0.5,1.7,1.5,0.8,7.7,1255.0,59.1,22.0,18.9,1.69,116445.0,0.017295719008974194,627.0,41.2,58.1,0.8,207.0,53565.0,0.1795575469056286,0.0947260337907215,0.0215439186035657,0.2982171193876599,0.4059553813124241,20360.0,0.009577603143418467,0.0940569744597249,0.1962180746561886,0.1129666011787819,0.0857072691552062,0.3148330058939096,0.1861493123772102,12813.0,4346.0,167.0,432.0,2.0,99239.0,0.0,0.0,0.0,0.0,0.0,699507.0,9.6,0.5,0.0,73.9,7.7,3.8,4.5,403.0,322.0,27.0,62.0,1073.0,0.8993476234855545,0.0605778191985088,0.0400745573159366,197.96,20.0,150.0,178904,146229,280,235,145714,2,1,7,6,5,9,3,4,11,10,8,12,17,15,14,13.0,16,21,20,18.0,22,19.0,23.0,25.0,27.0,24.0,28,30.0,29.0,32.0,31.0,26.0,33.0,34.0,35.0,36.0,37.0
Almere,GM0034,211893.0,0.4961466400494589,0.503853359950541,6.0,6.2,6.4,6.7,6.2,28.1,28.7,9.7,2.1,58.8,40.2,18.7,41.4,44.2,11.0,3.4,56.2,43.8,10.9,32.9,4.0,2.6,11.5,2.0,12.8,1640.0,32.2,24.5,43.3,2.35,85977.0,0.01552740849296905,666.0,63.9,35.9,0.2,249.0,29444.0,0.4412104333650319,0.2177693248199972,0.0573291672327129,0.2123352805325363,0.0713557940497215,18910.0,0.005023796932839768,0.1501850872554204,0.2086197778952934,0.1388154415653093,0.0676890534108937,0.2940243257535695,0.1356425171866737,1104.0,129.0,47.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,109962.0,40.7,11.3,3.9,13.5,3.1,16.1,11.4,1288.0,395.0,34.0,72.0,1180.0,0.8898305084745762,0.0372881355932203,0.0720338983050847,248.77,6.0,67.0,152746,109261,339,257,108665,1,2,3,8,5,7,6,4,9,14,17,12,10,11,15,19.0,18,21,20,13.0,16,22.0,24.0,25.0,29.0,31.0,28,27.0,33.0,23.0,26.0,30.0,32.0,34.0,35.0,36.0,37.0
Stadskanaal,GM0037,31686.0,0.4936880641292684,0.5063119358707315,4.1,4.7,5.2,6.0,5.0,19.9,29.9,18.4,6.9,82.4,36.4,46.1,30.9,50.5,9.6,9.0,92.1,7.9,4.7,3.2,0.1,0.2,0.4,0.1,2.4,269.0,35.5,33.5,31.0,2.14,15292.0,0.00209259743656814,130.0,59.5,39.3,1.3,172.0,3488.0,0.4426605504587156,0.2672018348623853,0.0983371559633027,0.1654243119266055,0.0263761467889908,2430.0,0.06790123456790123,0.1934156378600823,0.2674897119341564,0.0576131687242798,0.0946502057613168,0.1831275720164609,0.1378600823045267,3952.0,520.0,752.0,138.0,2.0,489464.0,0.0,0.0,0.0,0.0,0.0,803837.0,77.6,0.1,0.0,5.4,1.7,9.1,6.1,543.0,525.0,53.0,59.0,436.0,0.9036697247706422,0.0963302752293578,0.0,119.94,5.0,27.0,25742,18693,34,36,18623,3,1,4,5,10,6,8,2,9,7,16,13,12,15,11,28.0,23,18,21,20.0,17,14.0,24.0,30.0,22.0,29.0,25,32.0,19.0,26.0,27.0,31.0,33.0,34.0,35.0,36.0,37.0
Veendam,GM0047,27384.0,0.4976993865030675,0.5023006134969326,4.1,5.2,5.7,6.0,5.0,21.2,30.0,17.5,5.3,78.0,37.4,40.6,32.8,48.9,10.7,7.6,86.9,13.1,5.4,7.7,0.2,0.5,1.0,3.1,2.8,360.0,34.9,32.3,32.8,2.14,12843.0,0.004827532507981002,169.0,65.0,34.8,0.2,151.0,3203.0,0.4452076178582579,0.2619419294411489,0.0833593506088042,0.1676553231345613,0.0418357789572276,1830.0,0.04644808743169399,0.1885245901639344,0.2677595628415301,0.0628415300546448,0.081967213114754,0.2131147540983606,0.1366120218579235,1469.0,75.0,10.0,27.0,18027.0,234247.0,0.0,0.0,0.0,0.0,0.0,437157.0,84.3,0.6,0.0,6.9,0.0,3.5,4.8,541.0,518.0,54.0,53.0,280.0,0.9,0.0464285714285714,0.0571428571428571,78.68,3.0,17.0,22011,16418,23,33,16362,1,3,5,6,2,8,4,10,7,9,12,14,16,15,11,18.0,13,20,23,21.0,17,22.0,28.0,19.0,30.0,27.0,25,24.0,29.0,32.0,31.0,26.0,33.0,34.0,35.0,36.0,37.0
Zeewolde,GM0050,22653.0,0.5109257052046087,0.4890742947953913,5.2,5.8,6.3,7.3,6.5,24.6,31.0,10.3,2.9,61.0,39.6,21.4,35.1,51.9,9.2,3.7,81.6,18.4,12.8,5.6,0.4,0.5,0.7,0.4,3.7,92.0,32.2,29.1,38.7,2.33,8678.0,0.017285088730122147,35.0,70.5,29.4,0.1,265.0,2984.0,0.4906166219839142,0.1813002680965147,0.0586461126005361,0.2101206434316354,0.0593163538873994,2645.0,0.12476370510396975,0.1493383742911153,0.2098298676748582,0.0775047258979206,0.0907372400756143,0.2514177693761815,0.0945179584120983,20775.0,788.0,460.0,285.0,12444.0,509875.0,0.0,54750.0,0.0,0.0,9000.0,1650862.0,55.7,8.5,0.0,7.2,2.2,19.1,7.3,743.0,487.0,47.0,51.0,406.0,0.7463054187192119,0.2463054187192118,0.0049261083743842,268.86,1.0,11.0,16680,13987,22,19,13946,1,2,4,3,10,8,12,5,7,6,9,11,13,16,15,18.0,14,20,17,21.0,22,25.0,24.0,19.0,28.0,29.0,27,31.0,33.0,23.0,26.0,30.0,32.0,34.0,35.0,36.0,37.0
Achtkarspelen,GM0059,27843.0,0.509284200696764,0.490715799303236,5.1,5.8,6.6,6.9,5.3,22.2,28.2,15.5,4.5,79.4,43.5,35.9,33.8,51.5,8.0,6.7,95.5,4.5,2.3,2.2,0.1,0.1,0.1,0.0,1.9,272.0,30.4,31.4,38.2,2.35,12129.0,0.005523950861571441,119.0,63.8,36.2,0.1,191.0,3588.0,0.4729654403567447,0.2196209587513935,0.0841694537346711,0.1825529542920847,0.0406911928651059,2550.0,0.08235294117647059,0.2686274509803921,0.2549019607843137,0.0568627450980392,0.0607843137254901,0.1588235294117647,0.1156862745098039,15828.0,10612.0,497.0,408.0,18920.0,979136.0,0.0,0.0,0.0,0.0,10200.0,592382.0,1.4,0.3,0.0,82.1,5.6,3.5,7.0,543.0,527.0,45.0,107.0,348.0,0.896551724137931,0.1034482758620689,0.0,103.98,3.0,24.0,21772,16976,20,27,16929,4,3,1,8,10,6,5,2,16,7,9,13,12,11,15,18.0,23,20,22,17.0,21,29.0,28.0,24.0,25.0,27.0,14,19.0,35.0,37.0,26.0,30.0,31.0,32.0,33.0,34.0,36.0
Ameland,GM0060,3716.0,0.4959634015069967,0.5040365984930032,4.3,5.3,6.0,4.4,5.9,23.3,27.7,18.4,4.8,75.9,35.1,40.7,36.2,49.9,7.1,6.8,91.9,8.1,6.5,1.6,0.2,0.1,0.1,0.0,1.3,63.0,38.9,31.6,29.4,2.13,1737.0,0.0069084628670120895,29.0,67.8,30.9,1.4,253.0,374.0,0.5454545454545454,0.1470588235294117,0.1657754010695187,0.1310160427807486,0.0106951871657754,555.0,0.08108108108108109,0.1171171171171171,0.3513513513513513,0.063063063063063,0.072072072072072,0.1711711711711711,0.1351351351351351,2366.0,2917.0,7.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180285.0,0.1,0.0,0.0,76.7,22.0,0.5,0.8,512.0,490.0,84.0,149.0,126.0,1.0,0.0,0.0,268.5,1.0,7.0,2935,2893,3,7,2883,1,4,2,3,6,16,8,5,9,12,7,10,11,15,18,13.0,20,23,21,22.0,17,14.0,24.0,25.0,32.0,28.0,19,26.0,27.0,29.0,30.0,31.0,33.0,34.0,35.0,36.0,37.0
Harlingen,GM0072,15722.0,0.5011448925073146,0.4988551074926854,4.2,4.8,5.8,6.6,4.6,19.7,28.8,19.8,5.6,88.2,40.3,47.8,34.4,46.9,11.2,7.5,87.6,12.4,7.6,4.8,0.6,0.2,0.6,0.4,3.1,630.0,39.6,30.7,29.7,2.07,7798.0,0.015388561169530648,312.0,55.3,44.6,0.1,177.0,1945.0,0.4894601542416452,0.2298200514138817,0.0745501285347043,0.1799485861182519,0.0262210796915167,1505.0,0.046511627906976744,0.2093023255813953,0.2259136212624584,0.132890365448505,0.0664451827242525,0.2026578073089701,0.1162790697674418,2342.0,1698.0,8.0,166.0,10898.0,53305.0,0.0,0.0,0.0,0.0,0.0,171224.0,35.3,0.9,0.2,53.4,1.7,4.4,4.1,465.0,445.0,43.0,74.0,144.0,0.9027777777777778,0.0347222222222222,0.0694444444444444,387.67,3.0,12.0,12546,9956,9,20,9927,1,3,4,2,6,5,8,9,10,7,12,11,15,16,13,18.0,21,17,20,23.0,14,22.0,28.0,24.0,29.0,19.0,27,25.0,32.0,35.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Heerenveen,GM0074,50493.0,0.4973956786089161,0.5026043213910839,4.5,5.5,5.8,6.4,5.2,21.7,29.1,16.2,5.6,78.8,39.8,39.0,36.0,47.1,9.9,7.0,87.7,12.3,5.5,6.8,0.7,0.4,0.6,1.1,3.9,266.0,36.1,30.7,33.3,2.18,23528.0,0.012240734444066644,124.0,60.0,39.5,0.6,227.0,6489.0,0.4630913854214825,0.2246879334257975,0.0605640314378178,0.2060409924487594,0.0456156572661427,4860.0,0.06172839506172839,0.1604938271604938,0.2150205761316872,0.0751028806584362,0.0925925925925925,0.279835390946502,0.1152263374485596,36473.0,4504.0,149.0,602.0,1803.0,899747.0,0.0,0.0,0.0,0.0,0.0,1252095.0,2.3,1.1,0.0,72.7,4.8,9.1,10.1,524.0,490.0,47.0,57.0,626.0,0.8801916932907349,0.0527156549520766,0.0686900958466453,198.17,7.0,31.0,39975,32096,61,56,31979,1,2,4,6,3,5,8,7,9,10,16,12,11,15,14,13.0,18,20,17,23.0,21,22.0,19.0,25.0,28.0,29.0,24,35.0,27.0,32.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Leeuwarden,GM0080,124084.0,0.4970584442796815,0.5029415557203185,4.8,5.0,5.2,6.3,8.7,25.7,25.9,14.1,4.5,66.2,35.2,31.0,46.3,38.2,10.1,5.4,82.3,17.7,7.9,9.9,0.9,1.3,1.2,0.4,6.1,521.0,47.0,26.3,26.7,1.93,62599.0,0.006661448265946741,263.0,51.2,48.2,0.6,168.0,19997.0,0.3120968145221783,0.1948792318847827,0.0411061659248887,0.3999099864979747,0.0520078011701755,10525.0,0.032304038004750596,0.1353919239904988,0.2247030878859857,0.0902612826603325,0.0783847980997624,0.2755344418052256,0.1643705463182898,38249.0,9309.0,92.0,1162.0,7.0,381402.0,0.0,0.0,0.0,0.0,0.0,1569381.0,5.0,0.0,0.0,80.6,4.1,6.4,4.0,443.0,411.0,34.0,60.0,968.0,0.9142561983471076,0.0413223140495867,0.0454545454545454,255.62,22.0,131.0,97397,77431,104,125,77202,2,1,6,3,4,5,8,7,9,10,11,12,16,15,14,17.0,20,13,21,18.0,23,22.0,19.0,25.0,24.0,29.0,27,28.0,35.0,32.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Ooststellingwerf,GM0085,25469.0,0.5024147002238015,0.4975852997761985,4.3,5.1,5.4,5.8,4.8,20.1,30.4,18.1,6.0,80.7,37.2,43.5,32.5,50.3,9.7,7.5,92.8,7.2,4.3,2.9,0.1,0.2,0.2,0.1,2.3,114.0,32.9,34.5,32.7,2.21,11253.0,0.014929352172753933,50.0,67.2,32.6,0.2,214.0,2857.0,0.4693734686734336,0.2128106405320266,0.0836541827091354,0.1911095554777739,0.0430521526076303,2360.0,0.15677966101694915,0.173728813559322,0.2266949152542373,0.0508474576271186,0.0720338983050847,0.2012711864406779,0.1186440677966101,36423.0,6235.0,1346.0,314.0,19819.0,678170.0,0.0,9273.0,0.0,0.0,0.0,1431663.0,7.7,0.2,0.0,57.9,4.6,14.0,15.6,564.0,549.0,72.0,62.0,497.0,0.8450704225352113,0.1529175050301811,0.0,226.11,13.0,59.0,20672,16271,28,33,16210,1,4,3,2,6,5,8,9,10,16,7,12,11,15,13,18.0,23,20,21,22.0,17,28.0,14.0,25.0,29.0,32.0,24,27.0,35.0,19.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Opsterland,GM0086,29733.0,0.5019675108465341,0.4980324891534659,4.6,5.2,6.1,6.6,5.2,20.1,30.5,16.4,5.3,79.3,40.3,38.9,34.0,51.0,8.4,6.6,93.6,6.4,3.5,2.9,0.1,0.3,0.2,0.1,2.3,132.0,30.7,33.4,35.9,2.31,13064.0,0.009721371708511941,58.0,70.2,29.6,0.2,236.0,3713.0,0.4610826824670078,0.2337732291947212,0.0678696471855642,0.1931053056827363,0.0441691354699703,2865.0,0.12914485165794065,0.1884816753926701,0.2164048865619546,0.0558464223385689,0.0645724258289703,0.2268760907504363,0.1151832460732984,34699.0,10624.0,109.0,616.0,18950.0,337803.0,0.0,0.0,0.0,0.0,0.0,1369083.0,0.5,0.1,0.0,71.7,5.9,10.3,11.6,561.0,547.0,63.0,74.0,521.0,0.8771593090211133,0.0825335892514395,0.0403071017274472,227.64,15.0,50.0,23686,19125,17,39,19069,1,4,2,6,3,5,10,8,7,16,9,12,13,11,15,20.0,18,23,22,21.0,17,25.0,29.0,14.0,24.0,27.0,28,37.0,19.0,32.0,35.0,26.0,30.0,31.0,33.0,34.0,36.0
Schiermonnikoog,GM0088,947.0,0.5131995776135164,0.4868004223864836,3.0,3.7,3.4,4.4,5.0,20.4,31.5,21.0,7.7,76.0,25.5,50.6,35.6,46.1,11.9,6.5,89.1,10.9,8.2,2.6,0.1,0.4,0.0,0.0,2.1,23.0,51.7,28.8,19.5,1.76,587.0,0.0,14.0,55.5,43.1,1.4,263.0,67.0,0.4925373134328358,0.1791044776119403,0.1791044776119403,0.1343283582089552,0.0149253731343283,140.0,0.07142857142857142,0.0714285714285714,0.3214285714285714,0.0714285714285714,0.0714285714285714,0.1785714285714285,0.2142857142857142,991.0,179.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80595.0,0.4,0.1,0.0,29.8,51.4,11.5,6.8,376.0,359.0,21.0,71.0,35.0,1.0,0.0,0.0,199.07,1.0,2.0,785,907,1,2,904,2,1,6,4,7,9,3,5,10,11,8,16,17,12,15,13.0,21,18,25,27.0,14,19.0,20.0,22.0,23.0,24.0,26,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0
Smallingerland,GM0090,56150.0,0.4989848619768477,0.5010151380231522,4.8,5.4,5.8,6.5,5.4,22.7,28.0,16.0,5.3,78.2,40.3,38.0,36.2,47.5,9.7,6.6,88.3,11.7,5.2,6.5,0.4,0.7,0.6,0.2,4.6,479.0,36.2,30.0,33.7,2.18,25768.0,0.0016299285936044706,220.0,59.8,40.1,0.1,195.0,7138.0,0.4467637993835808,0.2387223311852059,0.0675259176239843,0.1943121322499299,0.0526758195572989,4375.0,0.045714285714285714,0.1897142857142857,0.2491428571428571,0.072,0.0777142857142857,0.248,0.1188571428571428,16321.0,3534.0,1558.0,473.0,1.0,371447.0,0.0,0.0,0.0,0.0,0.0,717484.0,0.2,0.0,0.0,80.4,3.0,7.0,9.3,594.0,474.0,42.0,68.0,501.0,0.9121756487025948,0.0179640718562874,0.0698602794411177,126.17,2.0,31.0,43700,34401,156,58,34187,1,4,2,3,10,6,8,5,7,9,13,12,16,11,15,14.0,23,18,21,20.0,17,22.0,29.0,25.0,24.0,19.0,28,32.0,27.0,35.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Terschelling,GM0093,4888.0,0.5165711947626841,0.4834288052373158,3.2,4.3,4.2,6.1,9.4,20.5,28.7,18.1,5.5,70.6,30.3,40.3,41.4,42.1,9.7,6.9,92.1,7.9,6.0,1.9,0.0,0.5,0.1,0.0,1.2,57.0,47.8,29.1,23.1,1.88,2293.0,0.0,27.0,64.0,35.9,0.1,332.0,747.0,0.2771084337349397,0.0843373493975903,0.0468540829986613,0.5622489959839357,0.0294511378848728,760.0,0.046052631578947366,0.1381578947368421,0.3684210526315789,0.0592105263157894,0.0789473684210526,0.1710526315789473,0.131578947368421,1637.0,1687.0,8.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96949.0,0.0,0.2,0.0,99.3,0.5,0.0,0.0,492.0,475.0,64.0,143.0,125.0,1.0,0.0,0.0,673.99,6.0,16.0,4083,3955,4,7,3944,1,2,6,4,3,5,7,9,8,11,12,16,10,15,18,22.0,23,20,17,21.0,13,35.0,24.0,25.0,29.0,14.0,27,28.0,32.0,37.0,19.0,26.0,30.0,31.0,33.0,34.0,36.0
Vlieland,GM0096,1155.0,0.5047619047619047,0.4952380952380952,2.5,2.9,4.7,5.6,8.1,24.4,33.0,15.5,3.3,52.6,23.9,28.7,44.9,41.8,8.4,4.9,84.8,15.2,13.2,2.1,0.2,0.3,0.0,0.0,1.6,30.0,52.4,28.6,19.0,1.77,579.0,0.044905008635578586,15.0,38.7,59.8,1.6,271.0,118.0,0.4576271186440678,0.1864406779661017,0.1101694915254237,0.1864406779661017,0.059322033898305,200.0,0.0,0.125,0.35,0.1,0.075,0.15,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,372.0,351.0,55.0,124.0,30.0,1.0,0.0,0.0,315.8,1.0,2.0,911,954,0,0,954,1,2,4,3,5,6,7,9,8,12,11,10,15,16,17,18.0,23,20,22,25.0,21,13.0,14.0,19.0,24.0,26.0,27,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0
Weststellingwerf,GM0098,25914.0,0.4989580921509609,0.5010419078490391,4.7,5.0,5.5,5.8,4.9,20.5,29.6,17.6,6.4,81.8,38.2,43.6,32.8,50.8,8.7,7.7,92.2,7.8,4.1,3.8,0.8,0.4,0.3,0.1,2.2,118.0,32.0,34.7,33.3,2.24,11711.0,0.006660404747673128,53.0,64.6,35.2,0.2,211.0,2994.0,0.4572478289913159,0.240814963259853,0.0768203072812291,0.1923847695390781,0.0327321309285237,2555.0,0.162426614481409,0.2054794520547945,0.223091976516634,0.0528375733855185,0.0626223091976516,0.172211350293542,0.12133072407045,41348.0,8304.0,2960.0,751.0,11221.0,525400.0,0.0,0.0,0.0,0.0,0.0,1545449.0,3.7,1.1,0.0,63.0,4.6,14.0,13.6,547.0,534.0,64.0,62.0,514.0,0.8754863813229572,0.0856031128404669,0.036964980544747,228.45,16.0,64.0,21073,16515,15,26,16474,1,3,4,2,6,5,8,9,7,16,10,12,11,15,13,18.0,20,23,19,14.0,21,17.0,22.0,24.0,25.0,29.0,27,28.0,32.0,35.0,37.0,26.0,30.0,31.0,33.0,34.0,36.0
Assen,GM0106,68599.0,0.4953570751760229,0.504642924823977,4.5,5.3,6.2,6.5,5.3,23.1,28.8,15.3,5.0,74.9,39.4,35.5,37.4,45.5,11.0,6.1,83.8,16.2,8.0,8.3,0.5,0.6,0.7,0.6,5.9,838.0,38.6,29.0,32.5,2.12,32154.0,0.011476021645829447,393.0,58.8,40.6,0.5,195.0,9135.0,0.4438970990695128,0.2330596606458675,0.0673234811165845,0.2026272577996715,0.0530925013683634,4715.0,0.015906680805938492,0.1272534464475079,0.256627783669141,0.0869565217391304,0.0848356309650053,0.2735949098621421,0.1558854718981972,3109.0,4541.0,2.0,116.0,4.0,37984.0,0.0,0.0,0.0,0.0,0.0,349288.0,30.2,0.5,0.0,48.0,5.1,8.2,8.0,487.0,451.0,50.0,63.0,506.0,0.9347826086956522,0.0019762845849802,0.0632411067193675,83.45,10.0,109.0,53867,42590,72,73,42445,1,2,6,3,4,5,10,7,8,9,12,11,15,16,13,14.0,18,20,17,23.0,21,28.0,19.0,22.0,26.0,25.0,29,24.0,27.0,36.0,30.0,31.0,32.0,33.0,34.0,35.0,37.0
Coevorden,GM0109,35297.0,0.4984276284103465,0.5015723715896535,4.3,4.7,5.5,6.3,4.8,19.1,30.8,18.4,6.0,82.8,38.1,44.6,31.1,52.5,8.7,7.8,90.8,9.2,5.3,3.9,0.1,0.2,0.2,0.5,2.9,119.0,31.6,34.9,33.4,2.23,15555.0,0.0011571841851494697,53.0,69.3,30.5,0.2,210.0,4084.0,0.4644955925563173,0.227228207639569,0.0808031341821743,0.1922135161606268,0.0352595494613124,3185.0,0.13814756671899528,0.1554160125588697,0.2480376766091051,0.0502354788069073,0.0800627943485086,0.1993720565149136,0.1287284144427001,31412.0,2141.0,653.0,715.0,40260.0,311659.0,0.0,0.0,0.0,0.0,0.0,1784292.0,33.3,1.5,0.0,30.5,1.4,18.4,14.8,559.0,544.0,70.0,71.0,887.0,0.8759864712514093,0.0935738444193912,0.0304396843291995,299.69,9.0,68.0,28398,22543,34,34,22475,1,3,4,2,6,5,8,16,7,9,10,12,11,15,13,18.0,20,23,14,17.0,22,21.0,24.0,25.0,26.0,29.0,28,19.0,27.0,36.0,30.0,31.0,32.0,33.0,34.0,35.0,37.0
Emmen,GM0114,107048.0,0.498253120095658,0.501746879904342,4.2,4.8,5.4,6.1,5.3,21.3,29.8,17.6,5.5,77.2,36.3,40.9,33.8,48.5,10.1,7.6,87.6,12.4,6.9,5.4,0.3,0.4,0.4,0.8,3.5,319.0,34.8,32.2,33.0,2.16,49308.0,0.005009329114950921,147.0,62.1,37.8,0.1,173.0,12590.0,0.4422557585385226,0.2430500397140587,0.0902303415409054,0.1870532168387609,0.0374106433677521,8140.0,0.055896805896805894,0.1855036855036855,0.2727272727272727,0.0632678132678132,0.089066339066339,0.1971744471744471,0.1363636363636363,17077.0,4897.0,104.0,428.0,58344.0,1159248.0,0.0,0.0,0.0,0.0,0.0,2088456.0,68.8,1.2,0.8,7.9,1.7,9.9,9.8,532.0,514.0,48.0,79.0,1185.0,0.9122362869198312,0.0649789029535864,0.0219409282700421,346.26,27.0,83.0,85911,64761,120,89,64552,3,1,4,2,5,6,8,10,7,9,12,16,15,11,14,13.0,18,23,20,17.0,22,21.0,24.0,25.0,26.0,19.0,29,28.0,27.0,36.0,30.0,31.0,32.0,33.0,34.0,35.0,37.0
Hoogeveen,GM0118,55699.0,0.5004039569830697,0.4995960430169303,4.9,5.5,6.1,6.3,5.5,23.1,27.0,16.1,5.6,80.1,41.0,39.1,33.7,49.9,9.2,7.2,88.9,11.1,5.8,5.3,0.1,0.3,0.3,0.6,4.0,437.0,34.5,30.9,34.5,2.23,25236.0,0.008598827072436203,198.0,61.4,37.8,0.8,188.0,6716.0,0.4617331745086361,0.2410661107802263,0.0949970220369267,0.1724240619416319,0.0297796307325789,4350.0,0.05057471264367816,0.2,0.2873563218390804,0.060919540229885,0.0908045977011494,0.1919540229885057,0.1195402298850574,18128.0,2408.0,2395.0,162.0,24979.0,243959.0,0.0,0.0,0.0,0.0,0.0,593100.0,16.7,0.5,0.0,45.6,2.0,18.9,16.5,505.0,484.0,47.0,79.0,515.0,0.9048543689320389,0.0116504854368932,0.0834951456310679,129.25,13.0,48.0,43427,34017,70,44,33903,1,3,4,2,8,10,5,6,7,12,13,9,16,15,11,22.0,18,23,14,28.0,20,29.0,21.0,17.0,26.0,24.0,27,19.0,25.0,36.0,30.0,31.0,32.0,33.0,34.0,35.0,37.0
Meppel,GM0119,33920.0,0.4885908018867924,0.5114091981132075,4.7,5.4,6.4,6.5,5.4,23.6,28.0,15.3,4.7,75.3,40.3,35.0,35.4,48.0,10.4,6.2,88.0,12.0,5.8,6.2,1.9,0.3,0.6,0.1,3.4,611.0,36.7,30.0,33.3,2.16,15851.0,0.015267175572519083,285.0,57.7,42.3,0.0,213.0,4662.0,0.4513084513084513,0.1861861861861861,0.0583440583440583,0.2578292578292578,0.0463320463320463,2895.0,0.037996545768566495,0.1347150259067357,0.2504317789291883,0.082901554404145,0.0898100172711571,0.2694300518134715,0.1364421416234887,9000.0,1357.0,40.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307893.0,6.9,0.3,0.0,54.4,2.2,15.5,20.7,494.0,463.0,45.0,53.0,292.0,0.8732876712328768,0.0616438356164383,0.0650684931506849,57.03,14.0,46.0,26794,22080,31,33,22016,1,2,4,3,5,6,10,8,7,9,12,11,16,15,14,13.0,20,18,17,19.0,23,26.0,22.0,21.0,28.0,25.0,24,29.0,27.0,36.0,30.0,31.0,32.0,33.0,34.0,35.0,37.0
