"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",0,0,1,2
"3",1,0,1,2
"4",1,0,1,2
"5",1,0,1,2
"6",0,0,1,2
"7",0,0,1,2
"8",0,1,1,2
"9",0,1,1,2
"10",1,1,2,1
"11",1,1,2,1
"12",1,0,1,2
"13",0,1,1,2
"14",0,1,1,2
"15",1,1,2,1
"16",1,0,1,2
"17",0,1,1,2
"18",1,0,1,2
"19",0,0,1,2
"20",0,1,1,2
"21",0,1,1,2
"22",1,1,2,1
"23",1,1,2,1
"24",1,1,2,1
"25",0,1,1,2
"26",1,0,1,2
"27",1,0,1,2
"28",0,1,1,2
"29",1,1,2,1
"30",0,1,2,1
"31",0,1,1,2
"32",1,1,2,1
"33",0,0,1,2
"34",0,1,1,2
"35",0,0,1,2
"36",1,1,2,1
"37",0,0,1,2
"38",0,1,1,2
"39",0,0,1,2
"40",1,1,2,1
"41",1,0,1,2
"42",1,1,2,1
"43",0,0,1,2
"44",1,1,2,1
"45",1,0,1,2
"46",0,1,1,2
"47",0,1,1,2
"48",1,1,2,1
"49",1,0,1,2
"50",1,0,2,1
"51",0,1,1,2
"52",1,0,1,2
"53",1,0,1,2
"54",1,1,2,1
"55",0,1,2,1
"56",1,0,1,2
"57",1,1,2,1
"58",1,1,2,1
"59",0,1,1,2
"60",1,1,2,1
"61",0,1,1,2
"62",0,1,1,2
"63",1,0,1,2
"64",1,0,2,1
"65",1,0,1,2
"66",1,1,2,1
"67",0,0,1,2
"68",1,0,1,2
"69",1,1,2,1
"70",0,1,1,2
"71",1,0,1,2
"72",0,1,2,1
"73",0,0,1,2
"74",0,1,1,2
"75",1,1,2,1
"76",0,0,1,2
"77",0,0,1,2
"78",1,0,1,2
"79",1,1,2,1
"80",0,1,1,2
"81",1,0,1,2
"82",0,1,1,2
"83",0,1,1,2
"84",0,1,1,2
"85",1,0,1,2
"86",1,0,1,2
"87",1,1,2,1
"88",0,0,2,1
"89",0,1,1,2
"90",1,0,1,2
"91",1,0,1,2
"92",0,1,1,2
"93",0,1,1,2
"94",1,1,2,1
"95",0,0,1,2
"96",1,0,1,2
"97",0,1,1,2
"98",1,0,1,2
"99",1,0,1,2
"100",1,1,2,1
"101",0,0,1,2
"102",0,0,1,2
"103",0,1,1,2
"104",1,1,2,1
"105",0,0,1,2
"106",1,1,2,1
"107",1,1,2,1
"108",0,0,1,2
"109",1,0,1,2
"110",0,1,2,1
"111",0,1,1,2
"112",1,0,1,2
"113",0,0,1,2
"114",1,1,2,1
"115",0,0,2,1
"116",0,1,1,2
"117",1,0,1,2
"118",0,0,1,2
"119",0,0,1,2
"120",1,1,2,1
"121",1,1,2,1
"122",0,1,1,2
"123",0,0,1,2
"124",1,1,2,1
"125",0,0,1,2
"126",0,0,1,2
"127",1,0,1,2
"128",1,1,2,1
"129",1,0,1,2
"130",1,1,2,1
"131",0,1,1,2
"132",1,1,2,1
"133",1,0,1,2
"134",1,1,2,1
"135",1,0,2,1
"136",1,1,2,1
"137",0,1,1,2
"138",0,1,1,2
"139",1,0,2,1
"140",0,1,1,2
"141",0,0,1,2
"142",1,0,1,2
"143",1,1,2,1
"144",0,0,1,2
"145",1,0,1,2
"146",1,1,2,1
"147",0,1,1,2
"148",0,0,1,2
"149",0,0,1,2
"150",1,1,2,1
"151",1,0,1,2
"152",0,1,1,2
"153",0,0,1,2
"154",1,1,2,1
"155",0,0,1,2
"156",1,1,2,1
"157",0,0,1,2
"158",1,0,1,2
"159",0,1,2,1
"160",0,1,1,2
"161",1,0,2,1
"162",1,1,2,1
"163",1,0,1,2
"164",0,0,2,1
"165",0,1,2,1
"166",0,1,2,1
"167",0,0,1,2
"168",1,0,1,2
"169",1,0,1,2
"170",0,1,1,2
"171",0,0,1,2
"172",1,1,2,1
"173",0,0,1,2
"174",0,1,1,2
"175",0,0,1,2
"176",1,1,2,1
"177",0,0,1,2
"178",0,0,1,2
"179",1,1,2,1
"180",1,0,1,2
"181",0,0,1,2
"182",1,1,2,1
