"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",1,0,1,2
"3",0,1,1,2
"4",0,0,1,2
"5",1,0,1,2
"6",1,0,1,2
"7",0,1,1,2
"8",0,0,1,2
"9",1,1,2,1
"10",1,1,2,1
"11",1,0,1,2
"12",0,1,1,2
"13",0,1,2,1
"14",0,1,1,2
"15",0,1,1,2
"16",1,1,2,1
"17",0,1,1,2
"18",0,1,1,2
"19",0,1,1,2
"20",1,1,2,1
"21",0,0,1,2
"22",1,1,2,1
"23",0,0,1,2
"24",1,1,2,1
"25",0,0,1,2
"26",1,0,1,2
"27",0,1,1,2
"28",1,1,2,1
"29",0,0,2,1
"30",1,0,1,2
"31",0,0,2,1
"32",0,1,2,1
"33",1,1,2,1
"34",1,1,2,1
"35",1,1,2,1
"36",1,1,2,1
"37",1,1,2,1
"38",0,1,1,2
"39",0,0,1,2
"40",0,0,1,2
"41",1,0,1,2
"42",1,0,1,2
"43",1,1,2,1
"44",0,1,1,2
"45",1,0,1,2
"46",1,1,2,1
"47",0,0,1,2
"48",0,1,1,2
"49",0,1,1,2
"50",0,1,1,2
"51",1,0,1,2
"52",1,0,1,2
"53",0,0,1,2
"54",0,0,1,2
"55",1,0,1,2
"56",1,0,1,2
"57",1,0,1,2
"58",0,0,1,2
"59",0,0,1,2
"60",0,1,1,2
"61",0,1,2,1
"62",0,0,1,2
"63",1,1,2,1
"64",0,0,2,1
"65",0,1,1,2
"66",1,0,1,2
"67",0,1,1,2
"68",0,1,1,2
"69",1,0,1,2
"70",1,1,2,1
"71",1,0,1,2
"72",1,1,2,1
"73",1,0,1,2
"74",0,1,1,2
"75",1,0,1,2
"76",1,0,1,2
"77",0,0,1,2
"78",0,1,1,2
"79",1,0,2,1
"80",1,0,1,2
"81",1,0,1,2
"82",0,1,1,2
"83",1,1,2,1
"84",1,0,1,2
"85",1,0,1,2
"86",1,0,1,2
"87",1,1,2,1
"88",1,0,1,2
"89",1,0,1,2
"90",0,1,2,1
"91",0,0,2,1
"92",0,1,1,2
"93",1,1,2,1
"94",0,1,1,2
"95",0,1,1,2
"96",1,1,2,1
"97",0,1,1,2
"98",0,1,1,2
"99",1,0,1,2
"100",0,0,1,2
"101",0,1,1,2
"102",1,1,2,1
"103",0,1,1,2
"104",0,1,1,2
"105",0,0,1,2
"106",1,0,1,2
"107",1,1,2,1
"108",0,1,1,2
"109",0,0,1,2
"110",1,1,2,1
"111",1,0,2,1
"112",0,0,1,2
"113",1,1,2,1
"114",0,1,2,1
"115",1,1,2,1
"116",0,0,1,2
