"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,0,1,1,0,0,1,1,2,3,4,5,7,9,6,8,11,12,13,10,32,31,28,21,14,20,17,30,15,27,29,23,26,16,22,25,24,19,18
"2",0,0,0,0,0,1,0,1,1,2,3,5,4,6,8,7,10,9,14,11,12,15,13,25,32,31,30,28,26,22,27,16,17,21,29,23,24,20,19,18
"3",1,1,0,0,0,0,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"4",0,0,1,1,1,0,0,1,1,2,3,5,4,6,7,8,30,11,9,32,12,10,27,18,13,16,26,15,14,29,31,23,28,17,20,25,19,21,22,24
"5",0,1,0,1,0,1,0,1,1,2,3,4,6,5,8,7,11,10,29,13,9,12,14,32,26,31,30,28,16,21,17,15,18,27,23,25,24,22,20,19
"6",1,0,1,1,0,1,1,0,1,2,3,4,6,5,7,32,10,8,13,9,27,12,28,11,30,14,31,29,18,15,25,20,19,16,26,17,23,24,22,21
"7",0,0,0,1,1,0,0,0,1,2,3,4,5,6,7,8,13,12,11,9,10,15,30,16,14,31,17,19,21,32,29,25,22,26,24,27,28,18,23,20
"8",1,1,0,1,1,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"9",1,0,0,0,1,1,1,0,1,3,2,5,4,6,9,30,8,7,10,32,23,31,13,11,28,12,19,22,14,18,15,16,29,17,20,25,27,26,21,24
"10",1,1,0,0,1,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"11",0,1,0,1,0,0,0,0,1,2,5,3,4,7,6,12,8,30,29,31,14,9,25,10,11,32,13,16,26,27,19,15,21,28,24,17,22,18,23,20
"12",1,1,1,0,0,1,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"13",0,1,1,0,0,1,1,1,1,2,4,3,5,6,9,7,8,32,10,30,31,11,13,12,19,29,14,16,15,20,17,26,28,18,27,22,23,25,24,21
"14",0,1,1,1,1,1,1,0,1,2,3,4,5,6,10,9,7,8,32,14,11,12,31,15,27,18,26,16,30,29,13,21,28,20,25,23,19,22,24,17
"15",0,1,1,0,0,0,0,1,2,1,3,4,6,5,7,9,8,13,30,10,31,14,15,32,12,16,29,17,11,27,21,28,24,23,19,26,22,18,25,20
"16",1,1,1,1,0,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"17",0,0,1,0,0,0,1,0,1,2,4,3,5,7,6,27,10,9,13,32,8,30,11,20,14,28,12,16,29,15,31,22,23,19,25,26,18,17,21,24
"18",1,1,0,1,0,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"19",1,0,0,1,0,1,1,1,1,4,2,3,6,5,9,7,8,10,16,29,11,13,12,20,15,18,30,19,14,31,17,28,32,27,21,26,24,23,22,25
"20",1,1,1,1,1,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"21",1,1,0,1,1,1,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"22",0,1,0,1,0,1,0,1,1,2,3,4,5,6,7,8,9,13,11,10,14,17,12,31,16,15,23,30,18,32,25,22,20,24,19,21,29,27,28,26
"23",0,1,1,0,1,0,0,0,1,2,3,4,7,5,6,9,8,11,10,32,31,28,26,12,27,29,20,30,25,13,24,15,23,18,19,21,22,16,17,14
"24",0,0,1,0,0,1,0,1,1,2,3,4,5,8,9,6,7,14,19,25,11,12,32,10,15,13,20,31,18,30,21,17,27,16,29,28,24,26,22,23
"25",1,0,0,0,0,0,1,1,1,2,3,5,4,8,6,7,19,9,10,31,12,11,32,27,30,16,29,28,13,22,14,26,18,15,24,23,25,21,17,20
"26",0,0,0,1,0,0,0,0,1,3,2,4,5,8,6,9,7,10,22,15,11,13,12,18,14,31,17,32,29,30,28,20,16,21,25,19,27,26,24,23
"27",1,1,1,1,0,1,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"28",1,1,0,0,1,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"29",0,0,1,1,1,0,1,0,1,2,3,5,4,10,11,6,7,8,31,32,24,9,13,21,12,30,15,29,14,25,17,28,20,16,27,19,18,22,23,26
"30",0,0,1,1,0,0,1,0,1,2,3,5,4,6,7,32,8,11,10,30,9,15,14,29,16,12,27,21,31,26,13,18,24,28,25,17,19,23,22,20
"31",0,0,0,1,0,0,1,1,1,2,3,5,4,6,7,9,8,10,28,14,11,32,12,24,30,31,29,17,16,15,13,27,18,23,26,25,21,20,22,19
"32",1,1,0,0,0,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"33",0,0,0,1,0,1,1,1,1,2,3,5,8,4,6,7,10,9,11,16,13,32,17,19,12,15,14,29,26,31,18,28,27,23,25,30,21,20,22,24
"34",0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,11,10,32,13,26,16,15,31,12,14,18,29,30,21,20,23,19,27,17,28,24,25,22
"35",0,0,1,0,0,0,1,1,1,2,3,4,7,5,9,6,8,11,12,10,17,32,13,14,29,19,16,30,15,27,18,31,20,28,26,23,24,22,21,25
"36",1,0,0,1,0,0,1,0,1,2,3,4,5,6,10,7,12,9,8,28,16,32,18,11,29,31,14,13,17,30,19,15,23,26,24,27,20,21,25,22
"37",1,0,1,0,0,1,1,0,1,2,3,4,7,5,6,9,11,31,14,8,17,10,12,25,32,15,29,30,28,22,13,18,27,24,26,21,19,16,20,23
"38",1,1,1,0,0,1,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"39",0,1,0,1,1,0,1,0,1,2,4,3,5,6,12,7,8,11,10,9,16,21,13,14,15,32,31,27,28,24,30,17,19,20,18,25,29,22,26,23
"40",1,1,1,1,1,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"41",0,0,0,1,0,1,0,0,1,4,3,2,5,6,7,8,9,10,17,11,20,32,15,14,12,13,31,19,25,26,23,30,24,16,18,22,21,27,28,29
"42",1,0,1,1,1,1,1,1,1,2,3,7,4,5,6,8,9,12,13,10,14,32,31,11,30,21,29,28,15,16,23,20,24,26,27,25,19,22,17,18
"43",0,0,0,0,0,1,0,0,1,2,3,4,5,8,7,6,10,9,14,30,11,12,24,13,31,22,32,16,15,27,29,28,26,18,19,21,25,20,23,17
"44",0,0,1,0,1,0,0,0,1,2,4,5,3,6,8,11,10,7,9,32,12,30,14,18,31,13,28,29,21,27,16,24,20,23,15,22,19,17,26,25
"45",1,1,1,1,1,1,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"46",0,0,1,1,0,0,0,1,1,2,4,3,5,6,7,15,8,10,13,11,16,9,12,14,32,17,27,18,30,21,19,20,29,31,22,28,24,23,25,26
"47",0,1,0,1,0,1,0,0,1,2,3,4,7,5,6,8,9,10,11,15,13,12,19,31,32,14,17,28,16,30,29,23,20,27,25,18,22,21,24,26
"48",1,0,0,1,0,0,0,0,2,1,3,4,8,5,6,10,7,9,13,32,31,16,11,29,15,14,12,18,28,26,30,20,27,24,19,22,17,23,21,25
"49",1,1,1,1,0,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"50",0,1,0,0,1,1,1,0,1,2,3,4,5,6,10,8,9,7,12,11,13,14,15,17,31,27,28,32,26,16,30,18,19,23,20,25,24,22,29,21
"51",1,1,1,1,0,0,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"52",0,0,0,1,1,0,0,0,1,2,3,4,5,6,9,7,10,8,13,16,15,31,32,12,11,28,27,14,18,30,21,20,29,17,19,23,25,22,24,26
"53",1,0,1,0,0,1,1,1,1,3,2,4,5,6,7,9,11,8,13,10,32,16,15,14,21,12,17,31,30,29,28,20,23,18,26,19,22,27,24,25
"54",0,1,1,0,1,0,1,1,1,2,4,3,5,9,6,7,11,8,14,10,19,12,32,27,22,15,31,13,29,28,16,30,21,18,24,17,20,23,26,25
"55",0,0,0,0,1,1,0,0,1,2,5,3,4,7,6,9,8,10,22,30,11,32,20,31,16,17,12,14,13,29,19,28,27,15,18,26,21,25,23,24
"56",1,1,0,0,1,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"57",1,0,1,1,0,1,1,0,2,1,4,3,6,5,7,31,8,10,9,11,32,12,13,30,19,29,14,15,16,22,17,28,21,27,18,25,20,24,26,23
"58",1,1,0,0,1,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"59",0,1,0,0,1,0,0,0,1,2,3,5,4,6,10,9,7,13,8,11,32,12,14,28,31,29,20,27,24,18,30,23,15,19,16,22,26,17,25,21
"60",1,1,0,1,1,1,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"61",1,1,0,0,0,1,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"62",1,0,1,0,0,1,1,0,1,3,2,4,5,7,6,11,8,12,10,9,13,32,18,31,15,14,27,30,16,17,28,20,22,29,25,19,21,26,24,23
"63",0,1,1,1,0,1,0,1,1,2,3,4,5,7,6,11,9,8,10,32,12,16,25,13,14,15,19,22,31,26,18,23,27,17,20,21,28,29,24,30
"64",1,0,0,0,0,0,0,1,1,3,2,4,5,6,9,8,12,10,7,11,13,15,18,28,31,32,16,19,14,25,30,27,26,22,17,29,20,21,24,23
"65",0,1,1,1,1,0,1,1,1,2,3,5,4,6,7,9,8,11,17,10,12,13,16,14,15,29,32,19,28,18,21,20,27,31,30,22,23,24,25,26
"66",0,1,1,1,0,0,1,1,1,2,4,3,6,7,5,8,9,10,15,13,11,32,16,14,12,30,31,17,18,29,24,20,19,26,28,27,25,21,23,22
"67",1,0,0,1,0,1,0,0,1,2,4,3,6,5,8,7,11,9,16,10,12,17,13,14,15,30,19,31,22,32,20,18,25,24,23,29,21,27,28,26
"68",0,0,0,1,1,0,0,0,1,2,3,4,5,7,6,11,8,13,9,12,10,14,31,32,29,18,30,26,28,27,24,16,25,15,17,23,20,22,19,21
