"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,0,1,0,1,1,1,0,1,3,2,5,6,4,8,7,9,11,10,30,15,27,14,32,29,22,28,31,12,13,26,25,23,21,18,17,16,20,24,19
"2",0,0,0,0,1,0,1,1,1,2,3,4,5,6,8,7,9,16,11,12,26,30,10,27,32,31,25,13,28,15,29,18,14,24,22,19,23,21,17,20
"3",0,1,1,0,0,0,1,0,2,1,3,4,5,6,7,8,12,10,11,9,32,14,31,20,18,17,13,15,16,24,23,28,27,30,22,29,21,19,25,26
"4",0,0,1,0,0,0,1,1,1,2,4,3,5,7,9,32,6,8,10,31,28,11,29,12,30,13,17,14,15,19,20,16,27,26,21,18,23,25,24,22
"5",0,0,1,0,1,1,1,0,1,2,3,4,6,11,9,8,5,7,12,13,32,10,16,15,31,29,30,26,17,14,20,18,21,19,28,23,25,27,22,24
"6",1,1,1,1,0,0,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"7",1,0,1,1,0,1,0,0,1,2,3,4,6,7,5,8,9,10,13,31,14,27,12,11,15,16,18,20,17,32,29,25,30,28,19,22,23,24,26,21
"8",1,1,1,0,0,1,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"9",1,0,0,0,1,1,1,0,1,2,3,4,5,7,6,9,10,8,16,18,22,11,27,32,31,12,15,17,30,26,13,29,23,28,25,14,24,21,19,20
"10",1,0,0,1,0,0,1,1,1,4,3,5,2,6,8,7,9,10,11,13,12,14,32,28,18,20,15,17,16,19,31,29,25,27,30,24,21,22,23,26
"11",1,1,0,1,0,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"12",0,1,1,1,1,1,1,0,1,2,3,4,6,5,7,28,15,32,8,13,9,11,31,16,10,29,20,12,14,30,22,17,19,27,18,25,26,23,24,21
"13",1,1,0,0,1,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"14",0,1,0,1,0,0,1,1,1,2,3,4,6,5,8,11,10,9,7,12,13,15,32,16,14,17,30,20,19,31,18,29,21,23,28,25,27,26,24,22
"15",0,0,1,1,0,0,1,0,1,2,3,4,5,6,7,11,8,10,9,12,22,15,14,16,30,13,32,31,17,19,20,21,18,23,27,29,24,25,28,26
"16",0,0,0,0,1,1,1,0,1,2,3,5,6,4,7,16,8,9,11,12,14,10,31,30,15,13,18,19,20,32,29,17,25,26,27,28,23,22,24,21
"17",0,1,0,0,0,1,0,0,1,5,2,4,3,6,7,8,32,9,31,18,10,12,11,24,13,28,30,16,19,14,29,27,26,15,23,22,25,17,20,21
"18",1,1,0,1,1,1,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"19",0,0,1,0,1,1,1,0,1,2,3,4,5,8,7,6,11,9,13,17,10,12,15,32,14,18,16,29,30,31,28,20,25,21,24,27,23,19,26,22
"20",0,0,1,0,1,0,0,0,1,2,3,4,5,6,7,31,11,9,12,8,13,30,10,32,20,29,17,14,15,28,24,25,18,16,27,22,23,26,21,19
"21",0,1,0,1,0,1,1,0,2,1,3,4,5,6,13,8,14,10,9,12,16,7,11,32,17,18,30,15,31,23,20,22,21,25,19,27,29,24,28,26
