"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,1,1,1,0,1,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"2",0,0,0,0,0,0,1,0,1,2,3,5,4,30,7,6,12,8,9,23,11,22,13,10,25,14,15,28,32,16,31,29,27,17,24,26,18,21,20,19
"3",0,1,0,0,0,1,0,1,1,2,3,4,5,6,8,7,10,9,13,30,11,31,32,14,12,18,27,16,15,24,29,26,25,28,22,19,17,20,23,21
"4",1,1,0,1,1,1,0,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"5",1,0,1,1,0,0,1,0,1,2,3,4,5,8,6,7,9,12,27,32,15,28,11,30,31,29,10,16,13,17,18,14,26,23,21,19,20,22,25,24
"6",1,1,0,1,1,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"7",0,0,1,1,1,1,0,1,1,2,3,4,5,6,7,8,9,12,32,18,10,11,15,14,19,24,20,30,31,13,28,21,16,29,26,17,27,25,23,22
"8",1,0,1,0,1,1,0,0,1,2,3,4,7,5,9,6,10,32,8,13,12,31,11,17,16,14,19,29,28,23,22,18,15,30,27,20,21,25,24,26
"9",0,0,0,1,1,0,0,1,1,2,3,4,6,5,10,7,8,9,12,11,14,30,17,31,13,29,19,16,15,26,24,32,23,25,20,18,21,28,27,22
"10",1,0,0,1,0,1,0,1,1,2,3,4,6,5,7,8,11,9,10,13,16,14,15,22,12,18,31,30,17,32,26,29,25,19,24,27,23,28,21,20
"11",0,1,1,1,1,1,0,1,1,2,3,4,5,9,6,7,8,14,10,29,11,12,15,13,31,19,32,25,28,30,18,16,26,24,17,20,21,27,23,22
"12",0,1,0,1,0,0,0,1,1,2,4,5,3,6,8,7,12,9,13,11,10,14,15,30,32,19,18,31,16,21,23,17,20,29,22,24,25,28,27,26
"13",1,0,0,1,1,1,0,1,1,2,3,4,6,5,7,8,31,19,29,9,10,32,11,12,27,16,15,13,30,28,24,17,20,14,23,25,18,26,21,22
"14",1,1,1,0,0,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"15",1,1,0,1,0,1,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"16",0,1,1,0,0,1,1,1,1,2,3,4,6,5,7,8,14,9,10,31,13,11,21,12,32,18,26,20,16,15,28,17,19,27,22,30,24,29,23,25
"17",0,1,1,1,0,0,0,0,1,2,4,3,14,8,6,5,7,9,13,32,11,12,10,31,17,16,15,27,28,30,18,19,29,26,20,23,25,24,21,22
"18",1,0,0,0,0,1,1,1,1,2,3,6,4,5,7,10,9,8,28,32,25,27,30,29,13,12,31,11,26,14,16,15,24,23,21,17,19,22,18,20
"19",1,0,0,1,1,1,1,1,1,2,3,4,5,6,7,8,9,14,10,11,12,22,17,13,32,29,31,15,30,19,27,28,16,26,18,23,25,21,20,24
"20",1,1,0,0,1,1,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"21",1,1,0,1,1,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"22",1,0,1,1,1,0,0,0,2,1,3,4,5,6,9,8,13,7,10,11,30,32,12,21,28,15,14,27,31,29,16,22,26,25,20,19,17,18,23,24
"23",0,1,0,1,1,0,1,1,1,2,3,5,4,6,8,32,7,9,30,10,11,12,31,13,15,21,26,29,16,28,14,27,17,25,18,19,20,22,23,24
"24",1,1,1,0,1,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"25",1,0,0,1,0,0,1,1,1,2,3,4,5,6,12,7,8,9,11,10,31,13,30,32,28,14,15,16,29,27,17,18,26,20,19,25,23,21,22,24
"26",0,0,0,0,1,1,0,1,1,2,4,5,3,6,8,7,9,14,10,16,11,12,17,13,15,30,32,28,19,26,27,20,18,21,31,22,23,29,25,24
"27",1,1,1,0,0,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"28",1,1,0,0,0,0,1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"29",1,1,1,1,1,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"30",1,1,1,0,0,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"31",0,1,1,1,1,0,0,0,2,1,3,4,5,6,8,7,9,12,17,27,30,32,29,10,31,11,16,22,15,14,13,28,26,21,25,20,18,24,23,19
