"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,3,4,5,6,8,7,14,12,15,10,11,9,16,13
"3",1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"4",0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,2,3,4,5,7,8,6,9,10,16,13,12,15,11,14
"5",1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,2,4,3,6,5,7,10,9,8,13,11,12,14,16,15
"6",0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,2,3,4,6,5,7,8,9,14,16,10,11,13,12,15
"7",1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,2,4,3,5,6,8,7,10,9,11,16,12,15,14,13
"9",1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,2,3,4,5,9,6,8,7,10,13,12,16,14,11,15
"10",1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,2,3,5,6,4,8,7,10,9,15,11,16,12,14,13
"11",1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,2,3,4,9,5,8,6,7,11,10,14,15,13,16,12
"12",1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13",0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,2,3,4,6,5,7,10,8,9,14,11,12,13,15,16
"14",0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,2,4,3,5,13,6,11,16,8,7,9,12,14,10,15
"15",1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,2,3,6,4,7,5,8,12,9,11,10,16,15,14,13
"17",0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,2,3,4,5,6,7,9,16,8,11,13,10,12,14,15
"18",1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"19",0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,3,6,4,5,8,7,11,9,16,15,14,10,13,12
