"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,2,3,6,4,7,5,10,8,9,14,12,15,11,13,16
"2",0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2,3,5,4,6,7,8,10,9,12,11,16,15,14,13
"3",1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"4",1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"5",1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"6",1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,2,3,4,5,6,11,7,8,9,10,13,15,16,12,14
"7",1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,3,4,7,5,6,8,15,16,9,13,11,12,14,10
"9",0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,5,3,6,7,4,9,8,16,14,13,12,11,15,10
"10",0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,3,4,5,6,7,9,8,12,10,11,16,14,13,15
"11",1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,4,5,3,10,6,11,7,16,15,12,8,13,14,9
"12",0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,2,3,5,4,6,8,7,9,11,14,10,12,15,13,16
"13",0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,2,3,5,4,6,9,8,14,7,13,10,15,16,11,12
"14",0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,2,3,4,5,6,8,7,13,9,15,10,11,12,14,16
"15",0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,2,3,4,7,6,5,8,9,12,13,11,16,10,15,14
"16",0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,2,4,3,5,7,8,6,9,13,12,16,10,11,15,14
"17",0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,2,3,1,4,6,5,7,9,8,10,11,13,14,16,12,15
"18",0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,2,4,5,3,6,13,7,14,9,8,12,10,16,11,15
"19",0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,2,3,4,6,5,7,8,11,9,10,16,13,15,12,14
"20",1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,2,3,4,5,7,16,6,11,10,9,14,8,13,15,12
"21",1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"22",0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,2,3,4,5,6,8,10,7,9,11,13,15,16,12,14
"23",1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,2,3,4,5,9,8,7,6,11,16,12,15,13,14,10
"24",1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"25",1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"26",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,2,3,4,7,6,10,11,9,8,12,15,13,14,16
"27",0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,2,4,3,9,5,6,10,12,11,7,8,16,14,15,13
"28",1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,2,3,5,6,7,4,10,9,13,8,12,15,14,11,16
"29",0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,3,2,4,5,6,7,9,8,16,15,13,11,10,12,14
"30",1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,2,3,4,7,5,6,8,16,14,9,15,13,11,10,12
"31",1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"32",1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"33",1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,2,3,5,4,6,7,8,11,9,10,14,16,12,13,15
"34",1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"35",1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36",1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,3,4,11,8,5,7,6,9,14,10,16,15,12,13
"37",1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,3,2,4,5,6,10,8,11,9,7,16,15,12,13,14
