"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,2,3,4,5,7,6,9,10,15,8,16,14,13,12,11
"2",0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,2,3,5,4,6,7,8,11,13,9,10,12,14,16,15
"3",0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,2,4,3,5,6,7,8,15,10,13,9,11,16,12,14
"4",0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,2,1,3,4,5,15,7,6,9,8,11,10,14,12,16,13
"5",0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,2,3,4,5,6,16,13,7,9,14,11,8,15,10,12
"6",1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"9",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,3,5,4,9,10,6,8,16,7,11,14,15,12,13
"10",0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2,4,3,7,5,6,8,11,9,10,12,16,15,13,14
"11",0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,2,3,4,9,5,8,7,6,13,10,16,11,12,15,14
"12",1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13",0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,2,3,6,4,7,5,9,8,10,14,11,16,15,12,13
"14",0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,2,3,4,5,6,8,9,7,11,16,13,10,14,12,15
"15",0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,2,3,4,5,7,6,8,9,10,16,14,11,12,15,13
"16",0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,2,3,5,4,7,6,8,10,11,9,12,15,16,13,14
"17",1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2,3,4,6,5,7,15,8,12,9,10,11,13,14,16
"18",1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"19",1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,2,3,4,5,6,7,8,9,16,10,14,15,12,13,11
"20",1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,2,4,3,5,6,8,7,10,14,16,15,9,13,12,11
"21",0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,4,2,3,5,10,15,16,6,8,7,9,12,13,11,14
"22",1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"23",1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"24",0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,2,3,5,4,6,7,16,8,9,10,13,15,12,14,11
"25",1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,2,5,3,6,4,9,7,8,12,11,10,16,13,14,15
"26",1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,2,4,3,5,6,8,10,7,9,14,12,15,11,16,13
"27",0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,11,13,14,12,16,9,10,15
"28",0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,2,4,3,6,5,8,7,16,10,9,13,12,11,15,14
"29",1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,2,3,4,5,6,9,13,7,8,11,10,16,14,12,15
"30",1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,2,4,3,5,6,9,12,8,10,7,13,14,16,11,15
"31",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,2,3,4,5,6,7,9,8,10,11,14,15,13,12,16
"32",0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,2,3,4,5,6,7,12,8,10,9,13,16,11,14,15
"33",0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,2,4,3,5,7,6,9,16,10,8,15,12,13,11,14
"34",0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,2,3,4,5,9,10,6,8,13,16,7,11,14,15,12
"35",1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,2,3,6,5,4,8,7,11,9,10,16,13,15,12,14
"37",0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,2,3,5,4,6,7,8,9,10,13,15,16,12,11,14
"38",1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,2,3,4,7,5,8,6,9,10,16,11,15,13,14,12
"39",1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,2,3,4,6,5,10,7,11,9,8,15,13,12,16,14
"40",0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,2,3,4,5,8,10,6,9,7,11,16,12,13,14,15
"41",0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2,3,4,6,5,7,13,8,9,16,14,10,15,12,11
"42",0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,2,3,8,5,4,6,7,9,10,16,13,11,14,12,15
"43",1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,2,3,4,5,6,16,7,9,10,13,15,11,8,14,12
"44",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"45",0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,5,2,3,4,10,7,6,16,12,9,8,13,15,11,14
"46",0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,3,2,4,5,7,6,10,8,14,16,9,13,15,12,11
"47",1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,2,3,4,5,6,8,7,9,10,12,11,16,14,13,15
"48",0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,4,2,3,5,6,10,9,11,8,7,12,13,15,16,14
"49",1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,2,3,4,5,7,6,11,8,12,13,9,10,15,16,14
"50",0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,2,4,3,5,6,8,9,7,15,12,11,13,10,14,16
"51",0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,2,3,5,4,7,6,8,14,9,10,11,15,13,12,16
"52",1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"53",1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,3,2,4,5,8,6,15,7,16,10,12,9,13,14,11
"54",0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,2,1,4,3,5,6,7,8,9,10,12,15,13,14,16,11
"55",0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,3,4,5,7,8,6,10,9,13,12,11,14,15,16
"56",1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"57",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,3,4,6,5,7,13,8,11,9,14,12,10,16,15
"58",0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2,1,3,4,6,5,8,7,14,9,13,15,16,10,11,12
"59",0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,2,3,5,6,7,4,9,16,8,15,10,14,12,13,11
"60",1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,2,3,5,4,8,6,7,9,16,11,12,10,14,13,15
"61",1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"62",0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,2,5,3,4,6,8,9,12,15,7,10,13,16,11,14
"63",1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"64",1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,3,2,4,5,8,6,9,7,16,12,11,10,14,13,15
"65",1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,2,6,4,3,5,15,9,7,8,13,12,16,11,10,14
"66",1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"67",1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,14,10,16,13,15,12,9,11
