"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,2,3,5,4,6,7,9,10,8,11,16,15,12,14,13
"2",0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,3,2,4,5,6,7,13,15,9,8,10,14,11,12,16
"3",0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,2,3,4,5,6,12,7,8,10,9,13,11,16,14,15
"4",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2,3,4,5,6,7,11,10,9,8,12,13,15,16,14
"5",1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"6",1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,2,3,4,5,6,7,11,10,8,9,12,14,16,13,15
"9",0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,2,3,4,7,5,16,10,6,8,11,9,13,15,14,12
"10",1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,3,2,4,5,6,7,8,9,13,14,10,11,16,15,12
"11",0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,3,2,5,4,8,7,6,9,15,11,12,10,14,13,16
"12",0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,2,3,5,4,14,6,7,9,8,11,15,10,13,12,16
