"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,1,0,0,0,0,0,0,1,2,4,3,5,6,7,8
"2",1,0,0,0,0,1,0,0,2,1,4,3,5,6,7,8
"3",1,0,0,1,0,1,1,1,1,2,3,4,5,6,7,8
"4",1,0,0,1,1,0,0,1,1,2,3,4,5,7,8,6
"5",0,1,0,0,1,1,1,1,1,3,2,4,5,6,8,7
"6",1,1,0,0,0,0,0,1,8,7,6,5,4,3,2,1
"7",0,1,1,1,0,0,1,1,1,2,3,4,5,6,8,7
"8",1,1,0,0,0,1,0,0,8,7,6,5,4,3,2,1
"9",1,1,1,0,1,1,1,1,8,7,6,5,4,3,2,1
"10",1,1,0,0,0,1,0,1,8,7,6,5,4,3,2,1
"11",1,0,0,0,0,1,1,0,1,2,3,5,4,7,6,8
"12",0,1,0,1,1,1,0,0,1,4,2,3,5,6,7,8
"13",1,1,1,0,0,1,0,1,8,7,6,5,4,3,2,1
"14",1,0,1,1,0,0,0,1,1,2,3,4,5,7,6,8
"15",0,0,0,1,1,1,1,0,1,2,3,5,4,6,8,7
"16",0,1,1,0,1,1,1,0,1,3,2,4,5,7,6,8
"17",0,0,1,0,0,0,0,0,1,2,3,4,5,7,8,6
"18",1,1,1,1,0,1,0,0,8,7,6,5,4,3,2,1
"19",1,1,1,1,0,1,0,1,8,7,6,5,4,3,2,1
"20",0,1,1,0,1,1,1,0,1,2,5,4,3,8,7,6
"21",0,1,0,0,1,1,0,1,1,3,2,4,5,8,6,7
"22",0,0,0,1,0,0,1,1,1,2,4,3,5,7,6,8
"23",1,1,0,1,0,0,0,0,8,7,6,5,4,3,2,1
"24",1,1,1,0,1,0,1,1,8,7,6,5,4,3,2,1
"25",0,1,1,1,1,1,0,1,1,2,3,6,4,5,7,8
"26",0,1,1,1,0,1,1,0,1,2,3,4,7,5,6,8
"27",1,1,1,1,1,1,1,1,8,7,6,5,4,3,2,1
"28",0,1,1,1,0,0,0,1,1,2,3,6,4,5,7,8
"29",1,0,1,0,0,1,1,1,1,3,2,6,5,4,7,8
"30",1,1,0,0,1,0,1,0,8,7,6,5,4,3,2,1
"31",0,0,1,1,0,1,1,0,1,2,3,4,5,7,8,6
"32",0,1,1,1,0,1,0,0,1,2,3,4,6,5,7,8
"33",0,0,0,1,1,0,0,0,1,3,2,4,5,6,7,8
"34",1,1,0,0,1,1,1,0,8,7,6,5,4,3,2,1
"35",0,1,0,0,1,0,1,1,1,2,3,5,7,4,6,8
"36",1,1,0,0,0,0,0,0,8,7,6,5,4,3,2,1
"37",1,1,0,1,0,1,1,1,8,7,6,5,4,3,2,1
"38",0,0,1,1,0,0,0,0,1,2,3,4,7,5,6,8
"39",0,1,0,1,1,0,1,0,1,2,3,4,7,5,8,6
"40",1,1,0,1,0,1,1,0,8,7,6,5,4,3,2,1
"41",1,1,0,1,1,1,1,0,8,7,6,5,4,3,2,1
"42",1,1,0,1,0,0,1,1,8,7,6,5,4,3,2,1
"43",1,1,0,0,1,1,0,1,8,7,6,5,4,3,2,1
"44",1,0,1,1,0,0,0,1,1,3,2,5,4,7,6,8
"45",1,1,0,0,1,0,1,0,8,7,6,5,4,3,2,1
"46",1,0,1,0,1,1,0,0,1,2,3,6,4,5,7,8
"47",1,1,1,0,1,0,0,1,8,7,6,5,4,3,2,1
"48",1,0,0,1,1,1,1,0,1,2,3,4,5,6,7,8
"49",1,0,0,0,0,1,1,0,1,2,3,4,5,6,7,8
"50",1,0,1,0,0,1,0,1,1,2,3,4,7,5,8,6
"51",0,1,0,1,0,1,1,1,1,3,2,4,6,8,5,7
"52",1,1,0,1,0,1,0,0,8,7,6,5,4,3,2,1
"53",0,1,1,0,1,0,1,1,1,2,3,6,4,5,8,7
"54",1,0,0,0,0,1,1,1,1,2,3,7,4,5,6,8
"55",0,1,0,1,1,0,1,1,1,2,3,5,4,6,7,8
"56",0,0,1,1,0,0,1,0,1,2,3,4,5,6,7,8
"57",1,0,0,0,0,1,1,0,2,1,3,4,5,6,8,7
"58",0,1,1,0,1,0,1,1,1,3,2,4,5,6,8,7
"59",1,0,1,1,0,0,0,1,1,2,3,4,8,6,7,5
"60",1,0,0,1,0,0,0,0,1,2,3,4,5,6,8,7
"61",1,0,1,1,0,0,1,1,1,2,4,3,5,8,7,6
"62",1,1,1,1,1,1,0,1,8,7,6,5,4,3,2,1
"63",0,0,1,0,0,1,0,0,1,2,3,4,5,6,7,8
"64",0,1,1,0,1,1,1,1,1,2,3,6,4,5,8,7
"65",0,1,1,1,0,1,0,0,2,1,3,4,6,7,5,8
"66",0,0,1,0,0,1,1,0,1,2,3,4,5,6,8,7
"67",0,0,1,0,1,1,0,0,1,2,3,5,4,6,7,8
"68",0,0,1,1,0,0,1,0,1,2,3,4,5,7,8,6
"69",0,1,0,0,1,1,0,1,1,2,3,4,5,7,6,8
"70",1,0,1,0,1,0,1,0,1,2,3,4,5,6,7,8
"71",1,0,0,0,0,1,0,1,1,3,2,4,6,5,8,7
"72",1,0,1,0,0,0,1,0,1,2,3,4,5,6,8,7
"73",1,0,1,1,0,1,1,0,1,2,3,4,6,5,8,7
"74",0,0,1,0,1,1,1,0,1,2,4,3,5,7,6,8
"75",1,0,0,1,0,0,0,1,1,2,3,4,5,7,6,8
"76",1,0,0,1,1,1,0,0,2,1,3,4,5,6,7,8
"77",1,0,1,0,1,1,1,0,1,2,4,3,7,8,6,5
"78",1,0,0,1,1,0,1,1,1,2,3,6,4,5,7,8
"79",0,1,1,1,1,0,0,1,1,2,3,4,5,7,8,6
"80",1,0,0,1,0,1,1,1,2,1,3,4,5,6,7,8
"81",1,1,0,0,0,1,0,1,8,7,6,5,4,3,2,1
"82",1,1,0,0,1,0,1,1,8,7,6,5,4,3,2,1
"83",1,0,0,0,0,1,0,0,1,3,2,4,6,5,8,7
"84",0,1,0,1,0,0,1,1,1,2,3,4,7,5,6,8
"85",1,0,0,0,0,0,0,1,1,2,3,4,5,6,7,8
"86",0,1,0,1,0,0,1,1,2,1,4,3,6,5,7,8
"87",1,0,0,1,1,0,0,1,1,2,3,7,5,4,6,8
"88",0,0,0,1,1,0,1,1,1,2,3,4,5,7,6,8
"89",1,0,0,1,1,1,1,1,1,4,3,2,5,6,7,8
"90",0,0,1,1,0,0,0,1,1,2,3,4,5,8,7,6
"91",0,1,1,1,0,1,1,1,1,2,3,4,6,7,5,8
"92",1,0,1,1,1,1,0,0,1,2,3,5,4,7,6,8
"93",1,1,1,0,0,1,0,1,8,7,6,5,4,3,2,1
"94",1,1,0,1,0,1,0,1,8,7,6,5,4,3,2,1
"95",0,0,0,0,1,0,1,1,1,2,3,4,5,6,7,8
"96",1,0,1,1,0,0,1,0,1,2,3,4,6,7,5,8
"97",0,0,0,1,0,0,1,0,1,2,3,6,5,4,7,8
"98",1,1,1,1,1,0,1,1,8,7,6,5,4,3,2,1
"99",1,1,1,0,1,0,0,0,8,7,6,5,4,3,2,1
"100",1,0,0,0,0,0,0,1,1,2,4,3,5,6,7,8
