"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,0,1,1,0,0,0,0,1,2,3,4,8,5,6,7
"2",1,0,0,0,0,0,1,0,1,2,3,5,4,6,7,8
"3",0,0,0,1,1,0,1,0,1,2,3,4,5,7,8,6
"4",1,1,1,0,1,1,0,0,8,1,2,3,4,5,6,7
"5",0,1,1,1,0,1,1,1,1,3,2,5,4,7,6,8
"6",0,0,0,0,1,1,1,1,1,2,4,3,5,6,8,7
"7",1,0,0,1,0,1,0,1,1,2,4,3,5,6,7,8
"8",0,0,0,0,0,0,0,0,1,2,4,3,7,6,5,8
"9",0,0,1,1,0,0,1,0,1,2,3,5,6,4,7,8
"10",0,0,1,0,1,1,0,0,1,3,2,4,5,6,7,8
"11",1,0,0,1,1,1,0,0,1,2,3,4,5,6,8,7
"12",0,0,0,1,0,0,1,1,1,2,3,5,4,6,7,8
"13",1,0,1,0,1,0,0,1,1,2,3,5,4,7,8,6
"14",0,0,1,1,0,1,0,1,1,2,3,4,6,5,7,8
"15",1,1,1,1,1,0,0,1,8,1,2,3,4,5,6,7
"16",1,1,1,1,1,0,1,0,8,1,2,3,4,5,6,7
"17",1,1,0,0,0,1,1,0,8,1,2,3,4,5,6,7
"18",0,0,1,1,1,0,1,0,1,2,3,4,7,6,5,8
"19",1,0,0,0,0,1,1,0,1,2,3,4,5,7,6,8
"20",0,1,1,0,1,0,0,1,1,2,4,3,6,5,7,8
"21",1,0,1,0,1,0,1,1,1,2,4,3,5,7,6,8
"22",1,0,1,0,0,1,1,0,1,2,3,5,4,6,7,8
"23",0,1,1,0,0,0,1,0,1,2,3,4,5,6,7,8
"24",1,0,0,1,1,0,0,0,3,2,1,4,6,5,7,8
"25",1,0,0,1,1,1,1,0,1,3,2,4,6,5,8,7
"26",1,0,1,1,0,0,1,0,1,2,3,4,6,7,5,8
"27",0,0,1,1,0,0,0,0,1,2,3,6,7,5,4,8
"28",0,1,1,1,0,0,0,1,1,2,4,3,6,5,7,8
"29",0,0,1,0,0,0,1,1,1,3,2,4,5,8,6,7
"30",1,0,0,1,0,0,0,0,1,2,3,4,5,6,8,7
"31",1,0,0,0,0,0,1,0,1,2,3,4,8,5,6,7
"32",1,1,1,0,1,1,0,1,8,1,2,3,4,5,6,7
"33",1,0,0,1,0,1,0,0,1,2,3,4,5,6,7,8
"34",1,1,0,1,0,1,1,1,8,1,2,3,4,5,6,7
"35",0,0,1,1,0,0,0,0,1,2,3,4,8,5,7,6
"36",0,1,1,0,0,1,1,0,1,2,3,4,5,8,6,7
"37",0,0,0,0,1,1,1,0,1,2,3,4,6,5,7,8
"38",0,0,1,1,1,1,1,0,1,2,3,4,5,6,8,7
"39",1,0,1,1,0,0,0,1,1,2,3,4,6,5,7,8
"40",1,1,1,0,0,0,1,0,8,1,2,3,4,5,6,7
"41",0,0,0,1,0,0,0,1,1,2,5,3,4,6,7,8
"42",0,0,1,0,0,1,0,1,1,2,4,3,6,5,8,7
"43",1,1,1,1,1,0,0,0,8,1,2,3,4,5,6,7
"44",1,0,1,0,1,1,0,1,1,2,3,5,4,6,7,8
"45",0,1,0,1,1,0,0,0,1,2,3,4,6,5,7,8
"46",0,0,0,1,1,0,1,0,1,2,3,5,4,6,8,7
"47",0,1,0,1,1,0,1,1,1,2,4,3,5,7,6,8
"48",1,0,1,1,0,0,0,1,1,2,3,4,5,7,6,8
"49",0,0,0,0,1,0,1,0,1,2,3,4,5,6,8,7
"50",0,1,0,1,0,1,0,0,1,2,3,4,6,5,7,8
"51",1,0,0,0,0,1,1,0,1,2,3,4,5,8,7,6
"52",1,1,0,1,1,1,1,1,8,1,2,3,4,5,6,7
"53",1,1,0,0,0,1,0,1,8,1,2,3,4,5,6,7
"54",0,0,0,1,0,0,0,0,1,4,2,3,5,6,7,8
"55",1,1,0,1,0,0,1,1,8,1,2,3,4,5,6,7
"56",1,1,0,1,1,1,0,0,8,1,2,3,4,5,6,7
"57",1,0,0,0,1,1,1,1,1,2,3,5,4,6,7,8
"58",0,0,0,0,1,0,0,0,1,2,3,4,5,6,7,8
"59",0,0,0,1,0,1,1,1,1,2,3,5,4,6,7,8
"60",0,1,0,1,1,1,0,1,1,3,2,4,6,5,7,8
"61",0,0,1,1,1,0,0,1,1,2,3,4,5,7,8,6
"62",0,1,0,0,1,1,0,0,1,2,4,3,6,5,8,7
"63",1,1,0,0,0,0,0,1,8,1,2,3,4,5,6,7
"64",1,0,0,1,1,1,1,1,2,1,3,4,5,6,7,8
"65",1,1,0,0,1,0,1,1,8,1,2,3,4,5,6,7
"66",0,0,0,0,1,0,1,1,1,2,4,3,6,5,8,7
"67",0,0,1,0,0,1,1,1,1,2,4,3,5,8,6,7
"68",0,1,1,1,1,0,0,1,2,1,3,4,7,8,6,5
"69",0,0,1,1,1,1,0,0,1,2,3,4,5,6,7,8
"70",1,1,1,1,0,0,1,0,8,1,2,3,4,5,6,7
"71",0,1,1,1,1,1,1,1,1,2,3,4,6,8,5,7
