"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,1,1,0,1,0,1,0,1,2
"2",1,1,1,1,1,1,1,1,2,1
"3",1,0,1,0,0,1,1,1,1,2
"4",1,1,1,0,0,0,1,1,2,1
"5",0,1,0,1,0,1,0,1,1,2
"6",0,0,0,0,1,0,0,1,1,2
"7",0,1,1,0,0,1,1,1,1,2
"8",0,0,1,0,0,0,1,0,1,2
"9",1,1,1,1,1,1,1,0,2,1
"10",0,1,0,0,0,0,0,0,1,2
"11",0,0,0,1,0,1,1,1,1,2
"12",1,0,0,0,1,0,0,0,1,2
"13",0,1,0,0,0,0,1,1,1,2
"14",1,1,0,1,1,1,1,1,2,1
"15",1,1,0,0,1,0,0,1,2,1
"16",0,1,0,0,1,1,0,0,1,2
"17",0,1,1,0,1,0,1,0,1,2
"18",1,1,0,0,1,1,0,1,2,1
"19",0,0,0,1,0,0,0,1,1,2
"20",1,1,0,1,0,1,0,1,2,1
"21",1,0,1,0,1,0,0,0,1,2
"22",1,0,0,1,1,1,1,1,1,2
"23",1,0,1,0,0,1,1,1,2,1
"24",0,1,1,0,1,1,0,0,1,2
"25",1,0,1,0,1,1,0,1,1,2
"26",1,1,1,0,0,0,1,1,2,1
"27",1,0,1,1,0,1,0,0,1,2
"28",0,0,1,1,0,0,1,0,1,2
"29",1,1,1,0,0,0,1,1,2,1
"30",0,0,1,1,0,1,1,0,1,2
"31",0,1,0,0,0,1,0,1,1,2
"32",1,1,0,1,0,1,1,0,2,1
"33",1,1,1,1,1,1,0,1,2,1
"34",1,0,0,1,1,1,1,1,1,2
"35",1,0,0,1,0,0,0,1,1,2
"36",0,1,0,1,0,0,1,0,2,1
"37",0,0,0,1,1,0,1,0,1,2
"38",1,1,0,0,0,0,1,0,2,1
"39",0,1,1,0,1,1,0,1,1,2
"40",0,0,0,1,1,1,0,0,1,2
"41",1,1,0,0,1,1,0,1,2,1
"42",0,0,0,1,0,1,0,0,1,2
"43",1,1,1,0,0,0,1,1,2,1
"44",0,1,1,1,0,1,1,1,1,2
"45",0,1,0,0,1,0,0,1,1,2
"46",0,1,1,0,1,0,1,1,1,2
"47",0,1,1,0,0,1,1,0,1,2
"48",1,1,0,0,1,1,1,0,2,1
"49",0,0,0,0,0,0,0,0,1,2
"50",1,0,1,1,0,0,0,0,1,2
"51",0,1,0,0,1,0,0,0,1,2
"52",0,0,1,1,0,0,0,1,1,2
"53",0,0,1,0,1,1,0,0,1,2
"54",0,0,0,0,1,1,0,0,2,1
"55",0,1,1,1,1,1,0,0,1,2
"56",1,1,0,0,1,0,1,1,2,1
"57",0,1,1,1,0,1,0,0,2,1
"58",0,1,1,0,1,1,0,0,1,2
"59",1,0,0,0,0,1,1,0,1,2
"60",1,0,1,1,1,1,1,1,1,2
"61",0,1,0,0,1,1,0,1,1,2
"62",1,1,1,1,0,0,0,0,2,1
"63",0,0,1,1,0,0,1,0,1,2
"64",0,1,0,0,0,0,0,1,1,2
"65",0,0,0,1,0,0,0,1,2,1
"66",1,1,0,0,1,0,1,0,2,1
"67",0,0,1,0,1,0,1,1,1,2
"68",0,0,0,0,0,1,0,1,2,1
"69",0,0,0,1,0,1,0,0,1,2
"70",0,0,1,0,1,0,1,0,1,2
"71",1,1,1,1,0,1,0,1,2,1
"72",1,1,1,1,0,0,1,0,2,1
"73",1,0,0,0,0,1,1,1,1,2
"74",0,0,1,1,0,1,0,1,1,2
"75",0,1,0,1,0,0,0,0,1,2
"76",0,1,1,1,1,0,1,1,1,2
"77",0,1,0,1,1,0,0,0,1,2
"78",0,1,1,1,0,0,0,0,1,2
"79",1,0,0,1,0,0,0,0,1,2
"80",0,1,0,1,0,1,1,1,1,2
"81",0,1,1,0,0,0,1,0,1,2
"82",0,0,0,0,0,0,0,1,2,1
"83",1,1,1,0,1,0,1,0,2,1
"84",1,0,0,1,1,1,0,1,1,2
"85",1,0,0,1,0,1,1,1,1,2
"86",0,1,0,1,1,0,1,1,1,2
"87",0,1,0,1,1,0,1,0,2,1
"88",1,0,1,1,0,1,1,1,1,2
"89",0,1,1,1,0,1,0,1,1,2
"90",1,0,0,0,0,0,1,0,1,2
"91",0,1,1,1,1,0,1,0,1,2
"92",0,0,1,0,0,1,1,1,1,2
"93",0,0,1,0,0,1,1,1,1,2
"94",0,1,0,1,1,0,1,1,1,2
"95",0,1,1,1,0,0,1,0,1,2
"96",0,1,1,1,1,0,1,0,1,2
"97",0,0,1,0,1,1,1,1,1,2
"98",1,0,0,0,1,1,0,0,1,2
"99",0,0,1,1,1,1,0,1,1,2
"100",0,1,0,0,1,1,0,1,1,2
"101",1,0,0,1,0,1,1,0,1,2
"102",1,1,1,1,1,1,0,1,2,1
"103",1,1,0,0,0,1,1,1,2,1
"104",1,1,0,1,1,1,1,1,2,1
"105",1,0,0,0,1,0,1,1,1,2
"106",1,1,1,0,0,1,1,1,2,1
"107",0,0,1,0,1,1,0,1,1,2
"108",1,0,0,0,0,1,1,0,1,2
"109",0,0,1,0,0,1,0,0,1,2
"110",0,0,1,1,0,0,1,1,1,2
"111",0,1,1,0,1,0,0,1,1,2
"112",0,0,1,1,1,1,1,1,1,2
"113",0,1,0,1,0,0,0,1,1,2
"114",1,1,1,1,1,1,0,0,2,1
"115",1,0,1,1,0,0,0,0,1,2
"116",0,1,0,0,1,1,0,0,1,2
"117",0,1,1,0,1,1,1,1,1,2
"118",0,0,1,0,0,1,1,0,1,2
"119",0,1,0,0,0,1,1,0,1,2
"120",1,1,0,0,0,1,0,1,2,1
"121",1,1,1,0,0,1,0,1,2,1
