"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,0,0,1,0,1,0,1,1,2
"2",0,1,0,1,1,0,1,0,1,2
"3",1,1,0,1,0,0,0,0,2,1
"4",0,0,1,1,0,0,0,0,1,2
"5",0,1,1,1,1,0,1,1,1,2
"6",0,1,0,1,1,0,0,1,1,2
"7",0,1,0,1,1,1,0,0,1,2
"8",0,1,1,0,1,1,0,1,2,1
"9",1,1,0,0,1,1,0,0,2,1
"10",0,0,0,0,0,1,0,1,2,1
"11",1,1,0,1,0,1,0,1,2,1
"12",0,1,1,1,0,1,1,1,1,2
"13",1,1,0,1,1,1,0,0,2,1
"14",0,0,0,1,0,0,0,0,1,2
"15",1,0,1,0,1,1,1,0,1,2
"16",1,0,1,0,1,1,0,1,2,1
"17",1,1,0,0,1,1,0,1,2,1
"18",1,0,0,0,1,1,1,0,1,2
"19",1,0,0,0,1,1,0,1,1,2
"20",1,0,1,0,0,1,1,1,1,2
"21",0,0,0,0,1,0,1,0,1,2
"22",0,0,1,0,0,0,1,1,2,1
"23",1,1,0,1,1,1,0,0,2,1
"24",0,0,0,0,0,1,1,1,1,2
"25",1,0,0,0,1,1,0,0,1,2
"26",1,1,0,1,1,1,0,0,2,1
"27",1,0,0,1,0,1,0,1,1,2
"28",1,0,0,1,1,0,1,1,1,2
"29",1,1,1,0,1,1,0,1,2,1
"30",1,0,0,0,0,0,0,0,1,2
"31",0,0,1,0,1,0,0,1,2,1
"32",1,1,0,0,1,0,0,1,2,1
"33",1,0,1,1,0,1,1,0,1,2
"34",1,0,1,0,0,1,1,0,2,1
"35",0,0,1,0,0,1,0,0,1,2
"36",0,1,0,0,1,1,1,0,1,2
"37",0,0,0,1,0,1,1,1,1,2
"38",0,0,0,0,0,1,1,1,1,2
"39",0,0,0,0,0,0,1,1,1,2
"40",1,1,0,1,1,1,0,0,2,1
"41",0,0,0,1,0,0,0,1,1,2
"42",1,1,1,0,0,1,1,1,2,1
"43",0,0,0,0,1,1,1,0,1,2
"44",1,1,0,0,1,1,0,0,2,1
"45",0,1,1,0,0,0,0,0,1,2
"46",0,0,0,1,1,1,0,0,1,2
"47",1,1,0,1,0,0,1,0,2,1
"48",0,0,0,1,0,0,0,0,1,2
"49",0,0,0,1,1,0,1,1,1,2
"50",1,0,0,0,1,1,0,0,1,2
"51",1,1,0,1,1,1,0,0,2,1
"52",1,1,1,1,1,0,0,0,2,1
"53",0,1,1,0,0,0,1,0,1,2
"54",1,0,0,1,1,0,0,1,2,1
"55",1,1,1,0,1,1,0,1,2,1
"56",1,0,1,0,0,0,0,1,1,2
"57",1,0,1,1,0,0,0,1,1,2
"58",1,1,0,1,0,0,0,0,2,1
"59",0,0,0,0,0,1,0,1,1,2
"60",1,1,1,0,0,0,0,0,2,1
"61",0,0,1,1,0,0,1,0,1,2
"62",1,0,0,1,1,1,1,0,1,2
"63",1,0,0,0,0,0,0,1,1,2
"64",1,0,1,0,1,0,0,0,1,2
"65",0,0,1,1,0,1,0,0,1,2
"66",1,0,1,0,0,1,0,0,1,2
"67",1,0,0,1,0,0,0,0,1,2
"68",0,0,0,1,1,1,1,1,1,2
"69",1,1,0,1,1,0,1,0,2,1
"70",0,1,1,0,0,0,1,0,1,2
"71",1,0,0,0,1,1,1,1,1,2
"72",0,0,1,1,0,1,0,1,1,2
"73",0,1,0,0,0,1,1,0,1,2
"74",1,0,0,0,0,1,1,1,1,2
"75",0,0,1,1,0,1,1,1,1,2
"76",1,1,1,0,1,1,0,0,2,1
"77",1,0,0,1,1,0,1,0,1,2
"78",0,1,0,1,0,0,1,0,1,2
"79",1,1,0,0,1,0,1,0,2,1
"80",1,1,1,1,0,1,1,0,2,1
"81",1,1,1,0,0,0,0,0,2,1
"82",1,1,0,0,1,0,0,1,2,1
"83",1,0,1,0,0,1,0,1,1,2
"84",1,1,0,1,0,0,0,1,2,1
"85",1,0,0,0,0,0,1,1,1,2
"86",1,1,0,0,0,1,1,1,2,1
"87",1,1,1,1,0,0,0,0,2,1
"88",0,1,0,1,0,0,1,1,1,2
"89",1,0,1,0,0,1,1,1,1,2
"90",1,0,0,1,0,1,1,1,1,2
"91",1,1,1,0,0,0,1,0,2,1
"92",1,0,0,1,1,1,0,0,1,2
"93",1,1,0,0,1,1,1,1,2,1
"94",0,1,1,0,0,1,0,0,1,2
"95",0,0,1,0,0,0,0,0,1,2
"96",0,0,1,0,1,0,0,1,1,2
"97",0,1,0,0,1,0,1,0,1,2
"98",0,1,0,1,0,1,0,1,1,2
"99",0,0,0,0,1,0,0,0,1,2
"100",1,0,0,1,0,1,1,0,2,1
"101",1,0,1,1,0,1,0,0,1,2
"102",0,0,0,0,1,1,0,0,1,2
"103",1,1,1,0,1,1,1,1,2,1
"104",1,1,0,1,0,0,0,1,2,1
"105",1,1,0,1,0,0,0,1,2,1
"106",1,1,1,0,0,0,0,1,2,1
"107",1,1,1,1,0,0,1,1,2,1
"108",1,1,1,0,1,0,0,1,2,1
"109",0,1,1,1,0,0,1,1,1,2
"110",1,1,1,0,1,0,0,1,2,1
"111",1,1,0,1,1,0,0,1,2,1
"112",1,1,0,0,1,1,0,1,2,1
"113",1,1,1,0,1,0,1,1,2,1
"114",0,0,0,1,0,0,1,1,1,2
"115",0,1,0,0,1,1,1,0,1,2
"116",0,1,1,1,0,0,1,0,1,2
"117",0,1,0,1,0,0,0,1,1,2
"118",1,0,0,1,1,0,0,0,1,2
"119",0,1,0,0,0,1,1,0,1,2
"120",0,0,1,0,0,0,1,1,1,2
"121",0,0,0,1,1,0,1,1,1,2
"122",0,1,1,1,1,1,0,1,1,2
"123",0,0,1,1,1,1,0,1,1,2
"124",1,0,1,1,1,0,1,1,1,2
"125",1,1,1,1,1,1,1,1,2,1
"126",0,0,0,1,0,0,1,0,1,2
"127",0,0,1,0,0,1,0,0,1,2
"128",1,0,1,1,0,1,1,0,1,2
"129",0,1,0,1,1,1,0,0,2,1
"130",1,1,0,0,1,1,0,1,2,1
"131",1,1,0,1,1,0,0,1,2,1
"132",0,0,1,1,1,1,1,1,1,2
"133",0,0,1,1,0,1,0,0,1,2
"134",0,0,1,1,1,0,0,0,1,2
"135",0,1,0,1,1,0,0,0,1,2
"136",0,0,1,1,1,0,1,0,1,2
"137",1,1,1,1,0,0,1,1,2,1
"138",0,1,1,0,1,1,1,1,1,2
"139",0,1,0,1,1,0,0,1,1,2
"140",1,1,1,0,1,0,1,0,2,1
"141",1,1,1,0,0,0,0,1,2,1
"142",1,0,1,1,1,0,0,0,1,2
"143",1,1,0,0,1,1,1,0,2,1
"144",1,1,1,0,1,1,1,1,2,1
"145",1,0,1,0,0,0,1,0,2,1
