"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,2,1,3,4,6,5,7,8,9,11,10,26,32,31,29,28,30,13,23,12,15,27,16,24,14,21,22,25,17,20,18,19
"2",1,0,1,2,3,4,6,5,8,7,10,11,9,15,19,16,12,14,20,32,13,17,31,18,29,24,30,25,27,23,21,28,26,22
"3",0,0,2,1,3,4,6,5,12,10,11,31,7,8,15,32,18,9,17,16,13,14,28,27,30,29,20,23,22,24,26,19,25,21
"4",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"5",1,0,1,2,3,5,4,6,7,10,8,15,9,31,13,11,28,12,32,14,17,30,23,19,16,20,27,24,29,18,25,22,21,26
"6",0,1,1,2,4,3,5,6,10,32,9,7,8,13,12,14,11,15,29,31,27,30,25,26,17,28,19,23,16,21,20,18,22,24
"7",0,1,1,4,3,2,6,5,9,8,7,10,11,12,13,31,32,15,26,18,30,27,29,28,14,16,21,17,25,22,23,19,24,20
"8",0,0,1,2,4,3,7,6,5,11,8,10,15,9,12,28,13,17,29,27,32,30,14,31,20,24,16,22,19,26,21,23,18,25
"9",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"10",1,0,1,2,4,3,6,5,14,9,7,10,11,12,8,23,13,32,17,18,15,30,20,26,27,31,19,16,24,22,29,28,25,21
"11",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"12",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"13",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"14",0,1,1,2,3,4,5,6,7,9,10,8,12,31,11,14,13,16,32,25,15,30,29,22,18,20,21,27,19,23,17,28,24,26
"15",1,0,2,1,3,4,6,5,9,7,8,10,14,32,31,12,13,11,15,18,19,30,17,16,25,20,28,27,24,26,21,29,23,22
"16",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"17",0,1,1,2,3,4,5,6,7,9,32,8,14,31,26,10,11,12,15,13,29,17,20,30,21,25,18,28,16,23,22,27,19,24
