"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,1,2,5,4,3,6,8,7,13,9,12,10,31,11,14,18,32,30,16,17,29,15,28,23,19,20,22,21,24,26,27,25
"2",1,0,1,2,3,5,4,6,7,30,8,10,9,32,11,14,20,31,26,13,12,29,15,27,25,24,28,16,22,17,19,18,23,21
"3",1,0,1,2,3,4,5,8,6,9,7,12,11,10,13,14,32,15,29,30,18,16,31,24,17,21,28,25,20,22,19,26,27,23
"4",0,1,1,3,2,5,4,6,11,8,7,32,9,31,26,30,16,29,10,12,27,28,20,21,25,23,22,19,14,24,15,17,13,18
"5",0,1,1,3,2,4,5,6,12,7,31,10,8,11,14,13,9,15,32,30,18,19,17,16,29,21,27,25,28,22,23,26,20,24
"6",0,0,1,2,3,4,6,7,5,8,15,18,9,10,19,32,13,11,12,30,14,27,31,20,26,17,29,28,22,16,25,23,21,24
"7",1,0,1,2,3,4,7,5,9,6,8,32,11,10,14,12,31,13,28,17,23,18,30,22,16,29,15,24,19,25,27,21,20,26
"8",1,0,1,2,3,5,7,4,8,6,16,9,12,10,15,11,32,31,17,13,20,14,30,18,19,29,28,21,22,23,24,25,27,26
"9",0,1,1,2,3,4,5,8,6,7,9,30,14,12,10,32,11,13,17,15,22,29,16,31,21,27,28,24,20,19,26,18,25,23
"10",0,1,1,2,3,4,5,6,7,10,12,8,9,11,14,13,29,16,15,32,28,17,23,30,18,31,26,21,25,22,20,27,19,24
"11",1,0,1,2,3,6,4,5,7,16,9,12,8,30,13,11,17,18,14,10,32,15,31,20,22,29,27,19,28,25,26,24,21,23
"12",1,0,1,2,4,3,6,10,5,8,9,7,32,27,11,13,30,14,12,15,31,28,25,19,26,16,17,21,29,22,24,23,20,18
"13",1,0,1,2,3,4,5,6,7,9,12,10,11,8,19,23,14,13,17,16,15,32,28,27,29,31,18,30,24,21,25,22,20,26
"14",0,1,1,2,4,3,5,6,9,12,7,8,10,14,13,31,24,11,19,28,17,30,29,32,26,27,23,15,16,21,20,25,22,18
"15",1,0,1,2,3,4,6,7,5,27,8,14,10,9,11,31,15,12,24,32,13,29,26,16,28,19,17,30,23,18,21,20,22,25
"16",0,1,1,2,3,4,5,8,6,7,9,32,12,10,30,15,13,31,11,14,29,17,16,28,21,18,27,25,19,22,26,24,23,20
"17",0,1,2,1,4,3,5,6,8,7,9,27,10,32,29,31,20,30,28,11,12,26,25,14,15,22,16,24,13,23,17,18,21,19
"18",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"19",1,0,1,2,3,6,4,5,7,8,14,12,10,11,30,9,32,13,17,31,18,29,25,15,20,28,26,24,16,27,19,22,23,21
"20",0,0,1,2,3,4,6,5,9,10,7,8,15,11,12,20,14,25,27,32,30,29,24,13,16,28,17,31,21,22,18,26,23,19
"21",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"22",0,1,2,1,4,3,5,7,6,16,30,9,8,32,10,13,11,14,12,18,19,15,28,17,27,20,29,23,24,21,22,25,31,26
"23",0,1,1,2,5,3,4,7,28,6,8,9,10,13,12,22,32,30,11,29,25,15,14,31,16,26,21,24,17,27,20,23,18,19
"24",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
