"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,1,2,3,4,6,5,7,10,8,12,9,11,14,16,28,13,19,15,32,31,17,27,26,29,23,30,18,25,22,20,21,24
"2",0,0,1,3,2,4,5,6,8,9,7,11,14,20,10,32,16,12,13,30,17,31,28,24,18,21,15,29,25,27,26,22,19,23
"3",1,0,1,2,3,4,6,7,5,8,12,10,9,11,13,14,15,30,31,18,17,19,16,32,28,29,27,20,21,23,25,22,26,24
"4",1,0,1,2,3,4,6,5,10,7,8,30,9,29,28,11,32,27,31,12,24,19,22,14,13,16,18,17,26,23,15,20,25,21
"5",0,0,1,2,4,3,5,6,8,7,9,32,10,12,13,11,30,31,20,15,19,26,21,14,16,17,18,29,24,28,27,25,22,23
"6",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"7",0,0,2,1,4,3,5,7,6,9,8,16,10,32,31,11,14,28,12,18,13,29,30,15,25,22,27,17,26,24,21,20,19,23
"8",0,1,1,2,3,5,4,6,9,8,7,14,21,10,12,15,17,16,11,18,13,32,26,23,30,19,20,22,31,28,24,25,27,29
"9",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"10",0,1,1,2,5,4,3,6,7,8,12,9,13,11,10,32,14,31,30,17,15,29,28,20,26,16,23,24,22,18,27,21,25,19
"11",1,0,1,2,3,4,5,6,9,8,7,10,12,11,15,13,17,14,18,32,19,29,16,31,30,23,20,25,27,26,28,22,24,21
"12",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"13",0,1,1,2,3,5,4,6,7,15,8,10,11,12,9,31,13,18,14,32,28,16,30,29,19,27,17,26,25,22,24,23,21,20
"14",0,0,1,2,3,4,5,10,11,6,8,9,7,27,29,32,18,12,31,24,28,14,30,26,23,13,21,15,19,22,25,17,16,20
"15",0,0,1,2,3,5,4,6,8,7,11,9,19,15,10,32,13,12,14,28,31,18,17,16,29,30,23,20,26,27,25,24,22,21
"16",1,0,1,2,3,6,4,12,5,10,8,11,7,9,14,32,13,15,31,29,17,16,28,30,18,21,19,26,25,27,20,22,23,24
"17",0,1,1,4,2,3,5,6,8,7,9,11,10,13,28,12,32,22,29,19,15,31,18,14,30,17,16,27,26,23,20,25,24,21
"18",1,0,1,2,5,3,4,6,8,7,9,12,10,11,13,15,32,14,31,16,30,17,19,20,18,21,29,27,22,28,26,23,25,24
"19",1,0,1,3,2,4,5,8,6,7,9,10,11,14,12,32,23,16,31,24,20,17,13,15,30,29,28,25,19,18,21,26,22,27
"20",1,0,1,2,3,4,6,5,12,8,7,13,9,11,32,10,18,17,14,26,19,30,16,23,15,21,20,31,29,22,27,28,24,25
"21",0,1,1,2,4,3,5,6,7,8,32,9,10,13,11,12,31,16,17,15,24,14,18,27,26,30,19,28,29,23,21,25,22,20
"22",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"23",0,1,1,2,3,6,4,5,8,7,9,13,31,12,28,10,32,26,11,30,14,16,29,25,15,18,23,17,27,20,22,24,19,21
"24",0,1,1,2,3,5,4,6,7,9,8,10,11,32,12,16,23,31,25,18,13,14,19,30,29,17,22,28,21,24,26,20,27,15
"25",0,1,1,2,3,4,6,5,7,8,12,9,13,15,10,11,14,32,19,28,27,31,24,16,29,30,26,18,21,22,17,25,20,23
"26",1,0,1,2,3,4,6,5,7,10,9,8,11,14,12,13,30,29,15,17,32,31,16,20,22,28,18,19,26,24,23,27,21,25
"27",0,1,1,2,3,4,5,6,9,7,8,10,11,23,12,16,14,15,13,20,30,18,32,29,25,21,22,28,17,31,24,19,26,27
"28",1,0,1,2,3,4,6,5,7,11,10,8,9,13,12,16,14,31,15,19,32,30,22,17,20,29,28,23,21,26,18,25,27,24
"29",0,1,1,2,3,4,5,6,32,7,8,14,9,11,29,31,28,10,15,25,13,24,30,19,21,12,17,27,16,26,20,22,23,18
"30",0,1,1,2,3,4,5,7,6,8,9,10,32,29,12,11,13,15,31,18,24,19,17,25,14,16,30,28,23,27,21,20,26,22
"31",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"32",0,1,1,2,3,4,6,5,9,7,8,12,11,10,32,13,19,15,14,17,16,30,25,29,27,28,18,31,20,26,22,24,23,21
"33",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"34",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"35",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"36",0,0,1,2,3,4,5,6,7,8,11,9,10,12,13,15,18,14,17,16,32,25,21,20,22,26,30,19,31,27,28,23,29,24
"37",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"38",0,1,1,2,5,4,3,6,7,8,14,9,10,11,12,19,15,32,13,29,21,28,31,25,30,16,26,20,27,24,23,17,18,22
"39",1,0,1,2,3,5,4,8,7,6,10,9,11,12,13,17,16,32,22,26,24,14,20,27,15,25,19,18,21,31,29,23,30,28
"40",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"41",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"42",1,0,1,2,3,6,5,4,8,7,11,10,9,32,13,12,20,31,15,14,30,25,18,28,22,29,24,16,19,21,23,17,27,26
"43",0,1,1,2,3,4,5,7,6,14,8,32,9,23,10,28,11,27,15,12,19,31,18,13,16,30,20,17,22,29,25,26,21,24
"44",0,1,1,2,4,3,6,8,9,5,7,10,15,12,27,32,14,11,30,18,13,31,29,28,16,17,24,19,22,26,21,23,25,20
"45",0,1,1,2,3,4,5,6,7,8,27,10,11,32,31,29,9,30,12,23,14,28,13,16,26,21,25,15,18,22,20,17,19,24
"46",1,0,1,2,3,4,5,7,6,10,9,30,31,8,12,18,11,29,20,13,14,32,16,19,28,17,26,15,21,22,25,24,27,23
"47",0,1,1,2,3,5,4,6,9,7,8,11,15,10,25,12,13,29,16,31,22,21,32,30,24,17,20,14,27,26,18,19,28,23
"48",0,0,2,1,3,4,8,5,6,11,7,9,10,12,15,28,32,13,14,17,16,26,18,22,25,19,31,23,21,29,20,30,24,27
"49",1,0,1,2,3,4,6,5,7,8,11,10,32,12,31,9,19,15,14,13,27,29,18,24,30,28,26,16,17,20,25,21,22,23
"50",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"51",0,1,1,2,3,4,6,5,9,12,7,19,11,8,10,18,32,16,13,15,14,29,20,25,31,17,22,24,23,30,21,28,27,26
"52",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"53",1,0,2,1,3,4,12,5,13,6,11,8,7,9,10,18,14,15,16,21,31,20,32,30,17,27,19,23,22,28,25,26,29,24
"54",1,0,1,2,4,3,6,5,7,8,9,25,10,15,14,11,12,29,32,31,13,20,19,30,16,17,21,18,27,23,22,28,24,26
"55",0,1,1,2,3,5,4,6,7,11,8,10,9,14,12,16,15,17,13,31,32,26,29,30,18,28,21,27,25,19,23,24,20,22
"56",1,0,2,1,3,4,5,6,7,8,9,12,13,15,30,11,32,16,10,14,27,31,25,18,24,29,22,17,19,20,21,26,23,28
"57",1,0,1,3,2,4,5,6,10,7,8,9,11,13,19,12,15,29,14,32,17,18,30,31,16,28,23,27,21,26,24,25,20,22
"58",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"59",0,0,1,4,2,3,5,6,8,12,9,7,10,31,19,11,14,13,24,15,30,27,32,28,16,21,17,23,22,18,26,20,29,25
"60",1,0,1,3,2,4,6,5,7,8,10,32,9,11,13,14,21,31,12,18,15,20,16,17,30,29,28,22,23,19,25,26,27,24
"61",1,0,1,2,3,4,9,5,6,7,32,8,12,10,16,31,11,15,30,29,13,14,18,19,17,25,28,21,26,24,22,23,20,27
"62",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"63",1,0,1,2,3,4,5,6,8,7,10,13,9,22,28,14,11,31,15,12,17,32,19,30,16,23,26,29,18,25,27,24,20,21
"64",0,1,1,3,2,4,5,6,7,13,9,8,17,10,15,32,11,16,31,26,30,29,12,28,19,20,18,25,24,14,21,22,27,23
"65",0,0,2,1,3,5,4,6,8,7,9,10,32,22,30,12,31,16,11,13,25,29,14,15,18,27,28,19,26,24,23,21,20,17
"66",0,0,1,2,3,4,5,6,32,9,7,14,13,27,15,8,11,16,10,22,31,24,29,30,12,18,28,17,26,25,19,21,20,23
"67",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"68",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"69",0,1,1,2,3,4,5,6,7,8,32,12,10,30,9,15,11,13,27,17,19,14,28,16,31,29,20,26,22,18,25,24,23,21
"70",0,0,1,3,4,2,5,6,7,19,13,8,10,9,32,12,16,11,30,17,14,15,18,31,25,26,29,20,21,27,28,23,22,24
