"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",0,1,1,2
"3",1,1,2,1
"4",1,0,1,2
"5",1,0,2,1
"6",0,1,1,2
"7",1,0,1,2
"8",0,0,1,2
"9",0,0,1,2
"10",1,1,2,1
"11",0,0,1,2
"12",1,1,2,1
"13",1,1,2,1
"14",1,1,2,1
"15",1,0,1,2
"16",1,0,1,2
"17",0,0,1,2
"18",1,0,1,2
"19",1,1,2,1
"20",0,0,1,2
"21",0,1,1,2
"22",0,1,1,2
"23",1,1,2,1
"24",0,1,1,2
"25",1,0,1,2
"26",0,1,1,2
"27",1,1,2,1
"28",1,0,1,2
"29",0,0,1,2
"30",0,0,1,2
"31",1,0,1,2
"32",0,0,1,2
"33",1,1,2,1
"34",1,1,2,1
"35",1,1,2,1
"36",0,0,1,2
"37",0,0,1,2
"38",0,1,1,2
"39",1,1,2,1
"40",1,0,1,2
"41",1,1,2,1
"42",0,1,1,2
"43",1,0,1,2
"44",1,1,2,1
"45",1,0,1,2
"46",1,1,2,1
"47",0,1,1,2
"48",1,0,1,2
"49",0,0,1,2
"50",1,0,1,2
"51",1,1,2,1
"52",1,1,2,1
"53",0,0,1,2
"54",0,1,1,2
"55",1,1,2,1
"56",1,1,2,1
"57",1,0,1,2
"58",0,1,1,2
"59",1,0,1,2
"60",0,1,1,2
"61",1,0,1,2
"62",0,0,1,2
"63",1,0,1,2
"64",0,0,1,2
"65",1,0,1,2
"66",1,0,1,2
"67",0,1,1,2
"68",1,1,2,1
"69",1,0,1,2
"70",1,1,2,1
"71",0,1,1,2
"72",1,1,2,1
"73",1,0,1,2
"74",0,1,1,2
"75",1,1,2,1
"76",1,0,1,2
"77",1,1,2,1
"78",0,0,1,2
"79",0,0,1,2
"80",0,0,1,2
"81",0,0,1,2
"82",0,1,1,2
"83",0,1,1,2
"84",1,1,2,1
"85",1,0,2,1
"86",0,0,1,2
"87",0,1,2,1
"88",1,1,2,1
"89",0,1,1,2
"90",0,1,1,2
"91",0,0,1,2
"92",0,0,2,1
"93",0,0,2,1
"94",0,1,1,2
"95",0,1,1,2
"96",1,1,2,1
"97",1,1,2,1
"98",1,1,2,1
"99",0,0,1,2
"100",1,0,1,2
"101",0,0,1,2
"102",0,1,1,2
"103",1,0,1,2
"104",0,1,1,2
"105",0,1,1,2
"106",1,1,2,1
"107",1,1,2,1
"108",1,0,1,2
"109",1,0,1,2
"110",1,0,1,2
"111",1,0,1,2
"112",1,0,1,2
"113",0,0,1,2
"114",1,1,2,1
"115",1,1,2,1
"116",1,1,2,1
"117",0,1,1,2
"118",0,0,2,1
"119",0,0,1,2
"120",1,1,2,1
"121",1,1,2,1
"122",0,0,1,2
"123",1,0,1,2
"124",0,0,1,2
"125",1,0,1,2
"126",0,1,1,2
"127",0,1,1,2
"128",1,0,1,2
"129",1,1,2,1
"130",0,1,1,2
"131",1,1,2,1
"132",0,0,1,2
"133",0,1,1,2
"134",0,1,1,2
"135",0,1,1,2
"136",1,0,1,2
"137",1,1,2,1
"138",0,0,1,2
"139",0,0,1,2
"140",1,1,2,1
"141",0,0,1,2
"142",0,1,1,2
"143",1,0,1,2
"144",1,0,1,2
"145",0,0,1,2
"146",1,1,2,1
"147",0,1,1,2
"148",1,1,2,1
"149",0,0,1,2
"150",1,0,1,2
"151",1,0,1,2
"152",1,1,2,1
"153",0,1,1,2
"154",0,0,1,2
"155",1,0,1,2
"156",1,1,2,1
"157",1,0,2,1
"158",0,1,1,2
"159",1,1,2,1
"160",1,0,1,2
"161",0,1,1,2
"162",1,0,1,2
"163",1,1,2,1
"164",1,1,2,1
"165",1,1,2,1
"166",1,0,2,1
"167",1,0,1,2
