"","descriptor1","descriptor2","party1","party2"
"1",1,0,1,2
"2",0,0,1,2
"3",1,0,1,2
"4",1,1,2,1
"5",0,0,1,2
"6",1,1,2,1
"7",1,0,1,2
"8",0,1,1,2
"9",0,1,1,2
"10",0,0,1,2
"11",1,1,2,1
"12",1,0,1,2
"13",0,1,1,2
"14",1,0,1,2
"15",0,0,1,2
"16",0,1,1,2
"17",1,0,1,2
"18",1,0,1,2
"19",0,0,1,2
"20",0,0,2,1
"21",0,0,1,2
"22",0,0,1,2
"23",1,1,2,1
"24",0,0,2,1
"25",0,1,1,2
"26",1,1,2,1
"27",1,0,1,2
"28",0,0,1,2
"29",1,1,2,1
"30",1,0,1,2
"31",1,0,1,2
"32",0,1,1,2
"33",1,0,1,2
"34",0,0,1,2
"35",0,0,1,2
"36",1,1,2,1
"37",0,0,1,2
"38",0,1,1,2
"39",0,1,1,2
"40",1,0,1,2
"41",1,0,1,2
"42",0,1,1,2
"43",1,0,1,2
"44",1,1,2,1
"45",0,0,1,2
"46",0,0,1,2
"47",1,1,2,1
"48",1,1,2,1
"49",0,0,1,2
"50",1,0,1,2
"51",1,0,1,2
"52",0,1,2,1
"53",0,0,1,2
"54",1,1,2,1
"55",1,0,1,2
"56",0,1,1,2
"57",1,1,2,1
"58",0,1,1,2
"59",1,1,2,1
"60",1,1,2,1
"61",0,1,1,2
"62",1,0,1,2
"63",0,1,2,1
"64",1,0,1,2
"65",1,1,2,1
"66",0,1,2,1
"67",0,1,1,2
"68",1,1,2,1
"69",1,0,2,1
"70",1,1,2,1
"71",0,0,1,2
"72",1,1,2,1
"73",0,1,1,2
"74",0,0,1,2
"75",1,0,2,1
"76",0,1,1,2
"77",1,0,1,2
"78",1,0,1,2
"79",1,1,2,1
"80",0,0,1,2
"81",0,0,1,2
"82",1,1,2,1
"83",1,0,2,1
"84",0,1,1,2
"85",0,0,1,2
"86",0,0,1,2
"87",1,0,2,1
"88",1,0,1,2
"89",1,0,1,2
"90",1,1,2,1
"91",0,1,1,2
"92",0,1,2,1
"93",0,1,1,2
"94",0,1,1,2
"95",1,1,2,1
"96",1,1,2,1
"97",1,1,2,1
"98",0,0,1,2
"99",0,0,1,2
"100",1,1,2,1
"101",0,0,1,2
"102",0,0,1,2
"103",0,0,1,2
"104",1,0,1,2
"105",1,1,2,1
"106",0,0,1,2
"107",0,1,1,2
"108",0,1,1,2
"109",1,1,2,1
"110",1,0,1,2
"111",1,0,1,2
"112",0,1,2,1
"113",1,1,2,1
"114",0,1,1,2
"115",1,1,2,1
"116",0,0,1,2
"117",0,0,1,2
"118",1,0,2,1
"119",1,0,1,2
"120",1,1,2,1
"121",0,1,1,2
"122",0,1,1,2
