"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,4,3,5,6,7,9,8,10,13,11,12,14,15,18,22,17,16,32,20,19,29,21,23,31,30,26,28,24,27,25
"2",0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,2,3,6,5,4,8,14,7,13,10,9,18,32,29,11,12,15,30,16,17,21,31,28,26,24,20,25,19,23,22,27
"3",0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,2,3,4,5,9,7,6,32,8,10,12,18,11,14,15,24,13,19,17,29,16,31,28,25,27,30,21,26,20,23,22
"4",1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,2,4,3,7,6,5,8,32,12,13,10,9,31,18,11,14,30,19,16,22,15,23,17,20,29,24,27,21,25,28,26
"5",1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"6",0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,2,3,4,5,6,32,8,9,7,30,12,10,11,15,31,14,17,13,18,20,19,16,22,28,25,24,21,29,27,23,26
"7",1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"9",0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,3,2,4,5,8,6,7,9,31,32,10,11,12,13,14,18,16,22,30,15,19,17,29,27,28,25,23,21,20,26,24
"10",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,3,2,6,5,4,7,8,11,9,10,12,14,32,20,15,28,13,31,17,29,25,16,18,30,22,26,19,24,23,27,21
"11",1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,2,3,4,5,6,8,7,16,10,12,9,11,13,18,15,32,31,21,27,14,19,30,24,17,29,22,20,28,23,26,25
"12",1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,2,4,3,5,6,10,8,7,12,13,9,18,14,11,17,16,15,32,29,20,23,19,21,31,26,24,25,30,28,27,22
"13",0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,2,1,3,4,5,6,8,7,12,9,11,13,10,28,32,14,16,15,31,26,27,29,17,18,30,23,19,25,20,24,22,21
"14",0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,4,3,5,6,7,14,8,9,32,10,29,13,11,18,31,25,27,30,16,17,15,21,20,12,28,26,19,22,23,24
"15",1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,2,1,4,5,3,8,11,6,7,9,27,12,15,31,10,14,16,32,17,26,13,30,29,18,19,21,22,25,20,24,28,23
"17",1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"18",1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"19",0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,2,3,5,4,6,7,8,12,9,10,13,14,11,16,17,15,19,31,32,20,18,21,22,28,25,29,23,24,27,30,26
"20",1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,2,3,8,4,5,6,7,10,14,9,27,31,32,13,11,12,15,30,29,24,28,16,19,22,26,17,23,18,21,25,20
"22",0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,2,3,4,5,7,6,32,8,9,10,11,12,13,30,14,16,27,31,17,15,29,20,24,21,22,28,26,25,18,23,19
"23",1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,3,4,5,6,10,7,9,14,32,13,8,12,11,15,29,31,30,16,19,17,22,18,21,23,26,28,20,27,24,25
"24",1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"25",0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,3,4,5,6,7,9,12,8,31,15,10,14,28,32,13,11,20,26,22,17,18,29,16,30,27,25,19,21,23,24
"26",0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,2,4,5,3,6,9,8,7,10,31,12,32,15,30,14,11,21,19,28,18,13,16,29,22,25,17,23,26,20,27,24
"27",0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,3,2,4,5,9,7,6,8,11,32,12,10,30,20,13,18,14,19,15,16,29,31,25,17,21,22,26,24,23,28,27
"28",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,2,3,4,5,10,7,6,13,8,14,12,9,16,15,11,30,21,32,31,27,25,19,29,28,20,17,18,26,22,23,24
"29",1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"30",1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,2,3,4,7,10,6,5,8,11,9,14,30,12,32,22,13,25,16,15,27,19,17,31,18,28,23,26,24,20,21,29
"31",1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,2,3,5,4,6,13,8,7,31,9,10,32,11,14,15,12,17,30,16,20,24,18,28,29,27,22,25,19,26,21,23
"32",0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,2,3,4,5,6,7,10,8,9,18,11,31,15,12,30,32,14,29,13,17,28,16,19,26,20,27,22,23,21,24,25
"33",1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"34",0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2,3,5,4,6,7,8,9,12,15,10,13,11,24,32,16,21,31,28,29,14,23,19,26,30,17,25,18,22,20,27
"35",0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,2,4,3,5,6,7,8,32,28,10,9,11,31,25,12,30,14,24,15,16,27,26,17,13,29,19,20,18,21,23,22
"36",1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,2,3,4,5,6,7,8,32,9,10,14,11,13,12,16,30,29,15,31,20,17,23,26,18,28,27,24,21,19,25,22
