"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,3,5,6,7,15,16,11,10,13,8,14,9,12
"3",1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,2,1,3,6,4,5,10,11,9,12,7,8,16,14,15,13
"4",0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,2,3,4,5,6,8,7,11,9,15,10,13,16,12,14
"5",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,7,4,5,3,13,11,6,9,12,8,10,14,15,16
"6",0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,3,4,5,6,7,8,9,11,15,12,14,10,13,16
"7",1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,4,3,5,6,8,7,9,10,16,13,15,11,14,12
"8",0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,2,1,3,4,7,9,5,6,12,10,8,16,15,14,11,13
"9",0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,2,3,5,4,6,7,8,9,10,14,13,11,16,12,15
"10",0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,2,3,4,5,6,10,7,9,13,8,11,15,12,16,14
"11",0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,3,2,4,5,6,8,9,7,10,12,11,15,14,13,16
"12",0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,2,3,4,5,8,7,6,10,11,13,9,16,12,14,15
"13",0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,2,3,4,5,6,11,8,7,12,9,10,13,15,14,16
"14",1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,3,2,4,5,8,6,7,9,14,10,13,15,11,16,12
"15",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"17",0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,3,2,4,5,7,6,10,9,8,11,12,16,14,15,13
"18",1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"19",1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,2,3,4,6,5,10,9,8,7,11,14,15,13,16,12
"20",1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,2,3,7,8,5,4,6,11,12,16,9,10,13,15,14
"22",0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,3,2,4,5,8,11,6,7,15,12,10,9,13,16,14
"23",0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,2,3,5,6,4,8,11,7,9,14,13,12,10,16,15
"24",0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,2,3,4,5,12,6,10,16,8,7,15,9,11,14,13
"25",1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2,4,3,5,7,6,9,8,10,11,14,15,12,16,13
"26",1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,2,3,5,4,6,7,8,9,16,13,10,11,14,15,12
"27",0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,2,1,3,4,6,5,8,7,9,13,16,10,11,15,14,12
"28",1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,2,3,4,5,6,8,9,7,10,12,13,11,15,14,16
"29",0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,3,2,4,5,6,12,8,9,7,10,16,11,13,15,14
"30",0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,2,3,4,5,7,6,9,10,8,14,12,11,13,16,15
"31",0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,3,5,4,6,7,8,15,14,9,10,16,11,13,12
"32",0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,2,4,3,5,8,6,10,11,9,12,7,13,16,15,14
"33",0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,2,3,5,4,7,6,9,8,12,15,13,11,10,14,16
"34",1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,2,1,3,4,6,5,7,8,9,12,14,10,16,11,15,13
