"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,3,4,5,6,8,9,10,7,11,13,15,12,14,16
"2",0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,3,2,4,5,6,7,8,10,9,13,12,11,15,16,14
"3",0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,3,4,5,7,6,9,12,16,8,15,14,10,13,11
"4",0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,3,2,4,5,6,7,8,10,9,12,11,16,13,14,15
"5",0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,2,3,5,4,6,7,9,16,8,14,15,10,11,13,12
"6",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2,1,4,5,3,8,7,6,10,9,14,11,12,13,16,15
"7",1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,2,4,3,5,6,7,11,10,8,9,15,12,16,13,14
"9",0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,3,2,4,5,9,6,7,8,11,15,10,16,12,13,14
"10",0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,2,3,5,4,6,7,8,9,11,15,12,16,10,13,14
"11",1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,2,3,7,4,5,6,9,8,10,11,14,13,12,15,16
"12",0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,2,4,3,8,5,7,6,12,10,9,14,11,13,15,16
"13",0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,2,4,3,6,5,7,8,10,12,9,15,13,14,11,16
"14",0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,2,3,4,5,6,8,7,9,16,11,13,14,10,12,15
"15",0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,2,3,4,5,8,12,7,6,10,16,9,13,14,15,11
"16",1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"17",1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"18",1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,2,3,4,5,7,6,8,16,10,12,11,9,15,14,13
"19",0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,4,3,6,5,9,7,10,8,15,16,12,11,13,14
"20",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,2,3,4,5,7,6,8,15,9,10,16,12,13,14,11
"22",0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,2,4,3,7,5,6,10,9,8,11,12,14,15,13,16
"23",1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,2,3,4,5,8,6,9,7,10,14,16,13,15,11,12
"24",1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,2,3,4,7,5,15,6,9,8,11,14,10,13,16,12
"25",1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"26",1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"27",1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2,3,5,7,6,4,8,9,15,11,10,14,12,16,13
"28",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,3,4,5,6,7,9,8,11,10,12,13,15,14,16
"29",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"30",0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,5,2,4,3,6,8,7,14,9,15,10,11,13,16,12
"31",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,3,2,4,5,6,9,7,10,11,16,8,12,13,15,14
"32",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,4,5,7,6,8,14,11,9,12,13,10,16,15
"33",0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,2,3,4,7,6,5,8,9,10,11,16,12,13,15,14
"34",1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"35",0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,2,3,5,8,4,6,12,7,10,14,13,11,9,16,15
"36",0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,2,3,4,5,7,6,9,8,10,15,12,13,14,16,11
"37",0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,2,3,1,4,5,6,16,7,12,8,10,14,13,15,11,9
"38",1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,3,2,5,6,4,7,8,12,9,11,10,14,13,16,15
"39",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2,3,4,5,6,8,7,12,9,10,11,15,14,16,13
"40",0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,2,3,4,6,5,7,12,8,9,14,16,10,11,13,15
"41",0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,9,8,13,15,16,10,12,14,11
"42",1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,2,3,4,5,6,8,9,10,7,11,13,14,15,12,16
"43",0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,2,3,4,5,6,7,10,8,9,15,16,14,13,12,11
"44",0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,2,3,4,5,7,6,8,9,14,16,10,11,15,12,13
"45",0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,3,4,5,6,8,7,10,9,15,11,16,14,13,12
"46",0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,2,3,5,4,7,8,6,9,10,16,11,12,13,14,15
"47",1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"48",0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,1,3,5,4,6,10,7,8,9,16,14,13,11,12,15
"49",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"50",1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,2,4,3,5,15,6,7,10,8,16,9,12,13,14,11
"51",0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,2,3,4,5,6,10,8,7,9,14,11,12,13,15,16
"52",0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,3,5,4,7,8,6,9,12,10,11,14,13,15,16
"53",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,3,4,7,5,6,12,8,10,9,11,13,14,15,16
"54",0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,2,4,3,6,5,7,9,8,10,11,15,12,13,16,14
"55",0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,2,3,4,5,6,8,11,10,9,7,12,14,15,13,16
"56",1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,5,4,6,9,7,8,11,12,13,16,10,14,15
"57",0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,2,3,4,5,6,8,14,7,10,16,9,12,15,13,11
"58",1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"59",0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,2,4,3,5,7,6,9,8,10,14,13,16,15,12,11
"60",1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"61",0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,2,3,4,5,7,6,9,8,16,12,10,11,13,15,14
"62",0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,2,3,4,5,6,7,11,9,8,14,10,13,15,16,12
"63",0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,3,4,6,5,12,8,10,13,9,7,11,14,15,16
"64",1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"65",1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,3,2,4,7,5,6,9,10,8,13,12,15,11,16,14
"66",1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,2,3,4,6,5,7,8,9,10,11,12,13,15,16,14
"67",1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"68",1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,2,4,3,5,6,16,8,11,10,9,7,13,14,15,12
"69",0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,1,4,3,5,6,9,8,7,10,13,16,11,14,12,15
"70",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3,5,4,7,6,9,11,8,16,15,13,10,12,14
"71",1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,2,3,4,5,6,9,11,8,7,15,10,14,16,13,12
"72",1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"73",1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,3,2,4,5,6,8,7,9,11,14,15,13,16,12,10
"74",1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,2,3,4,5,6,7,8,9,16,10,12,11,14,15,13
"75",0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,3,4,5,7,6,8,11,9,14,13,10,16,15,12
"76",1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,2,3,7,4,5,10,8,6,16,9,13,11,12,14,15
"77",0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,2,3,5,4,6,7,8,11,16,10,9,12,15,14,13
"78",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,3,4,2,5,7,6,9,10,11,15,8,16,14,12,13
"79",0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,2,3,4,6,5,7,8,9,11,10,13,15,12,16,14
"80",0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,2,4,3,5,8,6,7,11,12,9,16,14,10,13,15
"81",1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"82",0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,3,5,6,4,7,10,8,16,13,12,9,11,15,14
"83",0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,3,6,4,5,7,9,8,11,16,10,12,14,15,13
"84",1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,2,3,5,4,6,7,8,9,12,11,15,14,10,16,13
"85",0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,2,1,3,4,5,7,6,8,16,10,13,9,14,12,11,15
"86",0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,3,4,6,5,7,8,10,9,12,15,14,13,11,16
"87",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,4,3,5,6,8,7,9,12,16,14,15,13,11,10
"88",0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,2,3,4,5,7,12,6,9,10,8,11,14,16,15,13
"89",1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,2,3,4,5,8,9,6,7,15,12,10,11,16,13,14
"90",0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,2,3,5,4,6,7,9,11,8,12,10,15,13,16,14
"91",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2,4,3,7,6,5,12,10,13,15,8,9,14,16,11
"92",1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"93",0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,2,3,4,5,8,6,10,11,7,9,14,12,16,13,15
"94",0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2,3,4,9,5,8,6,7,16,14,15,12,11,10,13
"95",1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
