"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,3,2,5,4,7,6,10,8,11,9,13,12,15,16,14
"4",0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,2,3,4,5,6,7,10,8,13,9,11,16,15,12,14
"5",0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,2,3,5,4,6,7,9,8,11,13,10,14,16,12,15
"6",0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,2,1,3,4,5,7,6,8,9,13,10,11,15,16,12,14
"7",1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,3,2,4,6,5,7,10,9,8,16,12,13,11,14,15
"9",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,3,2,4,5,6,16,7,8,9,10,11,15,12,13,14
"10",1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,3,2,4,6,5,8,7,10,9,14,16,13,15,11,12
"12",1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,2,3,4,5,9,6,7,13,8,10,16,11,14,15,12
"13",0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,3,2,5,4,11,6,7,8,10,12,9,15,13,16,14
"14",0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,2,3,4,6,5,8,7,9,15,10,16,11,12,13,14
"15",1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,2,4,3,5,9,6,7,12,8,16,10,15,11,13,14
"17",0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,3,4,5,6,7,16,8,15,9,10,11,12,14,13
"18",0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,2,3,4,6,8,5,9,7,10,15,16,14,12,13,11
"19",1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,2,1,4,3,6,5,9,7,8,10,11,13,15,16,12,14
"20",1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
