"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,2,3,5,4,6,8,11,9,7,10,12,16,15,13,14
"2",1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,2,3,4,5,7,6,8,10,9,15,14,12,11,13,16
"3",0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,2,3,4,6,5,8,7,10,13,11,12,9,16,15,14
"4",0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,2,3,4,5,7,6,8,9,13,12,10,11,15,16,14
"5",1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,2,3,6,4,5,12,9,7,13,14,8,10,15,11,16
"6",0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,2,3,4,5,7,8,9,6,15,10,11,14,16,13,12
"7",0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,3,4,5,6,7,10,8,15,11,9,16,12,13,14
"8",0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,3,2,5,4,7,6,10,8,16,14,9,12,11,13,15
"9",0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,3,5,4,8,7,6,10,9,13,12,16,11,15,14
"10",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,3,4,5,6,12,7,8,9,16,10,13,15,11,14
"11",1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12",0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,2,5,3,4,6,8,10,7,9,16,13,11,12,14,15
"13",1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"14",1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,2,3,4,13,8,6,5,9,15,7,12,10,11,16,14
"15",0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2,3,4,5,6,7,8,10,13,9,16,15,14,12,11
"16",1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,2,3,4,6,5,9,7,8,12,10,16,13,11,15,14
"17",0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,4,3,5,8,9,6,7,10,16,11,13,14,15,12
