"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,1,2,3,4,5,6,7,8
"2",1,1,2,1,4,3,6,5,8,7
"3",0,1,1,2,3,4,5,8,7,6
"4",1,0,1,2,3,4,6,7,5,8
"5",0,0,1,2,3,4,5,7,6,8
"6",1,0,1,2,4,3,5,6,7,8
"7",0,0,1,2,3,4,6,5,7,8
"8",1,1,2,1,4,3,6,5,8,7
"9",0,0,1,2,3,4,6,5,7,8
"10",0,0,1,2,4,3,5,7,6,8
"11",1,1,2,1,4,3,6,5,8,7
"12",1,1,2,1,4,3,6,5,8,7
"13",1,1,2,1,4,3,6,5,8,7
"14",1,1,2,1,4,3,6,5,8,7
"15",0,0,1,2,3,4,5,6,7,8
"16",1,0,2,1,3,4,5,6,8,7
"17",1,1,2,1,4,3,6,5,8,7
"18",1,1,2,1,4,3,6,5,8,7
"19",0,1,1,2,4,3,5,6,7,8
"20",0,0,1,2,3,4,5,6,8,7
"21",0,1,3,1,2,4,5,6,7,8
"22",0,1,1,2,3,4,5,6,7,8
"23",0,0,1,2,3,4,5,6,7,8
"24",1,1,2,1,4,3,6,5,8,7
"25",1,0,1,2,3,4,5,6,7,8
"26",0,0,2,1,3,7,4,5,6,8
"27",0,0,1,2,3,4,5,6,7,8
"28",0,0,1,2,3,4,6,5,7,8
"29",0,1,1,2,3,4,5,6,8,7
"30",1,1,2,1,4,3,6,5,8,7
"31",1,1,2,1,4,3,6,5,8,7
"32",1,1,2,1,4,3,6,5,8,7
"33",0,1,1,2,4,3,5,6,7,8
"34",0,1,1,2,3,4,7,5,6,8
"35",1,1,2,1,4,3,6,5,8,7
"36",1,0,1,2,4,3,6,7,8,5
"37",1,1,2,1,4,3,6,5,8,7
"38",0,0,1,2,3,5,4,6,7,8
"39",0,0,1,2,7,3,6,5,4,8
"40",1,1,2,1,4,3,6,5,8,7
"41",0,0,1,2,3,4,6,5,7,8
"42",0,0,1,2,4,3,5,6,7,8
"43",1,0,1,2,3,7,4,5,6,8
"44",1,1,2,1,4,3,6,5,8,7
"45",0,1,1,2,3,4,6,5,7,8
"46",0,0,1,2,3,4,6,7,5,8
"47",0,1,1,2,3,4,5,8,6,7
"48",1,1,2,1,4,3,6,5,8,7
"49",0,1,2,1,4,3,5,6,8,7
"50",1,0,1,3,2,4,5,8,6,7
"51",1,1,2,1,4,3,6,5,8,7
"52",1,1,2,1,4,3,6,5,8,7
"53",1,1,2,1,4,3,6,5,8,7
"54",1,1,2,1,4,3,6,5,8,7
"55",0,1,1,3,2,4,6,7,8,5
"56",1,0,1,2,4,3,5,6,7,8
"57",1,1,2,1,4,3,6,5,8,7
"58",1,0,1,3,2,4,5,6,7,8
"59",1,1,2,1,4,3,6,5,8,7
"60",1,1,2,1,4,3,6,5,8,7
"61",1,1,2,1,4,3,6,5,8,7
"62",1,0,1,3,2,4,5,6,7,8
"63",1,1,2,1,4,3,6,5,8,7
"64",0,1,1,2,4,3,6,7,5,8
"65",1,1,2,1,4,3,6,5,8,7
"66",0,1,1,2,3,4,5,8,7,6
"67",0,1,1,3,2,4,5,6,7,8
"68",1,0,2,1,3,4,7,8,5,6
"69",0,1,1,3,2,4,6,5,7,8
"70",0,0,2,1,3,5,4,6,7,8
"71",0,1,1,2,4,5,3,7,8,6
"72",0,0,2,1,3,4,6,5,8,7
"73",1,0,1,2,3,4,6,7,5,8
"74",0,0,1,2,4,5,3,6,7,8
"75",0,1,1,2,4,3,5,6,7,8
"76",0,1,1,2,3,4,5,6,7,8
"77",1,0,2,1,3,4,5,6,8,7
"78",1,1,2,1,4,3,6,5,8,7
"79",1,1,2,1,4,3,6,5,8,7
"80",0,1,1,2,3,4,5,6,8,7
"81",1,0,1,2,3,4,5,6,7,8
"82",0,1,1,2,3,4,5,7,6,8
"83",1,0,1,2,4,3,5,6,7,8
"84",0,1,1,2,4,3,7,5,8,6
"85",1,0,1,2,3,5,4,6,7,8
"86",1,0,2,1,3,4,5,7,6,8
"87",1,1,2,1,4,3,6,5,8,7
"88",1,0,1,2,4,3,6,5,7,8
"89",1,1,2,1,4,3,6,5,8,7
"90",0,1,1,3,2,5,4,6,8,7
"91",0,0,2,1,3,5,4,8,6,7
"92",1,0,1,2,3,5,4,7,6,8
"93",0,1,1,3,2,4,5,7,6,8
"94",0,1,1,2,4,3,5,7,6,8
"95",0,0,1,2,3,4,5,8,6,7
"96",1,0,1,2,3,4,5,8,7,6
"97",0,0,1,2,3,4,5,6,7,8
"98",0,0,1,2,3,5,4,6,7,8
"99",0,0,2,1,3,4,5,6,7,8
"100",1,1,2,1,4,3,6,5,8,7
