"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,0,1,2,3,5,4,7,6,8
"2",1,0,1,2,3,4,5,8,6,7
"3",1,1,2,1,4,3,6,5,8,7
"4",0,0,2,1,3,4,5,6,7,8
"5",1,0,2,1,4,3,5,6,7,8
"6",0,0,1,2,4,3,5,6,7,8
"7",0,1,1,2,3,4,6,5,7,8
"8",1,1,2,1,4,3,6,5,8,7
"9",1,1,2,1,4,3,6,5,8,7
"10",0,1,1,2,3,4,5,8,7,6
"11",1,0,1,2,3,4,5,8,6,7
"12",1,0,2,1,3,4,5,6,8,7
"13",0,0,1,3,2,4,5,7,8,6
"14",0,1,1,2,3,5,4,6,8,7
"15",0,1,1,2,3,4,5,6,7,8
"16",1,0,1,2,3,4,5,8,6,7
"17",1,1,2,1,4,3,6,5,8,7
"18",0,1,1,2,4,3,5,6,7,8
"19",1,1,2,1,4,3,6,5,8,7
"20",1,0,1,2,4,3,5,8,6,7
"21",0,1,1,2,3,4,5,6,8,7
"22",0,0,1,2,3,5,4,6,7,8
"23",1,0,1,2,3,4,5,7,6,8
"24",0,1,1,2,3,5,8,4,6,7
"25",1,1,2,1,4,3,6,5,8,7
"26",0,1,1,2,3,4,5,6,7,8
"27",1,1,2,1,4,3,6,5,8,7
"28",1,1,2,1,4,3,6,5,8,7
"29",0,1,2,1,3,5,4,6,7,8
"30",1,1,2,1,4,3,6,5,8,7
"31",1,1,2,1,4,3,6,5,8,7
"32",0,0,1,2,4,3,5,7,6,8
"33",1,1,2,1,4,3,6,5,8,7
"34",1,0,1,2,5,6,3,4,7,8
"35",0,1,1,2,3,4,5,6,8,7
"36",0,1,1,2,4,3,6,7,8,5
"37",0,1,1,2,3,4,5,8,6,7
"38",1,0,1,2,3,4,7,5,6,8
"39",1,0,1,4,3,2,6,5,7,8
"40",0,0,1,2,3,4,5,6,7,8
"41",1,0,1,2,3,6,4,8,7,5
"42",0,0,1,3,2,4,7,5,6,8
"43",1,0,1,2,6,4,3,5,8,7
"44",1,0,1,2,6,3,4,7,5,8
"45",0,0,1,3,2,5,4,7,6,8
"46",1,1,2,1,4,3,6,5,8,7
"47",1,0,1,3,2,6,4,8,5,7
"48",1,1,2,1,4,3,6,5,8,7
"49",1,1,2,1,4,3,6,5,8,7
"50",1,0,1,3,2,4,6,5,7,8
"51",0,0,1,2,4,3,6,5,7,8
"52",0,1,1,2,3,4,5,8,6,7
"53",1,0,1,2,3,4,5,8,6,7
"54",0,1,1,3,2,4,5,6,7,8
"55",0,0,1,2,3,4,8,6,7,5
"56",1,1,2,1,4,3,6,5,8,7
"57",0,1,1,2,4,5,3,7,6,8
"58",1,0,1,2,4,3,5,7,6,8
"59",1,1,2,1,4,3,6,5,8,7
"60",0,1,1,2,3,6,5,4,8,7
"61",1,1,2,1,4,3,6,5,8,7
"62",1,1,2,1,4,3,6,5,8,7
"63",1,1,2,1,4,3,6,5,8,7
"64",0,1,1,2,3,5,4,6,7,8
"65",0,0,1,2,3,4,6,5,8,7
"66",0,1,2,1,5,3,4,6,8,7
"67",1,0,1,2,3,4,6,5,7,8
"68",0,1,1,2,3,4,6,7,5,8
"69",0,1,1,2,3,5,4,6,8,7
"70",1,1,2,1,4,3,6,5,8,7
"71",1,1,2,1,4,3,6,5,8,7
"72",1,0,1,2,3,4,5,7,8,6
"73",1,0,1,2,3,4,7,6,5,8
"74",1,0,1,2,3,4,5,6,8,7
"75",0,1,1,2,3,4,5,7,8,6
"76",0,1,1,2,3,4,5,6,8,7
"77",1,1,2,1,4,3,6,5,8,7
"78",0,1,1,2,3,4,5,8,6,7
"79",0,0,1,2,3,5,7,4,6,8
"80",1,1,2,1,4,3,6,5,8,7
"81",1,0,1,2,3,4,6,5,8,7
"82",0,1,1,3,2,4,5,6,7,8
"83",1,0,1,2,3,4,6,5,7,8
"84",1,0,1,3,2,4,5,6,8,7
"85",0,1,1,2,3,4,5,6,8,7
"86",0,0,1,2,3,4,5,7,6,8
"87",0,1,1,2,3,4,6,7,5,8
"88",1,0,1,2,4,3,5,8,6,7
"89",0,0,2,1,3,4,5,8,6,7
"90",0,1,1,2,3,8,4,6,5,7
"91",1,1,2,1,4,3,6,5,8,7
"92",0,1,1,2,3,4,5,7,6,8
"93",1,0,1,2,3,5,4,6,7,8
"94",0,0,1,3,2,5,4,7,8,6
"95",1,0,1,2,3,4,6,5,8,7
"96",1,1,2,1,4,3,6,5,8,7
"97",0,0,1,2,3,4,6,5,7,8
"98",0,0,1,3,2,5,4,6,7,8
"99",0,1,1,2,3,6,4,5,8,7
"100",1,1,2,1,4,3,6,5,8,7
