"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,1,1,3,2,4,6,5,7,8
"2",0,0,1,2,3,6,4,5,7,8
"3",1,0,2,1,3,4,6,7,5,8
"4",0,0,2,1,4,3,6,5,8,7
"5",1,1,2,1,4,3,6,5,8,7
"6",1,0,1,2,3,5,4,8,7,6
"7",0,0,1,2,3,4,5,7,6,8
"8",1,0,1,3,2,4,7,5,6,8
"9",1,1,2,1,4,3,6,5,8,7
"10",0,0,2,1,4,3,5,6,8,7
"11",1,1,2,1,4,3,6,5,8,7
"12",1,0,1,2,3,4,5,6,7,8
"13",1,0,1,2,3,4,5,6,7,8
"14",0,1,1,2,3,5,4,6,7,8
"15",0,1,1,2,3,5,7,4,6,8
"16",0,0,1,2,3,4,5,6,7,8
"17",1,1,2,1,4,3,6,5,8,7
"18",1,0,1,2,5,4,3,7,6,8
"19",1,0,1,2,4,5,3,6,8,7
"20",1,1,2,1,4,3,6,5,8,7
"21",0,0,1,2,3,4,6,5,7,8
"22",0,0,1,2,3,4,5,6,7,8
"23",1,1,2,1,4,3,6,5,8,7
"24",1,1,2,1,4,3,6,5,8,7
"25",0,1,1,2,3,4,5,6,7,8
"26",0,0,1,2,4,3,5,6,7,8
"27",0,1,1,2,3,4,5,6,7,8
"28",1,1,2,1,4,3,6,5,8,7
"29",0,1,1,2,3,4,6,5,7,8
"30",1,1,2,1,4,3,6,5,8,7
"31",1,0,1,2,5,3,4,6,7,8
"32",1,0,1,2,3,4,5,6,7,8
"33",0,0,1,2,3,6,4,5,7,8
"34",0,0,1,2,3,5,6,4,8,7
"35",1,0,1,2,3,4,5,6,8,7
"36",0,0,1,2,3,4,5,7,6,8
"37",0,0,1,2,6,4,3,5,7,8
"38",1,0,1,2,3,4,6,5,7,8
"39",1,1,2,1,4,3,6,5,8,7
"40",0,0,1,2,3,4,7,5,6,8
"41",1,1,2,1,4,3,6,5,8,7
"42",0,1,1,3,2,5,4,6,7,8
"43",0,1,1,2,3,4,5,6,7,8
"44",1,0,1,2,3,4,8,5,6,7
"45",0,0,1,2,3,4,8,5,6,7
"46",0,0,1,2,3,5,4,8,7,6
"47",1,0,1,2,3,4,5,6,7,8
"48",1,0,1,2,3,4,6,5,7,8
"49",0,0,1,2,3,4,5,6,8,7
"50",1,0,1,2,5,3,4,6,7,8
"51",1,0,1,2,3,4,6,5,7,8
"52",1,1,2,1,4,3,6,5,8,7
"53",0,0,1,2,3,5,4,6,7,8
"54",1,0,1,2,4,3,5,7,6,8
"55",1,1,2,1,4,3,6,5,8,7
"56",1,1,2,1,4,3,6,5,8,7
"57",1,0,1,2,3,4,5,6,7,8
"58",1,1,2,1,4,3,6,5,8,7
"59",1,1,2,1,4,3,6,5,8,7
"60",0,1,1,2,3,4,6,7,5,8
"61",1,1,2,1,4,3,6,5,8,7
"62",0,1,1,3,4,2,5,8,7,6
"63",1,0,1,2,3,5,6,4,8,7
"64",0,1,1,2,3,4,5,6,7,8
"65",1,1,2,1,4,3,6,5,8,7
"66",0,0,1,2,3,4,6,5,7,8
"67",1,0,1,2,3,4,5,7,6,8
"68",1,0,1,2,3,7,6,4,5,8
"69",1,0,1,2,3,5,4,8,6,7
"70",0,0,1,2,3,5,7,8,4,6
"71",1,0,2,1,3,4,5,7,8,6
"72",0,1,1,2,4,3,7,6,5,8
"73",0,0,1,2,5,3,4,7,6,8
"74",1,0,1,2,3,4,5,6,7,8
"75",0,1,1,2,3,5,4,7,6,8
"76",1,0,1,3,2,4,5,7,6,8
"77",1,0,1,2,3,4,5,7,8,6
"78",0,1,1,2,3,4,5,6,8,7
"79",0,0,1,2,4,3,6,5,8,7
"80",0,0,1,2,3,4,6,5,8,7
"81",0,0,2,1,3,5,4,6,8,7
"82",1,1,2,1,4,3,6,5,8,7
"83",1,0,2,1,3,4,6,5,8,7
"84",1,1,2,1,4,3,6,5,8,7
"85",1,1,2,1,4,3,6,5,8,7
"86",0,0,1,2,3,4,6,5,7,8
"87",1,1,2,1,4,3,6,5,8,7
"88",0,0,1,2,3,4,6,5,7,8
"89",0,0,1,2,3,4,5,7,6,8
"90",1,1,2,1,4,3,6,5,8,7
"91",1,0,1,2,3,4,5,7,6,8
"92",1,0,1,2,3,4,5,6,7,8
"93",1,1,2,1,4,3,6,5,8,7
"94",1,1,2,1,4,3,6,5,8,7
"95",1,0,1,2,3,4,5,6,7,8
"96",1,1,2,1,4,3,6,5,8,7
"97",0,1,1,2,3,5,4,6,8,7
"98",0,1,1,2,4,3,5,6,8,7
"99",0,0,1,2,4,3,5,7,8,6
"100",1,1,2,1,4,3,6,5,8,7
