"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,1,2,3,5,4,6,8,7
"2",0,0,1,4,3,2,7,5,8,6
"3",1,0,1,2,3,4,8,5,7,6
"4",0,1,1,2,4,3,5,8,6,7
"5",0,1,1,2,3,4,6,5,8,7
"6",0,1,1,2,3,4,5,6,7,8
"7",1,0,1,2,3,4,5,6,7,8
"8",1,1,2,1,4,3,6,5,8,7
"9",0,0,1,2,3,6,5,4,7,8
"10",1,1,2,1,4,3,6,5,8,7
"11",1,0,1,2,3,4,5,7,8,6
"12",1,0,1,2,3,4,5,6,8,7
"13",1,1,2,1,4,3,6,5,8,7
"14",1,0,1,2,4,3,5,7,6,8
"15",0,0,1,3,2,5,4,6,7,8
"16",1,0,1,3,2,4,6,5,8,7
"17",0,0,2,1,3,4,5,8,7,6
"18",1,1,2,1,4,3,6,5,8,7
"19",1,1,2,1,4,3,6,5,8,7
"20",1,0,1,2,3,5,4,6,7,8
"21",1,1,2,1,4,3,6,5,8,7
"22",0,1,1,2,4,3,6,8,5,7
"23",1,1,2,1,4,3,6,5,8,7
"24",1,0,2,1,4,3,5,6,8,7
"25",1,1,2,1,4,3,6,5,8,7
"26",0,1,1,2,3,4,5,7,6,8
"27",0,1,1,3,2,5,4,6,8,7
"28",1,1,2,1,4,3,6,5,8,7
"29",0,1,1,2,5,3,6,4,7,8
"30",1,1,2,1,4,3,6,5,8,7
"31",0,0,1,2,4,3,6,7,5,8
"32",0,0,1,2,3,4,5,8,6,7
"33",1,0,1,3,2,4,5,8,7,6
"34",0,0,1,2,3,5,4,6,8,7
"35",0,1,1,2,3,4,5,6,8,7
"36",0,0,1,2,3,6,4,7,5,8
"37",0,0,1,2,3,4,5,6,7,8
"38",0,1,1,2,3,4,5,8,6,7
"39",1,1,2,1,4,3,6,5,8,7
"40",0,1,1,3,4,2,5,7,6,8
"41",1,0,1,2,3,4,6,5,7,8
"42",0,0,1,2,3,5,4,6,7,8
"43",1,1,2,1,4,3,6,5,8,7
"44",1,1,2,1,4,3,6,5,8,7
"45",1,1,2,1,4,3,6,5,8,7
"46",0,0,1,2,3,4,7,5,8,6
"47",1,1,2,1,4,3,6,5,8,7
"48",0,1,1,2,3,4,5,8,6,7
"49",1,1,2,1,4,3,6,5,8,7
"50",0,0,1,2,3,7,4,5,6,8
"51",1,0,1,2,3,4,8,7,5,6
"52",1,0,2,1,3,4,5,7,8,6
"53",1,0,1,2,4,3,5,7,6,8
"54",0,1,1,2,3,5,4,7,6,8
"55",0,1,1,2,4,3,5,6,8,7
"56",1,0,1,2,3,4,5,7,8,6
"57",0,1,1,2,3,5,4,6,8,7
"58",0,1,2,1,3,4,6,5,7,8
"59",0,1,1,2,3,4,6,5,8,7
"60",1,0,1,2,4,3,6,7,5,8
"61",1,1,2,1,4,3,6,5,8,7
"62",0,1,1,3,2,4,6,5,7,8
"63",0,0,1,2,3,5,4,6,8,7
"64",0,1,2,1,3,5,7,6,4,8
"65",1,1,2,1,4,3,6,5,8,7
"66",1,1,2,1,4,3,6,5,8,7
"67",1,0,1,2,3,4,5,6,7,8
"68",1,0,1,2,3,4,5,7,8,6
"69",0,0,1,2,3,5,4,8,6,7
"70",0,1,1,2,3,4,5,8,6,7
"71",0,0,1,2,3,5,4,6,7,8
"72",0,1,3,1,2,4,6,5,8,7
"73",1,0,1,2,3,4,5,7,6,8
"74",1,0,1,4,2,6,3,5,7,8
"75",0,0,1,2,4,3,5,6,8,7
"76",1,1,2,1,4,3,6,5,8,7
"77",1,0,1,2,3,5,4,7,6,8
"78",0,0,1,2,4,3,6,5,7,8
"79",1,0,1,2,3,4,5,7,8,6
"80",1,0,1,2,4,3,6,5,7,8
"81",1,1,2,1,4,3,6,5,8,7
"82",0,0,1,2,3,4,5,7,6,8
"83",0,1,1,2,3,5,4,7,6,8
"84",0,0,1,2,3,5,4,6,8,7
"85",0,0,1,2,4,3,5,7,6,8
"86",0,0,1,3,2,4,5,6,7,8
"87",0,0,1,2,4,3,6,5,7,8
"88",1,0,1,2,3,4,5,7,6,8
"89",1,1,2,1,4,3,6,5,8,7
"90",0,1,1,2,4,3,5,6,8,7
"91",1,1,2,1,4,3,6,5,8,7
"92",1,0,1,2,8,3,4,7,5,6
"93",0,0,1,2,4,3,6,7,5,8
"94",0,1,1,2,3,4,5,8,7,6
"95",0,1,1,2,3,4,5,6,7,8
"96",0,1,1,2,3,4,5,6,8,7
"97",1,1,2,1,4,3,6,5,8,7
"98",0,1,1,3,2,4,6,5,7,8
"99",1,1,2,1,4,3,6,5,8,7
"100",0,1,1,3,2,5,4,6,8,7
