"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,1,1,3,2,4,5,6,7,8
"2",0,0,1,2,3,4,5,7,6,8
"3",0,0,1,3,2,4,6,5,8,7
"4",1,0,1,2,3,6,4,5,8,7
"5",0,0,1,2,3,4,5,8,6,7
"6",1,0,1,2,4,3,5,6,7,8
"7",0,1,1,2,4,3,6,5,7,8
"8",0,0,1,3,2,4,5,6,7,8
"9",0,1,1,2,3,4,5,6,7,8
"10",1,1,2,1,4,3,6,5,8,7
"11",0,1,2,1,3,4,8,7,6,5
"12",0,0,1,3,2,4,5,7,6,8
"13",1,0,1,2,4,3,5,6,7,8
"14",0,0,1,2,3,4,5,6,7,8
"15",1,0,1,2,4,3,6,5,8,7
"16",0,1,1,2,5,3,6,4,8,7
"17",1,1,2,1,4,3,6,5,8,7
"18",1,0,1,3,5,2,4,6,7,8
"19",1,0,1,2,3,4,5,6,7,8
"20",0,0,1,2,3,4,7,5,6,8
"21",0,0,1,2,3,4,5,7,6,8
"22",0,1,1,2,3,4,5,7,8,6
"23",1,1,2,1,4,3,6,5,8,7
"24",1,1,2,1,4,3,6,5,8,7
"25",0,1,1,2,3,4,8,5,7,6
"26",1,1,2,1,4,3,6,5,8,7
"27",1,0,1,4,3,2,5,7,6,8
"28",1,0,2,1,3,4,6,5,7,8
"29",1,0,1,2,3,4,6,5,7,8
"30",1,1,2,1,4,3,6,5,8,7
"31",0,1,1,2,3,4,6,5,8,7
"32",1,1,2,1,4,3,6,5,8,7
"33",1,0,2,1,3,6,4,5,8,7
"34",1,0,1,2,3,4,7,5,6,8
"35",0,1,1,2,3,4,5,6,8,7
"36",1,1,2,1,4,3,6,5,8,7
"37",0,0,1,2,3,4,6,5,8,7
"38",0,0,1,2,3,4,7,6,5,8
"39",1,1,2,1,4,3,6,5,8,7
"40",0,0,1,2,3,4,5,7,6,8
"41",0,1,1,2,3,5,4,8,7,6
"42",1,0,1,2,5,3,4,6,8,7
"43",0,0,1,2,3,4,5,7,6,8
"44",1,1,2,1,4,3,6,5,8,7
"45",0,0,2,1,4,3,5,7,6,8
"46",0,0,1,3,2,4,5,6,7,8
"47",1,0,1,2,3,5,4,8,6,7
"48",0,1,1,3,2,4,8,5,7,6
"49",1,0,1,2,3,6,4,5,7,8
"50",0,0,1,2,3,5,4,8,6,7
"51",0,1,1,2,3,5,4,7,8,6
"52",0,0,2,1,3,6,4,5,8,7
"53",0,0,1,2,3,4,8,5,7,6
"54",0,1,1,3,2,5,4,7,8,6
"55",1,1,2,1,4,3,6,5,8,7
"56",1,0,1,2,4,5,3,6,7,8
"57",1,1,2,1,4,3,6,5,8,7
"58",1,0,1,2,3,5,4,7,8,6
"59",1,0,2,1,3,4,5,7,6,8
"60",1,1,2,1,4,3,6,5,8,7
"61",1,0,1,2,3,4,6,5,7,8
"62",1,1,2,1,4,3,6,5,8,7
"63",0,0,1,2,3,4,5,6,8,7
"64",1,0,1,2,4,3,6,5,7,8
"65",0,0,1,2,3,5,4,6,8,7
"66",1,0,1,2,3,4,5,7,6,8
"67",0,1,2,1,4,3,5,7,6,8
"68",0,1,1,3,2,4,5,6,7,8
"69",0,0,1,2,4,3,8,5,6,7
"70",0,1,1,2,4,3,6,5,7,8
"71",1,0,1,2,3,4,5,6,7,8
"72",1,0,2,1,3,6,4,5,7,8
"73",1,0,1,2,3,4,6,5,7,8
"74",1,0,1,2,3,4,5,6,7,8
"75",1,1,2,1,4,3,6,5,8,7
"76",0,1,1,2,3,4,5,7,6,8
"77",0,1,1,2,4,3,6,5,8,7
"78",1,0,1,2,3,4,5,6,7,8
"79",1,0,1,2,3,4,6,5,7,8
"80",1,0,2,1,3,4,6,5,7,8
"81",1,0,1,2,3,4,5,8,6,7
"82",0,1,1,2,3,5,4,8,6,7
"83",0,0,1,2,3,4,6,5,7,8
"84",1,0,3,1,2,4,5,8,6,7
"85",1,1,2,1,4,3,6,5,8,7
"86",1,1,2,1,4,3,6,5,8,7
"87",1,0,1,2,4,3,8,6,5,7
"88",1,1,2,1,4,3,6,5,8,7
"89",1,1,2,1,4,3,6,5,8,7
"90",0,0,1,2,5,3,4,6,7,8
"91",0,0,1,2,3,4,5,6,7,8
"92",0,1,1,2,4,3,7,6,5,8
"93",1,1,2,1,4,3,6,5,8,7
"94",1,1,2,1,4,3,6,5,8,7
"95",0,1,1,2,3,5,4,6,7,8
"96",0,1,1,2,3,8,4,7,6,5
"97",0,1,1,2,3,4,5,8,6,7
"98",1,1,2,1,4,3,6,5,8,7
"99",0,1,1,2,3,4,6,5,8,7
"100",0,1,2,1,3,4,5,6,7,8
