"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,0,1,2,4,6,3,5,7,8
"2",1,0,1,2,3,4,6,7,5,8
"3",0,0,1,2,3,4,6,5,8,7
"4",0,0,1,2,4,3,7,5,6,8
"5",1,0,2,1,3,4,5,6,8,7
"6",0,0,1,2,3,4,6,7,5,8
"7",1,1,2,1,4,3,6,5,8,7
"8",0,0,1,2,3,4,6,5,8,7
"9",0,1,1,2,3,4,5,8,6,7
"10",1,0,2,1,3,4,6,7,8,5
"11",0,0,1,2,3,4,5,6,8,7
"12",1,0,1,2,4,3,5,6,7,8
"13",0,1,1,2,3,4,5,7,6,8
"14",0,1,2,3,1,6,4,5,7,8
"15",1,0,1,2,3,5,4,8,6,7
"16",1,1,2,1,4,3,6,5,8,7
"17",1,1,2,1,4,3,6,5,8,7
"18",1,1,2,1,4,3,6,5,8,7
"19",0,0,1,2,3,4,6,7,8,5
"20",0,1,1,2,3,6,4,5,8,7
"21",0,0,1,2,3,4,5,6,8,7
"22",1,1,2,1,4,3,6,5,8,7
"23",0,0,1,2,3,7,5,4,6,8
"24",0,0,1,2,3,4,5,6,8,7
"25",1,1,2,1,4,3,6,5,8,7
"26",1,1,2,1,4,3,6,5,8,7
"27",1,1,2,1,4,3,6,5,8,7
"28",0,0,1,3,2,4,6,7,5,8
"29",1,1,2,1,4,3,6,5,8,7
"30",1,0,1,2,3,5,4,6,7,8
"31",1,1,2,1,4,3,6,5,8,7
"32",0,1,2,1,3,4,5,6,8,7
"33",0,1,1,2,4,3,5,7,6,8
"34",1,0,1,2,3,4,7,6,5,8
"35",1,1,2,1,4,3,6,5,8,7
"36",1,0,1,2,3,4,5,6,7,8
"37",0,1,1,2,3,4,5,8,7,6
"38",1,0,1,2,3,4,5,7,6,8
"39",0,1,1,2,4,3,5,6,8,7
"40",1,1,2,1,4,3,6,5,8,7
"41",1,1,2,1,4,3,6,5,8,7
"42",0,0,1,2,3,4,6,8,5,7
"43",1,1,2,1,4,3,6,5,8,7
"44",0,1,1,3,4,2,5,6,8,7
"45",1,1,2,1,4,3,6,5,8,7
"46",1,0,1,2,3,6,4,5,8,7
"47",0,0,1,2,4,3,7,5,6,8
"48",1,1,2,1,4,3,6,5,8,7
"49",1,0,1,2,3,4,5,6,7,8
"50",0,0,2,1,3,5,4,7,6,8
"51",0,1,1,2,3,4,5,6,8,7
"52",0,1,1,2,3,6,4,8,7,5
"53",1,0,1,2,3,4,6,5,7,8
"54",0,0,1,2,3,4,6,5,7,8
"55",0,1,1,4,2,3,6,7,5,8
"56",0,0,1,3,2,4,5,7,8,6
"57",0,1,1,2,3,4,5,6,7,8
"58",0,0,1,2,3,4,5,6,7,8
"59",0,1,1,2,3,4,5,8,7,6
"60",1,1,2,1,4,3,6,5,8,7
"61",1,0,1,2,3,4,6,7,5,8
"62",1,0,1,3,2,4,5,6,7,8
"63",0,1,1,2,3,5,4,6,7,8
"64",0,0,1,2,3,7,4,6,5,8
"65",0,1,1,2,3,4,5,6,7,8
"66",0,0,1,2,4,3,5,7,8,6
"67",1,0,1,2,3,5,4,7,6,8
"68",0,0,1,2,3,4,7,6,5,8
"69",0,1,1,2,5,4,3,8,7,6
"70",1,0,1,3,2,4,5,6,7,8
"71",1,0,1,3,2,4,6,8,5,7
"72",0,1,1,3,2,6,5,4,8,7
"73",0,0,1,2,3,5,4,6,7,8
"74",0,1,1,2,4,3,5,6,8,7
"75",1,1,2,1,4,3,6,5,8,7
"76",1,0,1,3,2,4,5,6,8,7
"77",1,1,2,1,4,3,6,5,8,7
"78",0,0,1,2,3,6,7,5,4,8
"79",1,0,1,2,4,3,5,6,7,8
"80",1,0,1,2,3,4,8,5,7,6
"81",1,1,2,1,4,3,6,5,8,7
"82",0,0,1,2,3,4,5,6,8,7
"83",0,1,1,2,4,5,3,6,7,8
"84",1,1,2,1,4,3,6,5,8,7
"85",1,1,2,1,4,3,6,5,8,7
"86",0,1,1,2,3,4,6,5,8,7
"87",0,0,1,3,2,4,5,7,8,6
"88",1,0,1,2,3,4,5,6,8,7
"89",1,0,1,2,3,4,5,8,6,7
"90",0,0,1,2,3,4,5,6,8,7
"91",0,0,1,2,3,4,6,5,7,8
"92",0,1,1,2,3,4,6,7,5,8
"93",0,0,1,2,3,4,5,6,7,8
"94",1,1,2,1,4,3,6,5,8,7
"95",0,0,1,5,2,4,3,6,7,8
"96",0,1,1,2,3,4,5,6,7,8
"97",0,0,1,2,4,3,6,7,5,8
"98",0,0,1,2,4,3,5,6,8,7
"99",1,1,2,1,4,3,6,5,8,7
"100",0,0,1,2,4,3,6,8,5,7
