"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,2,1,4,3,6,5,8,7
"2",1,0,1,2,3,5,4,7,6,8
"3",0,1,1,2,3,4,5,6,7,8
"4",0,1,1,2,3,5,4,7,6,8
"5",1,0,1,2,3,4,5,6,8,7
"6",1,1,2,1,4,3,6,5,8,7
"7",1,0,1,2,3,4,6,8,5,7
"8",1,0,1,3,2,4,5,6,7,8
"9",1,1,2,1,4,3,6,5,8,7
"10",1,1,2,1,4,3,6,5,8,7
"11",0,0,1,2,4,3,7,5,6,8
"12",0,1,1,2,3,4,6,8,7,5
"13",0,0,1,2,3,5,4,6,8,7
"14",1,1,2,1,4,3,6,5,8,7
"15",0,0,1,3,2,4,7,5,6,8
"16",0,0,1,2,3,4,5,6,7,8
"17",1,1,2,1,4,3,6,5,8,7
"18",1,1,2,1,4,3,6,5,8,7
"19",1,1,2,1,4,3,6,5,8,7
"20",1,0,1,2,3,4,5,6,8,7
"21",1,0,1,2,3,5,4,6,8,7
"22",0,0,1,2,3,5,4,6,8,7
"23",1,1,2,1,4,3,6,5,8,7
"24",0,0,1,2,3,4,5,6,8,7
"25",0,0,1,2,3,4,5,7,8,6
"26",0,0,1,3,2,4,6,5,7,8
"27",0,0,1,2,3,4,5,7,8,6
"28",1,1,2,1,4,3,6,5,8,7
"29",1,1,2,1,4,3,6,5,8,7
"30",0,0,1,2,3,4,5,8,7,6
"31",0,1,1,2,3,4,5,6,7,8
"32",1,1,2,1,4,3,6,5,8,7
"33",1,0,1,2,3,5,4,7,6,8
"34",0,0,1,2,3,4,6,5,7,8
"35",1,0,1,2,3,4,5,7,6,8
"36",0,0,1,5,2,3,8,6,4,7
"37",0,1,1,2,3,4,5,6,8,7
"38",1,1,2,1,4,3,6,5,8,7
"39",0,0,1,2,3,4,5,8,6,7
"40",1,1,2,1,4,3,6,5,8,7
"41",1,0,1,2,3,5,4,6,7,8
"42",0,0,1,2,3,4,6,8,5,7
"43",0,1,1,2,3,4,5,7,6,8
"44",1,1,2,1,4,3,6,5,8,7
"45",1,0,1,2,4,3,6,5,8,7
"46",1,0,1,3,2,4,5,6,8,7
"47",1,0,1,2,3,4,5,6,8,7
"48",0,0,1,2,3,5,4,7,6,8
"49",0,0,2,1,3,4,6,5,8,7
"50",0,0,1,2,3,4,5,6,7,8
"51",0,0,1,2,3,4,5,6,7,8
"52",1,1,2,1,4,3,6,5,8,7
"53",0,1,1,2,5,3,4,7,6,8
"54",1,1,2,1,4,3,6,5,8,7
"55",1,1,2,1,4,3,6,5,8,7
"56",0,1,1,2,3,4,6,5,7,8
"57",1,1,2,1,4,3,6,5,8,7
"58",1,1,2,1,4,3,6,5,8,7
"59",1,1,2,1,4,3,6,5,8,7
"60",1,1,2,1,4,3,6,5,8,7
"61",0,0,1,3,2,4,6,5,7,8
"62",0,1,1,2,3,5,4,6,7,8
"63",0,1,1,2,3,4,5,6,8,7
"64",0,1,3,1,2,4,6,5,7,8
"65",1,1,2,1,4,3,6,5,8,7
"66",0,1,2,1,3,4,6,5,7,8
"67",0,0,1,2,5,3,4,6,8,7
"68",1,0,2,1,3,4,5,6,7,8
"69",1,0,1,2,3,4,5,6,8,7
"70",1,1,2,1,4,3,6,5,8,7
"71",0,1,1,2,3,5,4,8,7,6
"72",0,1,1,2,3,7,5,4,8,6
"73",1,0,2,1,3,5,4,7,6,8
"74",1,1,2,1,4,3,6,5,8,7
"75",0,1,1,2,3,4,5,6,7,8
"76",1,0,1,2,3,7,6,5,4,8
"77",1,0,1,2,4,3,5,6,8,7
"78",1,0,1,2,3,4,5,6,7,8
"79",0,1,1,2,3,4,5,6,7,8
"80",0,1,1,2,3,4,5,7,6,8
"81",1,1,2,1,4,3,6,5,8,7
"82",1,1,2,1,4,3,6,5,8,7
"83",0,1,1,3,2,6,4,5,7,8
"84",1,0,1,3,2,4,5,6,7,8
"85",0,0,1,2,4,3,5,6,7,8
"86",0,1,1,2,3,4,6,8,7,5
"87",1,0,1,2,3,5,4,6,7,8
"88",0,1,1,3,2,4,5,6,8,7
"89",1,0,1,3,2,5,4,6,8,7
"90",0,1,1,2,3,4,6,5,7,8
"91",1,1,2,1,4,3,6,5,8,7
"92",0,0,1,2,3,4,6,5,8,7
"93",1,1,2,1,4,3,6,5,8,7
"94",1,1,2,1,4,3,6,5,8,7
"95",1,0,1,3,2,4,5,6,7,8
"96",1,1,2,1,4,3,6,5,8,7
"97",0,0,1,2,4,3,5,6,7,8
"98",0,0,1,3,2,6,7,4,5,8
"99",1,1,2,1,4,3,6,5,8,7
"100",0,1,1,2,3,4,5,6,8,7
