"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,2,1,4,3,6,5,8,7
"2",1,0,1,2,3,4,5,7,6,8
"3",1,1,2,1,4,3,6,5,8,7
"4",0,0,1,2,3,4,5,8,6,7
"5",1,1,2,1,4,3,6,5,8,7
"6",0,0,1,2,3,5,4,6,7,8
"7",1,0,2,1,4,3,5,7,6,8
"8",1,1,2,1,4,3,6,5,8,7
"9",0,1,1,2,4,3,5,6,7,8
"10",1,1,2,1,4,3,6,5,8,7
"11",1,0,1,2,3,4,5,7,6,8
"12",1,1,2,1,4,3,6,5,8,7
"13",0,1,1,2,5,3,6,4,7,8
"14",0,1,1,2,3,7,5,4,6,8
"15",1,0,1,2,3,4,5,6,7,8
"16",0,1,1,2,3,4,6,7,5,8
"17",0,1,1,2,3,4,5,6,8,7
"18",0,0,1,2,4,3,5,8,6,7
"19",1,0,1,2,3,4,5,6,7,8
"20",0,1,1,2,3,4,5,6,7,8
"21",0,1,1,2,3,4,5,6,8,7
"22",1,1,2,1,4,3,6,5,8,7
"23",1,0,1,2,4,3,5,6,7,8
"24",0,0,1,2,4,3,5,6,8,7
"25",1,1,2,1,4,3,6,5,8,7
"26",1,0,1,2,4,6,3,5,7,8
"27",1,1,2,1,4,3,6,5,8,7
"28",0,0,1,2,3,4,5,6,7,8
"29",0,1,2,1,3,4,7,5,6,8
"30",0,0,1,2,3,4,5,8,6,7
"31",0,1,1,2,3,5,4,6,8,7
"32",1,0,1,2,3,4,5,6,7,8
"33",0,1,1,2,4,3,6,5,7,8
"34",1,1,2,1,4,3,6,5,8,7
"35",1,1,2,1,4,3,6,5,8,7
"36",1,0,2,1,3,4,8,6,7,5
"37",0,0,2,1,4,3,5,7,6,8
"38",0,1,2,1,3,4,5,6,7,8
"39",1,1,2,1,4,3,6,5,8,7
"40",1,1,2,1,4,3,6,5,8,7
"41",0,0,1,2,4,3,5,6,7,8
"42",0,1,1,2,3,5,4,6,7,8
"43",0,1,1,2,3,4,6,5,8,7
"44",1,0,1,4,3,2,5,6,7,8
"45",1,0,1,2,3,4,6,5,8,7
"46",1,1,2,1,4,3,6,5,8,7
"47",0,0,1,2,4,3,5,8,7,6
"48",0,0,2,1,3,5,4,8,6,7
"49",1,0,2,1,3,4,6,5,8,7
"50",1,0,1,3,2,5,4,7,6,8
"51",1,0,1,2,3,4,6,5,7,8
"52",1,0,2,1,4,3,6,5,7,8
"53",0,1,1,3,2,6,8,4,7,5
"54",1,0,1,3,2,4,5,8,6,7
"55",0,1,1,2,5,4,3,7,8,6
"56",1,0,1,3,2,7,5,6,4,8
"57",0,1,1,2,4,3,5,6,8,7
"58",0,1,1,2,3,5,7,4,6,8
"59",0,1,1,3,2,4,5,8,7,6
"60",0,0,1,2,3,5,4,6,7,8
"61",0,0,1,2,3,4,5,7,8,6
"62",0,0,2,1,3,6,4,5,7,8
"63",1,0,1,3,2,4,7,5,6,8
"64",0,0,1,2,3,6,5,4,7,8
"65",0,0,1,2,3,4,8,5,6,7
"66",1,0,2,1,3,4,5,6,7,8
"67",1,0,1,3,2,4,5,6,7,8
"68",0,0,1,2,4,3,5,7,6,8
"69",0,1,1,2,3,4,5,8,6,7
"70",0,0,1,2,3,4,5,7,6,8
"71",0,1,1,2,3,4,7,6,5,8
"72",0,1,1,2,4,3,5,7,6,8
"73",0,0,1,3,2,4,7,5,6,8
"74",0,0,2,1,3,4,5,6,8,7
"75",0,0,1,5,2,3,6,8,4,7
"76",0,1,1,3,2,4,5,6,7,8
"77",0,1,1,2,3,4,8,7,5,6
"78",0,1,1,2,3,4,5,7,8,6
"79",0,0,1,3,2,4,5,8,6,7
"80",1,0,1,2,3,4,7,6,5,8
"81",1,1,2,1,4,3,6,5,8,7
"82",1,0,2,1,4,3,5,6,8,7
"83",1,0,1,2,4,3,6,5,8,7
"84",0,1,1,2,3,4,5,6,8,7
"85",0,0,1,2,4,5,3,6,7,8
"86",1,1,2,1,4,3,6,5,8,7
"87",1,1,2,1,4,3,6,5,8,7
"88",0,1,1,2,4,3,5,6,7,8
"89",0,0,1,2,3,6,5,4,8,7
"90",0,1,1,3,2,4,5,7,6,8
"91",1,0,2,1,3,4,5,6,7,8
"92",1,0,1,2,3,4,6,5,7,8
"93",1,1,2,1,4,3,6,5,8,7
"94",1,1,2,1,4,3,6,5,8,7
"95",1,1,2,1,4,3,6,5,8,7
"96",0,0,1,2,3,4,5,6,7,8
"97",0,0,2,3,1,4,6,5,7,8
"98",1,0,1,2,3,4,6,8,7,5
"99",1,1,2,1,4,3,6,5,8,7
"100",1,1,2,1,4,3,6,5,8,7
