"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,2,1,3,5,4,7,6,8
"2",1,1,2,1,4,3,6,5,8,7
"3",1,0,1,3,2,4,5,6,7,8
"4",1,0,1,2,3,4,5,7,6,8
"5",0,1,1,3,4,2,5,7,6,8
"6",1,0,1,3,2,4,6,5,8,7
"7",1,0,1,2,3,5,4,6,7,8
"8",1,1,2,1,4,3,6,5,8,7
"9",0,0,2,1,3,4,5,7,8,6
"10",1,0,1,2,3,4,5,6,8,7
"11",0,0,1,2,5,4,3,7,6,8
"12",0,0,2,1,3,6,4,5,8,7
"13",1,0,1,2,4,3,8,5,7,6
"14",1,1,2,1,4,3,6,5,8,7
"15",0,0,1,2,3,4,5,8,7,6
"16",0,1,1,2,4,3,5,7,6,8
"17",0,0,1,2,3,4,5,6,8,7
"18",1,1,2,1,4,3,6,5,8,7
"19",1,0,1,2,3,4,7,6,5,8
"20",0,0,1,2,3,4,5,6,7,8
"21",0,1,1,3,2,4,5,8,6,7
"22",1,0,1,2,3,4,7,5,8,6
"23",1,0,1,3,2,5,4,6,8,7
"24",0,0,1,2,3,4,6,5,7,8
"25",0,0,2,1,4,3,5,6,7,8
"26",1,0,1,2,3,4,6,5,7,8
"27",1,0,1,2,3,4,7,8,5,6
"28",1,0,1,2,3,7,4,5,6,8
"29",1,0,1,4,2,3,5,6,7,8
"30",0,1,1,2,3,4,6,7,5,8
"31",1,0,1,4,3,2,5,7,6,8
"32",0,1,1,2,4,3,5,6,7,8
"33",0,0,1,2,3,4,5,6,7,8
"34",0,1,1,2,3,4,5,6,8,7
"35",0,1,1,2,3,4,5,6,7,8
"36",0,1,2,1,3,4,8,5,7,6
"37",0,0,2,1,3,4,5,7,6,8
"38",0,0,1,2,5,3,4,7,8,6
"39",1,0,1,2,3,4,5,6,8,7
"40",0,1,1,2,4,5,3,6,8,7
"41",0,1,1,2,3,5,4,8,6,7
"42",0,1,1,2,3,4,5,6,7,8
"43",1,1,2,1,4,3,6,5,8,7
"44",0,1,1,2,3,5,4,6,8,7
"45",1,1,2,1,4,3,6,5,8,7
"46",0,0,1,2,3,6,4,5,7,8
"47",0,1,1,2,3,4,5,6,7,8
"48",1,1,2,1,4,3,6,5,8,7
"49",1,1,2,1,4,3,6,5,8,7
"50",0,0,1,2,3,5,4,7,8,6
"51",1,0,1,2,3,4,5,8,6,7
"52",1,1,2,1,4,3,6,5,8,7
"53",1,0,1,3,2,4,5,7,8,6
"54",0,1,1,2,4,3,5,6,7,8
"55",0,0,1,2,3,4,5,6,7,8
"56",1,0,1,2,5,3,4,8,6,7
"57",0,1,1,2,3,5,4,6,8,7
"58",0,1,1,4,3,2,5,7,8,6
"59",1,0,1,3,2,6,4,8,5,7
"60",1,1,2,1,4,3,6,5,8,7
"61",1,0,1,2,3,5,4,6,7,8
"62",0,0,1,2,3,7,4,5,6,8
"63",1,1,2,1,4,3,6,5,8,7
"64",1,0,1,2,3,5,4,8,7,6
"65",1,0,1,3,2,4,6,5,7,8
"66",1,0,1,3,2,4,7,5,6,8
"67",1,1,2,1,4,3,6,5,8,7
"68",0,1,1,2,3,5,4,6,7,8
"69",1,0,1,2,4,5,3,7,6,8
"70",0,0,1,2,3,4,5,6,8,7
"71",0,0,1,2,3,4,7,6,8,5
"72",1,1,2,1,4,3,6,5,8,7
"73",0,1,1,3,4,2,6,7,5,8
"74",1,1,2,1,4,3,6,5,8,7
"75",1,0,1,2,3,6,5,4,7,8
"76",1,1,2,1,4,3,6,5,8,7
"77",1,1,2,1,4,3,6,5,8,7
"78",0,1,1,2,3,4,5,7,6,8
"79",1,0,1,2,4,6,3,7,5,8
"80",0,0,1,2,3,5,6,4,7,8
"81",0,0,1,2,5,3,4,8,6,7
"82",0,0,1,2,3,5,4,7,6,8
"83",0,0,1,2,3,4,6,5,8,7
"84",0,1,1,2,3,4,5,7,6,8
"85",0,1,1,2,3,5,4,6,7,8
"86",1,1,2,1,4,3,6,5,8,7
"87",1,1,2,1,4,3,6,5,8,7
"88",1,0,1,2,3,5,4,7,6,8
"89",0,0,1,2,3,4,6,5,7,8
"90",0,1,1,2,3,4,5,6,7,8
"91",1,0,1,2,3,4,6,7,8,5
"92",0,1,1,2,3,5,4,6,7,8
"93",0,0,1,2,3,4,6,5,7,8
"94",1,0,2,1,3,4,5,6,7,8
"95",0,0,1,2,3,5,4,8,6,7
"96",0,0,1,2,3,4,5,7,6,8
"97",0,1,1,2,4,3,5,8,6,7
"98",0,1,1,2,3,5,4,7,6,8
"99",1,0,1,2,3,5,4,8,6,7
"100",1,0,1,2,3,4,8,6,5,7
