"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,1,1,2,3,5,4,6,7,8
"2",1,1,2,1,4,3,6,5,8,7
"3",1,0,1,2,4,3,5,7,6,8
"4",1,0,1,2,3,5,4,6,7,8
"5",0,0,2,1,3,4,7,5,8,6
"6",0,0,2,1,3,6,4,5,7,8
"7",0,1,1,2,3,4,5,6,8,7
"8",0,0,1,3,4,2,5,6,7,8
"9",0,0,1,3,2,5,4,6,7,8
"10",0,0,1,2,3,4,6,8,7,5
"11",0,1,1,3,2,4,5,7,6,8
"12",0,0,2,1,4,3,5,6,7,8
"13",1,0,1,2,3,5,4,6,7,8
"14",1,0,1,2,4,3,6,5,8,7
"15",1,1,2,1,4,3,6,5,8,7
"16",0,0,1,2,3,4,5,6,7,8
"17",0,1,2,1,3,5,4,7,8,6
"18",0,1,1,2,3,4,6,5,7,8
"19",1,1,2,1,4,3,6,5,8,7
"20",1,0,1,2,3,4,6,5,8,7
"21",1,1,2,1,4,3,6,5,8,7
"22",0,0,1,2,3,4,5,6,7,8
"23",1,0,1,2,3,4,7,5,6,8
"24",0,1,1,2,3,4,5,7,6,8
"25",0,1,1,2,3,4,5,7,8,6
"26",0,0,1,2,4,3,5,6,8,7
"27",1,0,1,2,3,4,6,5,7,8
"28",0,0,1,2,4,3,6,5,7,8
"29",0,1,1,2,3,5,4,8,6,7
"30",1,0,1,2,3,4,5,7,8,6
"31",1,0,1,2,3,4,5,6,7,8
"32",0,1,1,2,3,5,4,7,6,8
"33",1,0,1,2,3,4,5,6,8,7
"34",0,0,1,2,4,3,5,7,8,6
"35",1,1,2,1,4,3,6,5,8,7
"36",0,1,1,2,3,4,5,6,7,8
"37",1,0,1,2,3,5,6,4,7,8
"38",1,1,2,1,4,3,6,5,8,7
"39",0,0,1,3,2,5,7,4,6,8
"40",1,0,1,2,3,6,4,5,8,7
"41",1,1,2,1,4,3,6,5,8,7
"42",0,1,1,2,3,4,5,6,8,7
"43",1,0,1,3,2,5,4,6,8,7
"44",1,1,2,1,4,3,6,5,8,7
"45",0,0,1,2,3,4,5,7,8,6
"46",1,1,2,1,4,3,6,5,8,7
"47",0,1,1,2,3,4,5,6,7,8
"48",1,0,1,2,3,5,4,6,7,8
"49",0,0,1,2,3,4,5,6,8,7
"50",1,0,1,2,3,4,6,5,7,8
"51",1,0,1,2,3,4,5,8,6,7
"52",1,1,2,1,4,3,6,5,8,7
"53",1,0,1,2,3,5,6,4,7,8
"54",1,1,2,1,4,3,6,5,8,7
"55",1,0,1,2,3,7,4,5,8,6
"56",1,1,2,1,4,3,6,5,8,7
"57",1,1,2,1,4,3,6,5,8,7
"58",0,0,1,2,4,3,6,5,8,7
"59",1,0,1,2,3,4,6,5,7,8
"60",1,0,1,3,2,4,8,5,7,6
"61",1,1,2,1,4,3,6,5,8,7
"62",1,0,2,1,3,4,5,7,6,8
"63",1,0,1,2,4,3,5,7,6,8
"64",1,1,2,1,4,3,6,5,8,7
"65",0,0,1,2,3,5,6,4,8,7
"66",1,0,1,2,3,5,4,6,7,8
"67",0,0,1,2,4,3,5,7,6,8
"68",0,0,1,2,3,4,5,6,7,8
"69",0,0,1,3,2,5,6,4,7,8
"70",0,1,1,2,4,3,7,5,6,8
"71",0,1,1,2,4,3,5,6,8,7
"72",1,0,1,3,2,4,5,7,6,8
"73",1,0,1,2,4,3,6,5,8,7
"74",0,1,1,2,4,3,5,6,8,7
"75",1,1,2,1,4,3,6,5,8,7
"76",1,1,2,1,4,3,6,5,8,7
"77",1,0,1,3,2,4,5,6,8,7
"78",1,0,1,2,3,4,5,7,6,8
"79",1,0,1,3,2,4,5,6,7,8
"80",1,1,2,1,4,3,6,5,8,7
"81",1,1,2,1,4,3,6,5,8,7
"82",0,0,1,2,3,4,6,7,5,8
"83",0,1,1,2,3,4,5,6,7,8
"84",0,1,1,3,2,4,7,8,6,5
"85",0,0,1,2,3,5,4,6,7,8
"86",0,1,1,2,4,5,3,7,6,8
"87",0,1,1,2,3,4,7,5,6,8
"88",0,1,1,2,3,4,5,6,8,7
"89",0,0,1,2,3,4,6,5,7,8
"90",1,0,1,2,3,4,6,5,7,8
"91",0,0,1,2,3,5,4,6,8,7
"92",1,0,1,2,3,4,6,5,7,8
"93",0,1,1,2,3,4,6,5,7,8
"94",1,1,2,1,4,3,6,5,8,7
"95",1,0,1,2,3,4,5,6,7,8
"96",1,0,1,2,3,4,5,8,6,7
"97",1,1,2,1,4,3,6,5,8,7
"98",0,0,1,2,4,3,6,5,8,7
"99",1,1,2,1,4,3,6,5,8,7
"100",1,0,1,2,3,4,6,8,7,5
