"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,2,1,4,3,6,5,8,7
"2",0,1,1,2,3,4,5,6,8,7
"3",1,1,2,1,4,3,6,5,8,7
"4",0,0,1,2,3,4,5,7,6,8
"5",1,0,1,2,3,4,5,6,7,8
"6",1,1,2,1,4,3,6,5,8,7
"7",0,1,1,2,3,4,5,8,6,7
"8",0,0,1,2,3,5,4,6,8,7
"9",1,0,1,2,3,4,5,6,8,7
"10",1,0,1,2,3,6,4,5,7,8
"11",1,0,1,3,2,5,4,6,7,8
"12",0,1,1,2,4,3,5,8,7,6
"13",1,0,1,2,3,4,5,7,6,8
"14",0,0,1,2,4,3,5,7,6,8
"15",0,1,1,2,4,5,3,6,8,7
"16",0,0,2,1,3,5,4,6,8,7
"17",0,1,1,2,3,5,6,4,8,7
"18",0,0,1,2,3,4,5,7,8,6
"19",0,0,1,2,3,4,5,6,8,7
"20",0,0,1,2,3,5,4,6,8,7
"21",0,1,3,2,1,4,7,6,5,8
"22",1,0,1,2,7,3,4,5,8,6
"23",0,0,1,2,4,3,5,8,7,6
"24",0,1,1,2,3,5,4,7,8,6
"25",0,1,1,2,3,5,4,8,6,7
"26",0,0,1,2,4,3,6,5,7,8
"27",0,1,2,1,3,4,5,6,7,8
"28",1,1,2,1,4,3,6,5,8,7
"29",0,1,1,2,3,4,5,8,6,7
"30",1,1,2,1,4,3,6,5,8,7
"31",0,1,1,3,5,2,4,6,8,7
"32",1,1,2,1,4,3,6,5,8,7
"33",0,1,2,1,3,4,6,5,7,8
"34",1,0,1,2,3,6,4,8,5,7
"35",0,0,1,2,3,6,4,7,5,8
"36",1,0,1,2,3,6,4,5,7,8
"37",0,1,1,2,3,4,5,8,7,6
"38",1,1,2,1,4,3,6,5,8,7
"39",1,0,1,2,3,4,5,6,7,8
"40",1,0,1,2,3,4,5,6,7,8
"41",1,0,1,2,3,4,6,7,5,8
"42",1,0,1,2,3,4,5,7,8,6
"43",0,1,1,2,3,4,5,6,7,8
"44",0,1,1,2,3,4,5,6,8,7
"45",0,1,1,2,3,4,6,5,8,7
"46",0,0,2,1,3,5,4,7,6,8
"47",0,1,2,1,3,5,4,6,8,7
"48",1,1,2,1,4,3,6,5,8,7
"49",1,1,2,1,4,3,6,5,8,7
"50",0,0,1,3,2,5,7,6,4,8
"51",1,1,2,1,4,3,6,5,8,7
"52",1,0,1,2,4,3,5,7,6,8
"53",0,0,1,2,3,5,4,8,6,7
"54",0,0,1,2,4,3,6,5,7,8
"55",0,0,1,2,3,4,6,5,7,8
"56",1,1,2,1,4,3,6,5,8,7
"57",1,1,2,1,4,3,6,5,8,7
"58",1,0,1,2,3,4,5,6,7,8
"59",1,1,2,1,4,3,6,5,8,7
"60",0,1,2,1,3,4,5,7,6,8
"61",1,0,1,2,3,4,6,5,7,8
"62",1,1,2,1,4,3,6,5,8,7
"63",0,0,1,2,4,3,5,6,8,7
"64",1,1,2,1,4,3,6,5,8,7
"65",0,1,1,2,3,6,8,5,4,7
"66",0,0,1,2,4,3,5,6,8,7
"67",0,1,1,2,4,6,3,5,7,8
"68",1,0,1,2,3,5,6,4,7,8
"69",0,0,1,2,4,3,5,6,7,8
"70",1,1,2,1,4,3,6,5,8,7
"71",0,0,1,2,3,5,4,8,7,6
"72",1,1,2,1,4,3,6,5,8,7
"73",0,1,1,2,3,4,6,7,5,8
"74",0,0,1,2,3,4,5,7,6,8
"75",1,1,2,1,4,3,6,5,8,7
"76",1,0,1,2,3,5,4,7,6,8
"77",1,1,2,1,4,3,6,5,8,7
"78",0,0,1,2,3,5,4,6,7,8
"79",0,1,1,2,3,5,4,7,8,6
"80",0,0,1,2,5,7,3,4,6,8
"81",1,0,1,2,3,4,5,7,6,8
"82",0,1,1,2,3,5,6,4,7,8
"83",0,1,1,4,2,3,5,6,8,7
"84",1,1,2,1,4,3,6,5,8,7
"85",1,1,2,1,4,3,6,5,8,7
"86",0,1,1,2,3,5,4,6,7,8
"87",1,1,2,1,4,3,6,5,8,7
"88",0,1,1,2,3,4,5,6,7,8
"89",1,0,1,2,3,4,6,5,7,8
"90",0,1,1,2,3,5,4,7,6,8
"91",0,0,1,3,2,6,4,8,5,7
"92",0,1,1,2,3,4,6,5,8,7
"93",1,0,1,2,3,4,6,5,7,8
"94",0,1,1,2,3,6,5,4,7,8
"95",0,0,1,4,2,3,5,6,8,7
"96",0,0,1,2,3,5,4,6,7,8
"97",1,1,2,1,4,3,6,5,8,7
"98",1,1,2,1,4,3,6,5,8,7
"99",1,0,1,3,2,4,5,7,6,8
"100",1,1,2,1,4,3,6,5,8,7
