"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,1,1,2,3,4,5,6,7,8
"2",0,1,1,2,3,5,8,4,6,7
"3",0,0,1,4,2,3,5,7,8,6
"4",0,1,1,3,2,4,5,8,6,7
"5",1,1,2,1,4,3,6,5,8,7
"6",0,0,1,2,3,5,4,6,7,8
"7",0,0,1,2,3,5,4,6,7,8
"8",1,1,2,1,4,3,6,5,8,7
"9",0,0,1,2,3,4,5,6,8,7
"10",0,0,1,2,4,3,7,5,6,8
"11",1,0,1,2,5,4,3,8,7,6
"12",0,1,1,2,3,5,4,6,7,8
"13",1,0,1,2,3,4,6,5,7,8
"14",0,0,1,2,3,5,4,6,7,8
"15",0,0,1,2,3,4,5,8,6,7
"16",0,1,1,3,4,2,6,5,8,7
"17",1,1,2,1,4,3,6,5,8,7
"18",1,1,2,1,4,3,6,5,8,7
"19",0,0,1,2,3,4,6,7,5,8
"20",0,0,1,2,4,3,6,5,8,7
"21",0,1,1,3,2,4,6,5,7,8
"22",1,1,2,1,4,3,6,5,8,7
"23",0,1,1,3,2,4,6,8,5,7
"24",0,1,1,2,3,5,4,7,8,6
"25",0,0,1,2,4,3,5,6,7,8
"26",1,0,1,2,3,4,5,6,8,7
"27",1,0,1,2,4,3,5,7,6,8
"28",1,0,1,2,3,4,5,7,6,8
"29",1,0,1,2,4,3,6,7,8,5
"30",0,1,1,2,3,4,6,7,5,8
"31",0,0,1,2,3,4,5,6,7,8
"32",1,0,1,2,4,3,6,5,8,7
"33",1,0,1,2,3,5,4,7,8,6
"34",1,0,2,1,3,4,5,7,6,8
"35",1,1,2,1,4,3,6,5,8,7
"36",1,1,2,1,4,3,6,5,8,7
"37",1,0,1,4,3,2,6,7,5,8
"38",0,1,1,2,3,4,5,6,7,8
"39",0,0,1,2,3,4,6,5,7,8
"40",0,0,1,2,4,3,5,6,7,8
"41",1,0,1,2,3,4,5,6,7,8
"42",0,1,2,1,3,4,5,7,6,8
"43",0,0,1,2,3,4,6,8,7,5
"44",1,0,1,2,3,4,6,5,8,7
"45",0,0,1,2,4,3,7,5,6,8
"46",0,1,3,1,2,4,8,5,6,7
"47",0,1,1,2,3,6,4,5,7,8
"48",0,0,1,2,3,5,6,7,4,8
"49",0,1,2,1,3,6,4,5,8,7
"50",0,0,1,2,3,4,5,7,6,8
"51",1,0,1,2,4,3,7,6,5,8
"52",0,0,1,2,3,4,5,6,7,8
"53",0,1,1,3,4,2,5,6,7,8
"54",0,0,1,2,3,4,6,5,7,8
"55",0,0,1,2,3,6,4,5,8,7
"56",1,0,1,2,3,4,5,6,7,8
"57",1,1,2,1,4,3,6,5,8,7
"58",0,0,1,3,2,6,5,4,8,7
"59",1,1,2,1,4,3,6,5,8,7
"60",0,0,1,2,3,4,5,6,7,8
"61",1,1,2,1,4,3,6,5,8,7
"62",0,1,1,2,3,6,4,5,7,8
"63",0,1,1,3,2,4,5,6,8,7
"64",0,1,1,2,3,4,6,5,7,8
"65",0,0,1,2,3,4,5,6,7,8
"66",0,1,1,2,4,3,5,6,7,8
"67",0,1,1,2,3,5,4,6,8,7
"68",1,1,2,1,4,3,6,5,8,7
"69",0,0,1,4,2,3,6,5,7,8
"70",1,0,1,2,3,5,4,7,6,8
"71",1,0,1,2,3,4,7,6,5,8
"72",1,1,2,1,4,3,6,5,8,7
"73",1,1,2,1,4,3,6,5,8,7
"74",1,1,2,1,4,3,6,5,8,7
"75",1,1,2,1,4,3,6,5,8,7
"76",0,0,1,2,3,4,5,7,8,6
"77",1,0,1,2,3,5,4,7,8,6
"78",1,1,2,1,4,3,6,5,8,7
"79",1,0,1,2,3,4,5,6,8,7
"80",1,0,1,2,3,4,5,6,7,8
"81",0,1,1,2,3,4,5,6,7,8
"82",0,1,1,2,4,3,5,6,8,7
"83",1,0,1,2,3,4,6,5,7,8
"84",1,1,2,1,4,3,6,5,8,7
"85",1,1,2,1,4,3,6,5,8,7
"86",0,1,1,2,3,4,6,5,7,8
"87",0,0,1,2,3,4,5,7,6,8
"88",0,0,1,2,4,3,6,5,8,7
"89",0,0,1,2,3,4,5,6,7,8
"90",1,0,1,2,3,4,5,6,7,8
"91",0,0,1,2,3,5,4,7,6,8
"92",1,1,2,1,4,3,6,5,8,7
"93",1,1,2,1,4,3,6,5,8,7
"94",1,0,1,2,3,5,6,4,8,7
"95",0,1,1,2,4,3,5,6,7,8
"96",1,1,2,1,4,3,6,5,8,7
"97",0,0,1,2,3,4,5,7,6,8
"98",1,0,1,2,4,3,5,6,7,8
"99",1,1,2,1,4,3,6,5,8,7
"100",0,0,1,2,3,4,6,5,7,8
