"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,0,3,1,2,4,6,5,9,8,7,28,31,10,13,11,14,12,29,32,17,15,19,16,22,27,30,24,26,25,18,23,21,20
"2",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"3",0,1,1,2,3,5,4,7,6,14,8,9,13,11,10,32,12,21,15,20,16,17,30,31,29,23,22,19,18,27,24,26,28,25
"4",0,1,1,2,3,5,4,6,8,7,25,9,11,14,15,29,32,10,12,13,20,30,26,24,31,28,16,27,21,17,18,19,23,22
"5",1,0,1,3,2,4,6,5,7,9,30,8,32,10,12,11,13,15,19,31,18,14,17,16,27,29,23,21,20,26,28,24,25,22
"6",0,1,1,2,3,4,6,8,5,32,7,14,11,9,10,15,12,18,13,31,30,26,16,28,17,27,29,25,19,20,22,21,24,23
"7",0,0,2,1,5,3,4,6,8,9,7,13,10,11,14,12,32,28,17,24,26,31,30,15,16,29,22,27,23,21,25,20,19,18
"8",1,0,1,2,3,4,6,5,9,7,8,30,10,12,13,17,32,27,14,11,29,16,31,19,15,20,18,24,28,26,23,21,25,22
"9",1,0,1,3,2,4,5,6,8,9,7,10,13,14,12,11,15,32,24,29,23,21,25,30,26,27,22,28,31,16,17,19,20,18
"10",1,0,1,2,3,7,4,5,6,9,16,10,14,8,13,15,11,12,20,29,17,32,28,31,27,19,21,30,25,24,18,23,22,26
"11",0,0,1,4,3,2,5,7,6,8,15,9,14,10,12,16,27,11,32,13,18,23,20,17,29,19,31,30,21,26,22,25,24,28
"12",1,0,1,2,3,4,6,5,7,8,10,9,12,31,13,11,32,20,17,19,16,15,14,24,30,23,29,28,21,18,26,27,25,22
"13",1,0,1,2,3,4,6,5,7,8,10,13,9,30,11,32,22,12,31,15,19,17,18,14,21,16,20,26,29,24,25,23,27,28
"14",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"15",1,0,1,2,3,6,4,5,7,8,32,27,9,10,29,14,13,11,16,12,15,30,20,17,28,24,18,31,23,21,26,19,22,25
"16",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"17",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"18",0,1,1,4,2,3,7,6,5,12,8,13,10,11,9,32,14,27,30,29,15,31,18,19,23,17,16,21,28,24,25,26,20,22
"19",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"20",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"21",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"22",1,0,1,2,3,4,5,10,7,6,9,8,32,11,17,15,12,13,16,18,14,20,30,31,19,25,27,23,26,21,29,28,22,24
