"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,0,1,0,0,1,1,1,2,3,4,5,7,8,6,13,9,10,27,11,14,31,12,19,32,26,30,16,28,17,29,18,15,23,21,24,20,25,22
"2",1,0,0,0,0,1,1,1,1,2,3,5,4,6,9,10,7,8,11,19,32,15,12,13,17,14,16,20,30,22,21,31,29,25,18,28,27,23,24,26
"3",0,0,1,1,0,1,1,1,1,2,3,4,5,6,8,12,16,11,7,9,29,22,15,17,14,10,18,13,32,23,30,21,25,19,20,28,26,31,27,24
"4",0,1,1,1,0,1,0,1,1,2,3,4,5,7,6,10,8,9,13,12,24,11,14,32,21,23,30,29,31,16,18,28,15,22,17,19,20,25,26,27
"5",0,1,0,0,0,0,1,0,2,1,3,5,8,4,6,7,9,10,11,12,16,15,13,19,31,17,14,18,20,24,32,25,30,28,21,29,26,23,27,22
"6",0,0,0,0,0,0,1,0,1,2,3,4,5,6,7,9,8,11,25,10,13,15,12,32,31,30,17,14,28,18,29,19,16,24,23,26,27,21,22,20
"7",1,0,0,1,1,1,0,0,1,2,3,4,5,7,6,8,9,31,10,14,30,12,11,15,13,20,16,32,19,18,21,27,17,24,28,25,23,29,26,22
"8",0,1,1,1,1,0,1,1,1,5,2,3,4,9,7,8,6,10,14,11,29,12,32,13,15,31,16,28,19,18,17,20,30,27,21,24,22,26,23,25
"9",0,1,0,0,0,0,0,1,1,2,3,8,4,7,5,6,9,10,18,12,15,31,32,11,13,20,14,30,16,27,17,21,28,25,23,19,29,24,22,26
"10",1,0,1,1,0,1,1,1,1,2,3,4,6,5,8,10,9,7,11,12,17,13,15,16,14,31,20,32,23,19,30,24,21,18,29,28,27,25,26,22
"11",1,0,0,1,0,1,0,0,1,2,3,5,4,6,8,7,14,10,9,11,16,12,22,19,32,15,13,21,26,20,25,29,17,28,31,23,27,30,24,18
"12",1,0,1,0,0,0,0,0,1,2,3,4,6,5,9,7,13,8,10,14,11,12,16,15,17,26,32,18,30,31,19,28,22,29,27,23,21,24,20,25
"13",1,0,1,1,0,1,0,1,3,1,2,4,7,5,6,9,8,19,30,32,11,10,27,31,12,25,16,15,23,13,18,24,14,17,21,28,29,20,26,22
"14",0,1,0,0,1,0,0,1,1,2,3,5,6,4,8,7,11,12,32,9,16,15,10,13,14,31,30,19,27,28,29,25,24,26,17,20,18,21,22,23
"15",0,0,1,0,1,1,1,0,1,2,3,5,4,7,6,8,11,10,32,9,12,16,13,17,18,20,15,14,22,23,31,19,30,29,24,21,26,28,25,27
"16",0,0,1,1,0,0,0,1,1,2,3,4,5,6,7,8,10,13,17,16,9,32,11,14,19,12,30,15,29,31,18,22,24,28,23,20,26,21,27,25
"17",0,0,0,0,1,0,1,1,1,2,3,4,5,6,8,32,7,12,31,30,13,11,9,14,10,15,18,28,17,19,16,29,22,27,21,24,25,23,20,26
"18",0,1,0,1,1,0,1,1,1,3,2,5,4,6,8,7,9,32,31,21,11,10,12,30,29,14,27,26,28,24,22,13,16,17,19,20,25,15,18,23
"19",0,1,0,1,1,1,1,0,1,2,3,4,5,15,7,8,6,9,32,31,10,11,24,29,12,16,25,14,13,18,28,30,17,22,26,20,27,19,21,23
"20",1,0,1,1,0,0,0,1,1,2,3,4,7,5,6,8,9,10,29,13,23,30,11,12,24,32,14,15,17,31,16,18,21,25,28,20,22,19,27,26
"21",0,0,1,0,1,0,0,0,2,1,3,5,6,4,10,8,9,7,30,29,12,32,18,11,31,27,28,25,14,13,17,16,15,26,23,21,20,24,19,22
"22",1,0,0,0,1,0,1,1,1,2,3,4,5,6,10,9,8,7,12,13,32,11,14,15,31,25,30,16,27,29,23,19,21,17,26,24,20,18,28,22
"23",1,1,0,1,0,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"24",1,1,0,1,1,0,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"25",1,0,0,1,0,0,1,0,1,2,3,5,4,7,6,8,9,16,14,11,10,13,12,15,32,29,18,31,17,24,30,22,20,27,19,21,23,28,25,26
"26",1,0,1,1,1,1,0,0,1,2,4,3,5,7,6,9,32,8,11,10,12,14,16,13,19,15,31,18,17,30,27,20,23,28,29,24,22,21,26,25
"27",0,1,0,1,0,0,1,0,1,2,3,5,4,6,8,7,10,11,9,13,12,32,21,15,31,16,30,28,24,29,20,14,27,17,26,25,18,23,22,19
"28",1,1,0,0,0,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"29",1,0,0,0,0,0,0,1,2,1,3,4,6,5,10,8,7,9,32,28,11,12,13,17,15,31,27,30,14,16,26,23,29,22,25,24,20,21,19,18
"30",0,1,1,0,0,0,1,0,1,2,3,4,6,5,7,13,12,8,9,11,32,10,16,18,14,17,15,23,20,19,31,30,21,24,25,22,27,29,28,26
"31",1,0,0,1,0,0,1,1,1,2,4,3,5,6,7,9,10,12,8,11,15,13,16,31,32,18,14,29,24,21,17,28,19,20,23,26,30,27,25,22
"32",0,0,1,1,1,1,0,1,1,3,2,4,7,6,5,8,12,10,11,9,20,17,13,31,32,21,15,27,14,30,22,19,16,29,18,23,26,25,24,28
"33",1,1,1,0,1,0,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"34",0,1,0,1,0,0,1,1,2,1,3,6,5,4,7,31,8,15,32,9,10,29,13,11,12,16,17,14,23,28,25,21,30,26,20,27,18,22,24,19
"35",0,1,0,0,0,1,1,0,1,2,5,3,4,6,9,7,8,31,28,14,13,12,10,11,20,32,17,15,16,27,19,26,29,23,30,22,18,24,21,25
"36",1,1,1,1,1,1,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"37",1,1,0,1,1,1,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"38",0,0,0,0,1,1,0,1,1,2,3,4,5,8,7,6,14,11,9,10,13,12,23,32,29,31,20,30,15,24,28,17,16,19,18,21,25,27,22,26
"39",1,0,0,1,0,0,1,1,1,3,2,4,5,10,9,6,11,7,8,13,12,32,24,31,14,17,15,16,25,30,23,19,18,22,20,29,21,27,26,28
"40",1,0,1,1,1,1,0,1,1,2,3,4,5,9,6,7,12,8,10,11,13,16,32,28,14,29,30,15,31,19,24,17,27,18,20,26,25,23,21,22
"41",1,0,1,0,1,0,0,0,1,2,3,4,5,6,7,9,15,8,16,11,31,10,13,32,14,17,12,25,19,30,29,21,24,27,20,28,23,26,18,22
"42",0,0,0,1,0,0,0,1,1,2,3,4,5,6,9,10,8,31,7,26,12,28,32,22,16,11,30,21,13,27,25,20,18,14,15,29,17,24,23,19
"43",1,1,1,0,0,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"44",0,1,0,1,0,0,1,1,1,2,3,4,5,9,6,7,10,8,32,12,31,13,11,15,16,14,30,19,20,17,18,21,22,28,27,24,23,25,26,29
"45",1,0,0,1,1,1,0,0,1,2,4,3,5,7,9,8,6,10,14,32,13,11,12,28,18,16,30,29,15,31,26,17,21,20,25,27,24,23,19,22
"46",1,1,0,1,0,0,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"47",0,0,1,0,1,0,0,0,1,2,3,6,4,5,9,7,8,11,12,13,31,10,32,28,15,16,30,29,27,18,17,22,14,24,20,21,25,19,26,23
"48",1,1,1,1,0,1,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"49",0,0,0,0,0,1,1,0,1,2,3,5,4,6,8,10,12,7,9,11,13,17,32,14,15,31,30,28,22,16,20,19,18,21,24,27,29,23,26,25
"50",1,0,0,1,1,0,1,0,1,3,2,4,5,6,8,7,9,11,29,13,12,10,14,31,32,16,28,17,15,18,30,20,24,27,22,26,19,25,23,21
"51",1,1,1,0,1,0,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"52",0,1,0,1,0,0,1,1,1,2,3,4,5,6,8,12,9,7,10,11,31,15,26,32,13,16,14,17,19,23,18,30,29,27,21,24,28,22,20,25
"53",0,1,1,1,1,0,1,1,1,2,3,5,4,9,6,7,8,12,11,10,32,16,30,15,31,13,19,28,22,14,25,29,27,18,23,26,17,21,24,20
"54",0,0,1,0,0,1,1,0,1,2,3,4,5,32,11,6,14,7,8,13,10,9,16,12,15,31,30,21,19,26,25,17,18,23,20,22,28,27,29,24
"55",1,1,0,1,1,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"56",1,1,0,0,0,0,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"57",0,0,1,0,1,0,1,1,1,2,3,4,6,5,7,8,12,9,10,13,11,31,24,20,32,14,21,29,17,30,27,26,28,15,25,22,23,18,16,19
"58",1,1,0,0,0,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"59",1,0,0,1,1,1,0,1,1,2,3,4,5,7,6,8,9,10,30,28,11,12,32,16,13,15,17,31,26,24,29,14,27,25,19,18,22,23,21,20
"60",0,1,0,0,0,0,1,1,1,2,3,5,4,7,6,8,9,10,32,15,31,14,13,11,12,29,28,27,26,21,17,30,25,19,16,18,22,23,24,20
"61",0,1,1,1,1,1,0,0,1,3,2,4,5,7,6,9,8,32,13,12,17,10,11,14,30,29,28,26,21,15,31,24,25,16,19,27,22,18,20,23
"62",0,0,0,1,0,1,1,1,1,2,3,4,7,5,6,10,13,9,8,25,32,11,14,15,23,28,31,16,30,27,12,29,22,26,20,17,24,21,19,18
"63",1,0,1,1,1,1,0,0,1,3,2,4,5,6,10,7,9,8,32,13,11,12,14,15,20,30,16,31,17,26,28,27,18,19,29,23,22,25,24,21
"64",1,1,0,1,1,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"65",0,0,1,0,0,0,0,0,1,2,5,3,4,7,9,6,10,15,11,8,13,12,21,16,17,30,14,31,32,24,18,27,19,28,29,23,20,25,22,26
"66",0,0,0,0,1,1,0,1,2,1,3,4,5,7,6,9,8,11,10,31,32,12,14,13,22,28,18,15,23,27,16,17,30,20,29,19,26,24,21,25
"67",1,1,1,0,1,0,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"68",0,1,1,0,0,0,0,1,1,2,6,4,3,5,7,8,11,9,10,25,12,16,13,15,14,30,31,19,28,24,32,17,18,27,26,29,21,20,22,23
"69",0,0,0,0,1,1,1,0,1,2,3,4,5,8,6,7,9,13,11,19,10,17,15,12,16,31,14,18,26,32,23,20,27,28,30,21,29,25,22,24
"70",0,0,1,0,0,1,1,0,1,2,6,3,5,4,9,7,8,30,32,12,11,29,10,15,31,14,28,16,26,13,17,18,19,20,25,21,27,24,22,23
"71",0,1,0,1,0,0,0,1,1,2,3,4,5,8,6,9,7,25,32,29,11,10,18,30,12,13,27,14,19,31,28,26,24,16,15,17,23,20,22,21
"72",0,0,0,1,1,0,1,1,2,1,3,4,6,10,32,5,8,26,7,9,31,27,12,11,30,15,29,28,23,25,13,16,14,17,24,19,22,21,20,18
