"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",1,0,1,2
"3",0,0,1,2
"4",1,1,2,1
"5",1,0,2,1
"6",0,1,1,2
"7",1,0,1,2
"8",0,1,1,2
"9",1,0,1,2
"10",0,1,1,2
"11",0,1,1,2
"12",1,1,2,1
"13",0,1,1,2
"14",0,0,1,2
"15",1,0,1,2
"16",0,1,1,2
"17",1,0,1,2
"18",1,0,2,1
"19",1,1,2,1
"20",0,1,1,2
"21",1,1,2,1
"22",0,0,1,2
"23",0,1,1,2
"24",1,1,2,1
"25",0,0,1,2
"26",1,0,1,2
"27",1,0,1,2
"28",1,1,2,1
"29",0,1,1,2
"30",1,0,1,2
"31",0,1,1,2
"32",0,0,1,2
"33",0,0,1,2
"34",0,0,1,2
"35",1,1,2,1
"36",1,0,1,2
"37",1,0,1,2
"38",1,1,2,1
"39",0,1,1,2
"40",0,0,1,2
"41",1,1,2,1
"42",0,1,1,2
"43",1,0,1,2
"44",0,0,1,2
"45",1,0,1,2
"46",0,1,1,2
"47",0,0,1,2
"48",1,1,2,1
"49",1,0,1,2
"50",0,1,1,2
"51",0,0,1,2
"52",0,1,1,2
"53",0,1,2,1
"54",1,1,2,1
"55",1,0,1,2
"56",0,1,1,2
"57",1,1,2,1
"58",1,1,2,1
"59",1,0,1,2
"60",0,0,1,2
"61",0,0,1,2
"62",1,0,1,2
"63",1,0,1,2
"64",0,0,1,2
"65",1,0,1,2
"66",1,1,2,1
"67",0,0,1,2
"68",1,0,1,2
"69",1,0,1,2
"70",1,1,2,1
"71",1,1,2,1
"72",0,0,1,2
"73",0,1,1,2
"74",1,0,1,2
"75",0,0,1,2
"76",0,0,1,2
"77",1,0,1,2
"78",0,0,1,2
"79",0,0,1,2
"80",1,1,2,1
"81",1,0,1,2
"82",0,1,1,2
"83",0,1,2,1
"84",0,1,1,2
"85",0,0,1,2
"86",0,1,1,2
"87",0,0,1,2
"88",1,1,2,1
"89",0,0,1,2
"90",0,0,1,2
"91",0,1,1,2
"92",1,0,1,2
"93",1,1,2,1
"94",1,0,1,2
"95",1,1,2,1
"96",0,1,1,2
"97",0,0,1,2
"98",0,0,2,1
"99",0,0,1,2
"100",1,1,2,1
"101",0,0,2,1
"102",1,0,2,1
"103",0,1,1,2
"104",0,0,1,2
"105",0,0,1,2
"106",0,1,1,2
"107",1,0,1,2
"108",1,1,2,1
"109",0,0,1,2
"110",1,1,2,1
"111",0,1,1,2
"112",1,1,2,1
"113",1,0,1,2
"114",0,1,1,2
"115",0,0,1,2
"116",0,0,1,2
