"","descriptor1","descriptor2","party1","party2"
"1",1,0,1,2
"2",0,0,1,2
"3",1,0,1,2
"4",1,1,2,1
"5",1,1,2,1
"6",1,1,2,1
"7",0,1,1,2
"8",0,0,1,2
"9",0,1,1,2
"10",0,1,2,1
"11",0,1,1,2
"12",1,0,1,2
"13",1,0,2,1
"14",0,1,1,2
"15",0,0,1,2
"16",0,0,1,2
"17",1,0,1,2
"18",0,1,2,1
"19",0,0,1,2
"20",0,0,1,2
"21",1,0,1,2
"22",0,0,1,2
"23",1,1,2,1
"24",1,0,1,2
"25",1,0,1,2
"26",1,0,1,2
"27",1,0,1,2
"28",1,0,1,2
"29",0,0,1,2
"30",1,1,2,1
"31",1,1,2,1
"32",0,1,1,2
"33",0,0,1,2
"34",1,1,2,1
"35",0,0,1,2
"36",1,0,1,2
"37",1,0,1,2
"38",0,1,1,2
"39",0,0,1,2
"40",1,1,2,1
"41",1,0,1,2
"42",1,1,2,1
"43",0,0,2,1
"44",0,0,1,2
"45",0,1,1,2
"46",0,0,1,2
"47",0,0,1,2
"48",1,0,1,2
"49",0,0,1,2
"50",0,0,1,2
"51",0,1,1,2
"52",0,1,1,2
"53",0,1,1,2
"54",0,1,1,2
"55",0,0,1,2
"56",1,0,1,2
"57",1,1,2,1
"58",1,0,1,2
"59",1,1,2,1
"60",1,1,2,1
"61",1,0,1,2
"62",1,1,2,1
"63",1,0,1,2
"64",1,1,2,1
"65",1,0,1,2
"66",1,0,1,2
"67",0,0,1,2
"68",1,0,1,2
"69",1,0,1,2
"70",0,1,1,2
"71",1,0,1,2
"72",1,1,2,1
"73",1,1,2,1
"74",0,0,1,2
"75",1,0,1,2
"76",0,1,1,2
"77",0,0,1,2
"78",1,1,2,1
"79",1,1,2,1
"80",0,1,1,2
"81",0,1,1,2
"82",1,1,2,1
"83",0,1,1,2
"84",0,0,1,2
"85",1,1,2,1
"86",1,0,1,2
"87",1,1,2,1
"88",0,1,1,2
"89",0,1,1,2
"90",1,1,2,1
"91",0,0,1,2
"92",0,1,1,2
"93",0,1,1,2
"94",0,0,1,2
"95",1,0,1,2
"96",1,0,1,2
"97",1,1,2,1
"98",1,0,1,2
"99",1,0,1,2
"100",0,0,1,2
"101",0,0,1,2
"102",0,0,1,2
"103",1,0,1,2
"104",0,1,1,2
"105",0,1,1,2
"106",0,1,1,2
"107",1,0,1,2
"108",0,1,1,2
"109",1,0,1,2
"110",0,0,1,2
"111",1,0,1,2
"112",0,0,1,2
"113",0,1,1,2
"114",1,0,1,2
"115",1,0,1,2
"116",0,0,1,2
"117",1,1,2,1
"118",1,0,1,2
"119",0,1,1,2
"120",0,0,1,2
"121",1,1,2,1
"122",0,0,1,2
