"","descriptor1","descriptor2","party1","party2"
"1",0,1,2,1
"2",0,0,1,2
"3",0,1,2,1
"4",0,0,1,2
"5",1,1,2,1
"6",0,1,1,2
"7",1,1,2,1
"8",0,0,1,2
"9",1,1,2,1
"10",0,1,1,2
"11",0,1,1,2
"12",1,1,2,1
"13",1,1,2,1
"14",0,0,1,2
"15",0,0,1,2
"16",0,0,1,2
"17",0,0,1,2
"18",0,1,1,2
"19",0,1,1,2
"20",0,1,1,2
"21",1,1,2,1
"22",0,1,1,2
"23",1,0,1,2
"24",1,0,1,2
"25",1,0,1,2
"26",1,1,2,1
"27",0,0,1,2
"28",0,1,2,1
"29",0,1,1,2
"30",0,1,1,2
"31",0,0,1,2
"32",1,0,1,2
"33",0,1,1,2
"34",0,1,1,2
"35",1,1,2,1
"36",1,0,1,2
"37",1,1,2,1
"38",0,0,2,1
"39",1,1,2,1
"40",0,1,1,2
"41",1,0,1,2
"42",1,1,2,1
"43",1,0,1,2
"44",0,1,2,1
"45",0,1,1,2
"46",1,1,2,1
"47",1,0,1,2
"48",0,1,1,2
"49",0,1,1,2
"50",1,1,2,1
"51",1,1,2,1
"52",1,0,1,2
"53",1,1,2,1
"54",0,1,1,2
"55",1,1,2,1
"56",0,1,1,2
"57",0,1,1,2
"58",0,1,1,2
"59",1,0,1,2
"60",0,1,1,2
"61",0,1,1,2
"62",1,0,1,2
"63",1,0,1,2
"64",1,1,2,1
"65",0,0,1,2
"66",0,1,2,1
"67",1,0,1,2
"68",0,1,1,2
"69",1,0,1,2
"70",1,1,2,1
"71",1,1,2,1
"72",1,0,1,2
"73",0,1,1,2
"74",0,1,1,2
"75",0,1,1,2
"76",1,0,2,1
"77",1,1,2,1
"78",1,1,2,1
"79",0,0,2,1
"80",1,1,2,1
"81",0,1,1,2
"82",0,0,1,2
"83",0,1,1,2
"84",0,1,1,2
"85",1,1,2,1
"86",1,0,1,2
"87",1,1,2,1
"88",0,0,1,2
"89",0,0,1,2
"90",1,0,1,2
"91",0,0,1,2
"92",1,0,1,2
"93",1,0,1,2
"94",0,1,1,2
"95",1,1,2,1
"96",1,1,2,1
"97",0,0,1,2
"98",1,0,2,1
"99",1,0,1,2
"100",0,1,1,2
