"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,2,3,4,6,5,9,7,8,11,10,13,18,12,14,15,16,31,32,17,21,20,22,19,25,26,24,30,29,27,23,28
"2",0,0,1,2,3,5,6,4,7,12,10,9,11,8,25,32,18,31,13,14,15,16,23,19,17,30,29,22,27,28,26,20,24,21
"3",1,0,1,2,3,4,7,5,6,8,9,10,32,14,16,11,12,17,19,13,20,31,15,22,30,27,18,29,28,26,21,23,25,24
"4",0,1,1,2,5,4,3,6,7,8,9,11,10,12,13,30,14,32,19,18,31,16,15,17,27,25,20,24,22,28,29,26,23,21
"5",1,0,1,2,3,4,5,7,6,8,9,32,13,10,15,16,23,17,29,11,12,14,31,20,25,24,18,30,21,28,19,27,26,22
"6",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",1,0,1,3,2,4,5,6,8,7,9,10,13,11,12,28,31,15,32,14,29,16,17,20,30,19,18,27,24,25,26,21,22,23
"8",0,0,1,3,2,5,7,4,6,9,8,10,12,13,32,11,15,17,14,29,30,20,18,28,21,16,26,31,22,19,23,27,25,24
"9",1,0,1,2,3,4,5,6,31,7,8,9,30,12,10,18,32,11,27,23,29,13,14,26,20,28,16,19,15,17,24,21,25,22
"10",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",0,1,1,2,3,4,5,9,6,8,14,7,10,12,13,11,15,29,27,32,18,17,16,21,23,20,30,19,31,24,28,25,26,22
"12",1,0,1,2,4,3,5,6,7,8,9,12,10,14,21,15,11,13,32,22,27,19,30,17,31,20,29,16,18,26,28,23,24,25
"13",1,0,1,2,3,4,5,6,8,7,9,10,12,11,29,14,13,31,32,15,30,18,16,20,28,17,19,24,21,27,22,23,26,25
"14",1,0,1,2,11,3,4,5,7,6,32,20,9,10,8,13,19,16,12,14,17,30,15,27,23,31,24,18,26,29,28,25,21,22
"15",0,0,1,2,3,7,4,8,5,6,9,32,10,14,11,29,30,31,12,13,18,15,17,16,28,21,24,23,19,27,20,26,22,25
"16",0,1,1,2,3,4,5,6,7,9,8,31,18,10,29,32,27,23,11,14,30,26,12,13,16,15,25,22,28,17,19,20,24,21
"17",1,0,1,2,3,4,5,6,7,8,9,10,13,11,26,32,12,14,16,15,29,30,31,17,24,20,18,19,28,25,27,21,22,23
"18",1,0,1,2,3,4,5,6,8,32,7,9,14,29,10,31,26,11,12,27,13,23,30,16,22,25,20,17,15,24,28,19,21,18
"19",0,1,1,3,2,5,4,6,7,8,11,10,9,13,12,29,14,30,16,15,32,28,22,19,31,27,17,20,26,18,25,23,21,24
"20",1,0,1,3,2,4,5,6,32,8,7,9,11,12,15,10,31,14,25,13,20,30,16,22,29,23,19,17,18,28,21,27,24,26
"21",0,0,1,2,3,4,5,10,6,8,7,9,11,17,13,12,15,14,32,23,21,30,20,24,16,31,18,29,19,22,28,26,25,27
"22",1,0,1,2,3,5,7,4,6,12,13,32,8,11,9,22,10,24,29,16,31,21,23,30,14,28,20,27,15,18,25,17,19,26
"23",0,0,1,2,3,4,5,6,9,7,8,32,10,11,13,14,30,12,15,16,23,18,25,31,17,29,19,21,28,20,22,24,27,26
"24",1,0,1,2,3,5,4,6,9,7,12,8,32,13,16,10,11,29,22,31,14,30,26,27,23,24,25,28,21,20,17,18,15,19
"25",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"26",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"27",0,1,1,2,4,3,5,14,6,7,15,9,10,8,16,32,11,12,13,31,20,17,27,18,28,19,29,30,21,22,24,25,26,23
"28",1,0,1,2,3,5,4,6,13,7,8,12,20,11,10,9,14,17,15,18,16,23,22,24,19,25,21,32,28,26,29,31,30,27
"29",0,0,1,2,3,4,5,6,7,13,11,8,9,28,14,10,12,15,26,30,17,25,31,16,32,29,20,18,27,22,19,23,24,21
"30",0,1,1,2,3,4,6,7,9,12,5,13,16,10,8,11,32,28,31,15,29,14,17,30,27,19,22,26,18,23,25,21,24,20
"31",0,0,1,2,3,4,5,11,6,10,7,8,32,9,12,13,15,14,31,30,20,27,17,18,19,16,28,23,29,25,21,22,26,24
"32",0,1,1,3,2,4,6,5,11,8,7,17,10,32,9,25,14,27,12,13,16,28,29,30,31,15,23,24,20,18,26,19,21,22
"33",0,1,1,2,3,4,6,5,9,10,7,11,8,12,13,14,15,16,21,31,17,20,30,32,18,29,19,26,24,22,23,27,28,25
"34",1,0,1,2,3,4,6,5,7,8,9,12,31,10,17,32,30,13,15,19,11,14,16,21,26,20,18,25,29,22,23,24,28,27
"35",1,0,1,2,5,3,4,8,6,7,32,9,10,31,13,29,27,30,26,25,11,16,24,28,15,12,17,14,22,21,18,19,20,23
"36",0,0,2,1,3,4,6,5,7,8,32,17,10,9,30,13,11,31,14,29,26,25,12,27,15,28,19,24,16,22,20,21,23,18
"37",1,0,1,2,3,4,5,8,6,9,7,12,10,13,19,14,11,15,16,21,18,17,22,20,32,23,26,24,29,25,30,27,31,28
"38",0,1,1,2,4,3,6,7,5,8,9,16,11,10,12,32,18,15,13,31,29,14,30,17,25,20,19,22,28,27,26,24,21,23
"39",1,0,1,2,3,5,4,6,9,12,11,20,7,8,10,13,14,29,17,16,31,32,30,18,15,24,28,27,19,25,21,26,22,23
"40",0,1,1,2,3,4,6,5,8,7,14,9,10,16,11,13,19,12,32,15,30,18,17,20,31,28,24,22,26,21,23,27,25,29
"41",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"42",0,1,1,3,2,4,7,5,6,8,9,10,13,29,11,14,15,32,31,12,23,28,27,25,16,18,19,17,30,20,24,21,26,22
"43",0,1,1,2,3,4,6,5,7,9,10,8,11,20,14,31,32,16,28,25,12,29,17,13,15,22,23,30,21,18,27,26,19,24
"44",0,0,1,2,3,4,6,5,10,7,8,9,18,30,16,11,32,14,12,13,15,29,17,20,19,28,31,21,23,25,26,22,24,27
"45",0,0,1,2,4,3,6,8,5,9,7,11,32,10,31,25,14,13,12,15,29,22,26,30,28,18,27,16,17,20,23,24,21,19
"46",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"47",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"48",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"49",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"50",0,0,1,2,3,4,5,6,7,10,12,8,9,14,32,11,30,15,17,13,31,16,21,29,19,20,18,28,23,26,22,25,24,27
"51",1,0,1,2,4,3,5,6,7,8,9,11,10,20,13,12,14,32,15,19,23,27,16,30,17,26,18,28,22,31,24,25,29,21
"52",0,0,1,2,3,4,5,6,7,8,9,30,10,19,11,17,29,13,31,32,16,18,22,12,15,14,23,27,28,26,24,25,21,20
"53",0,1,1,3,2,4,5,6,7,8,10,9,11,17,13,16,12,25,15,14,32,21,19,31,29,18,30,20,22,26,23,27,28,24
"54",0,1,1,2,3,4,6,5,7,9,8,10,13,14,12,31,32,11,30,27,15,16,20,29,28,17,23,22,19,25,18,26,21,24
"55",0,0,1,2,3,4,6,5,7,32,8,11,10,17,9,12,13,14,15,16,29,31,22,18,21,30,25,28,24,23,19,20,26,27
"56",0,1,1,2,3,5,4,6,7,31,11,8,17,32,9,10,14,12,13,15,16,20,30,19,18,29,22,28,24,25,21,23,27,26
"57",0,0,2,1,3,4,6,5,8,7,9,11,10,13,31,32,14,12,30,16,19,24,28,18,15,17,20,27,23,21,25,26,22,29
"58",0,1,1,3,2,4,18,5,6,7,9,13,11,8,32,10,12,31,17,14,30,28,29,15,20,16,26,25,27,21,19,24,23,22
"59",0,0,1,2,3,4,8,5,7,9,6,10,12,32,20,11,14,25,29,31,13,28,30,15,24,22,26,23,18,17,27,19,16,21
"60",0,1,1,2,3,5,4,7,6,9,10,12,8,11,13,31,14,25,32,26,30,29,16,17,15,24,20,22,27,18,28,21,19,23
"61",0,1,1,2,3,4,6,5,9,13,7,8,11,12,30,10,14,16,19,32,17,31,15,22,18,23,28,20,21,25,24,26,27,29
"62",1,0,1,2,3,5,4,6,7,8,9,10,12,32,15,29,30,13,11,24,31,23,17,28,14,27,22,16,21,26,25,19,20,18
"63",0,1,1,2,4,5,3,7,6,9,8,32,10,12,17,19,29,11,27,14,13,31,30,15,18,20,16,28,23,22,21,24,25,26
"64",1,0,1,2,3,6,4,5,7,9,11,13,8,10,18,26,28,12,17,14,32,30,31,16,15,21,19,20,24,25,27,23,29,22
"65",1,0,1,2,3,4,8,5,6,17,7,12,23,10,9,32,11,14,31,13,29,30,25,15,27,28,16,19,18,20,22,26,24,21
"66",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"67",0,0,1,2,4,3,5,8,10,6,32,7,9,31,30,15,11,13,12,16,29,20,17,14,21,25,19,18,28,22,27,24,26,23
"68",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"69",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"70",0,1,1,2,3,4,5,7,8,6,9,10,13,28,32,14,12,11,31,15,18,16,20,17,24,29,26,30,27,19,25,23,21,22
"71",0,0,1,2,5,3,4,7,6,10,8,9,11,12,13,15,21,32,31,14,24,18,20,22,17,19,16,25,27,28,23,30,26,29
"72",0,1,1,2,3,4,5,6,9,8,12,7,10,11,32,28,14,26,17,13,18,30,15,16,24,29,21,22,31,19,23,27,25,20
"73",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"74",1,0,1,2,3,4,5,7,6,8,10,9,11,13,12,14,31,15,32,17,18,19,26,30,28,22,21,16,29,27,20,23,25,24
"75",1,0,1,2,4,3,5,7,9,6,10,8,12,14,13,11,32,16,15,21,17,28,31,30,20,24,29,18,27,23,19,22,26,25
"76",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"77",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"78",0,0,1,2,3,4,6,5,7,8,9,14,11,16,10,13,12,15,31,30,32,18,17,20,23,19,27,28,25,24,21,22,29,26
"79",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"80",0,1,1,3,2,4,5,6,7,30,10,8,18,29,9,32,12,11,16,13,17,31,27,26,20,28,23,22,19,14,15,21,24,25
"81",1,0,1,2,3,4,5,32,8,7,6,10,25,9,12,11,14,31,15,19,13,30,20,18,17,22,16,21,26,29,27,24,23,28
"82",1,0,1,2,3,4,6,13,5,7,8,16,9,28,12,10,14,31,11,20,32,30,15,29,17,23,27,21,25,19,22,18,24,26
"83",0,1,1,2,3,4,5,6,8,9,7,12,10,30,13,18,32,11,20,14,15,31,16,17,23,28,29,19,27,26,21,24,25,22
"84",0,0,1,2,3,4,7,5,6,8,9,10,11,32,14,19,15,13,12,16,31,17,18,20,27,22,21,30,29,23,24,26,25,28
"85",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"86",1,0,1,2,3,4,5,13,11,9,7,10,6,8,32,16,12,30,31,28,14,15,29,17,22,26,27,21,18,19,20,24,23,25
"87",0,0,1,2,3,4,5,8,6,7,11,9,12,10,13,31,32,14,16,17,18,30,27,15,26,29,28,21,20,23,24,25,19,22
"88",1,0,1,2,3,5,4,6,10,8,7,32,9,29,30,12,11,13,28,31,19,16,27,14,18,15,20,23,17,21,24,25,26,22
"89",1,0,1,2,3,4,5,7,6,8,9,15,32,24,29,10,12,13,11,22,27,31,14,16,18,28,25,30,17,19,26,20,23,21
"90",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"91",0,0,1,2,3,7,6,4,5,8,13,9,10,12,11,32,14,18,15,26,20,21,17,23,16,31,30,19,28,22,29,24,27,25
"92",0,1,1,2,3,4,5,7,6,8,10,9,14,13,31,32,11,12,28,30,22,16,15,29,26,20,24,27,17,18,25,21,23,19
"93",0,1,1,2,4,3,5,10,6,7,8,29,32,11,9,12,31,14,30,13,26,15,24,16,21,17,18,19,28,22,23,27,25,20
"94",1,0,1,2,3,4,5,9,6,7,8,11,10,12,32,19,16,13,14,31,15,24,30,18,26,20,29,27,22,17,21,23,28,25
"95",1,0,1,4,2,3,5,7,6,8,9,15,32,10,12,13,11,14,30,27,16,18,31,29,28,24,17,26,25,23,19,21,20,22
"96",0,0,2,1,3,4,6,5,8,7,32,20,9,11,13,23,18,31,28,15,27,29,30,26,12,16,14,10,24,25,19,22,21,17
"97",0,1,1,2,3,4,5,30,15,11,8,7,6,32,9,10,31,12,16,29,28,13,14,17,22,26,18,24,23,27,21,19,20,25
"98",0,1,1,2,3,4,5,6,7,8,9,10,12,11,25,13,24,15,32,29,31,30,27,26,28,16,14,21,17,18,22,19,20,23
"99",0,0,1,2,4,3,6,5,8,7,9,31,10,32,30,29,24,20,11,12,15,25,21,28,14,13,17,27,22,19,16,18,23,26
"100",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"101",0,0,1,3,2,4,5,9,7,6,8,10,11,12,13,16,17,19,30,14,15,18,32,22,24,23,29,31,20,21,26,28,27,25
"102",1,0,2,1,3,4,6,5,9,7,8,13,11,14,10,12,25,29,32,16,30,19,15,28,26,22,27,23,24,31,21,17,18,20
"103",1,0,1,2,3,5,6,4,7,8,9,10,12,31,19,14,26,11,13,17,32,15,16,27,23,21,30,22,20,25,28,18,24,29
"104",1,0,1,2,3,4,5,6,7,10,8,9,11,31,28,12,16,32,13,29,30,17,24,14,26,20,19,18,22,27,25,15,23,21
"105",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"106",1,0,1,2,3,9,5,4,10,6,7,12,8,14,31,11,13,16,20,17,28,15,32,19,30,18,23,24,21,26,22,25,29,27
"107",0,0,1,2,3,4,5,7,6,8,11,10,9,12,31,32,29,14,13,30,28,26,24,20,17,22,27,23,15,21,25,16,18,19
"108",1,0,1,2,3,4,5,6,8,32,27,7,9,10,11,31,12,14,30,15,16,13,17,18,19,29,21,20,25,22,28,26,24,23
"109",0,0,1,2,3,5,4,6,10,7,8,11,9,12,13,31,30,16,21,14,15,20,29,32,18,28,19,26,17,22,25,27,23,24
"110",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"111",0,0,2,1,3,4,5,6,8,7,14,9,16,10,31,28,32,17,13,12,11,21,18,15,29,19,20,30,24,22,23,26,25,27
"112",1,0,1,2,3,4,7,5,6,8,10,31,32,9,16,11,12,13,14,19,15,22,17,20,30,18,29,23,21,26,24,27,28,25
"113",1,0,1,2,3,4,5,8,7,6,9,11,10,12,14,13,31,15,18,22,32,16,19,28,21,17,30,26,20,29,24,25,23,27
"114",0,1,1,2,5,3,4,6,7,32,9,11,10,31,8,15,17,26,13,16,12,14,19,29,30,22,18,27,20,21,25,24,28,23
"115",0,1,1,2,3,5,4,7,6,11,8,10,9,12,14,13,15,29,16,32,17,26,27,30,31,18,21,28,24,19,22,23,20,25
"116",1,0,1,2,4,3,6,5,7,31,9,23,29,32,8,10,13,27,12,25,30,28,11,24,14,15,26,22,19,17,21,16,20,18
"117",0,1,1,3,2,4,6,5,7,8,9,19,12,10,11,32,30,25,29,31,23,28,14,24,27,13,26,16,17,15,18,20,21,22
"118",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"119",1,0,1,2,3,4,5,7,9,6,8,13,11,10,12,15,32,14,18,16,30,17,31,19,28,21,20,23,29,27,22,26,24,25
"120",0,0,1,3,2,6,4,7,8,9,5,10,32,30,11,12,13,17,31,14,15,28,23,18,16,25,27,19,21,29,24,22,20,26
"121",0,0,1,2,3,4,5,9,7,6,8,32,10,11,12,14,22,15,13,16,17,18,30,19,28,31,20,27,23,29,24,25,21,26
"122",0,0,2,1,3,4,6,5,7,31,8,9,13,30,32,10,12,11,29,14,18,16,15,28,19,17,24,27,20,23,25,21,22,26
"123",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"124",0,0,1,2,3,5,4,6,7,8,10,9,12,11,13,25,32,14,15,16,21,31,23,17,18,20,28,26,27,24,29,19,22,30
"125",1,0,1,2,3,5,4,9,6,7,12,31,10,11,32,8,28,30,26,23,13,29,25,14,27,24,18,15,17,19,16,20,22,21
"126",0,1,1,2,3,4,5,7,6,8,11,9,19,12,10,13,15,21,14,18,30,32,16,17,23,20,31,29,22,28,25,26,24,27
"127",1,0,1,2,3,6,8,4,5,7,9,10,11,14,12,30,13,32,31,17,24,15,28,29,18,19,16,25,26,23,21,22,27,20
"128",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"129",0,1,1,2,4,3,5,6,7,8,14,24,10,9,31,32,11,12,13,28,30,19,16,26,27,15,29,18,20,22,21,17,25,23
"130",0,0,1,2,3,4,5,6,8,11,7,20,9,15,10,26,14,12,29,32,13,22,30,25,23,16,28,31,27,19,24,18,21,17
"131",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"132",0,1,1,2,3,4,6,5,7,8,10,9,11,28,12,30,32,29,13,31,27,15,14,24,17,26,25,16,21,19,23,22,20,18
"133",0,0,1,2,3,4,5,6,7,9,8,20,10,11,12,15,13,22,17,32,14,16,28,18,31,30,21,26,25,19,27,24,29,23
"134",0,0,1,2,4,3,7,5,8,6,9,11,15,14,32,10,29,30,12,13,19,17,18,31,16,28,27,25,20,24,21,22,23,26
"135",0,1,1,2,3,4,7,5,6,10,32,14,13,12,9,11,8,31,21,17,18,16,26,15,30,28,29,20,22,24,19,27,23,25
"136",1,0,1,2,3,4,5,7,6,8,9,12,14,10,11,15,32,29,13,18,30,17,16,31,20,19,24,22,21,25,23,27,26,28
"137",0,0,2,1,3,6,4,5,7,8,31,10,9,32,14,11,12,21,16,13,15,22,19,17,23,30,29,28,27,24,26,25,18,20
"138",1,0,1,3,2,4,5,6,7,11,8,10,13,17,9,12,32,31,18,15,29,19,16,14,30,28,25,27,21,26,22,20,23,24
"139",0,1,1,2,3,4,5,6,7,8,32,9,10,11,31,13,22,12,30,17,24,15,14,25,16,26,18,19,23,29,28,21,20,27
"140",1,0,2,1,3,4,5,6,8,11,7,9,13,10,14,12,15,16,32,25,31,19,29,30,20,28,22,27,17,21,26,18,24,23
"141",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"142",0,1,1,2,4,3,5,6,8,7,11,22,9,14,32,12,30,31,23,10,29,28,24,27,19,26,18,15,13,20,16,25,21,17
"143",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"144",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"145",1,0,1,3,2,4,5,6,7,8,12,32,11,9,14,13,10,31,30,16,28,27,21,29,24,25,17,26,15,18,22,23,20,19
"146",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
