"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",1,0,1,2,3,4,5,6,8,7,9,13,10,12,11,32,31,15,17,14,18,22,24,16,27,19,29,28,23,30,21,20,26,25
"3",0,1,1,2,3,4,7,5,6,9,8,19,32,16,10,17,31,14,11,30,12,13,29,15,21,23,20,27,28,24,25,18,22,26
"4",0,0,1,2,3,5,4,7,6,8,10,12,9,32,15,13,11,31,25,16,30,17,14,26,18,22,29,24,20,21,28,23,19,27
"5",0,1,2,1,3,5,4,6,7,8,10,9,11,13,32,12,31,14,17,15,28,30,19,25,21,18,16,29,27,22,20,23,24,26
"6",1,0,2,1,3,4,31,5,7,9,8,6,13,11,32,10,12,30,20,28,16,15,14,29,17,19,26,18,23,27,24,21,25,22
"7",0,1,1,2,3,4,5,7,6,9,8,10,31,32,13,11,29,17,15,18,14,12,16,30,28,22,26,25,20,27,21,23,19,24
"8",1,0,1,2,4,3,5,6,32,8,15,7,9,10,31,12,13,11,14,22,16,29,30,17,21,27,28,18,19,25,20,23,26,24
"9",0,0,1,2,3,4,6,5,8,7,12,11,10,9,13,14,28,21,29,17,23,16,32,25,26,20,15,31,30,22,18,27,19,24
"10",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",0,0,1,3,2,4,6,8,7,5,9,11,10,23,12,13,17,30,14,20,19,31,15,18,16,32,28,22,26,25,21,29,27,24
"12",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13",0,1,1,2,3,7,4,5,6,8,9,32,12,10,11,13,29,30,14,15,21,16,27,24,31,19,25,23,17,28,20,18,26,22
"14",1,0,1,2,3,4,5,6,7,12,9,10,8,13,31,11,14,32,29,17,15,20,16,18,30,25,28,26,22,23,27,19,24,21
"15",0,1,1,2,3,4,5,7,8,6,9,12,10,11,18,32,17,14,13,15,16,29,20,28,31,21,19,25,30,22,26,27,23,24
"16",0,0,1,2,3,4,5,6,9,8,7,10,11,13,12,19,16,14,28,32,21,15,20,27,26,18,17,31,25,22,30,23,24,29
"17",1,0,1,2,3,4,9,6,7,5,8,12,14,10,32,21,11,13,16,17,30,15,19,22,20,29,28,31,18,26,27,24,25,23
"18",0,1,1,2,3,4,6,5,32,7,8,9,30,28,22,10,11,15,31,14,25,12,16,13,29,26,21,27,20,19,23,18,24,17
"19",1,0,1,2,3,4,5,6,7,11,8,12,9,10,15,32,30,29,14,27,13,20,23,31,17,28,16,24,18,26,22,19,25,21
"20",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",0,1,1,2,3,5,4,6,9,7,8,10,11,13,30,15,12,32,14,19,31,29,28,24,16,27,17,26,20,23,18,22,25,21
"22",1,0,1,2,4,3,5,6,7,8,14,10,9,13,11,18,12,31,32,30,17,28,19,21,23,27,15,29,16,20,22,25,24,26
"23",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"24",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
