"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,2,3,4,5,8,6,7,11,9,25,10,19,32,12,29,13,30,14,31,27,28,23,15,20,17,22,16,18,26,24,21
"2",1,0,1,2,3,5,4,6,7,10,8,9,11,31,13,32,12,19,14,30,15,17,16,27,20,25,18,26,28,21,29,23,24,22
"3",0,0,1,2,3,4,5,7,8,6,9,10,11,30,32,31,12,18,14,15,17,29,28,13,21,23,26,19,27,16,22,24,25,20
"4",1,0,1,2,3,4,6,5,7,30,9,8,10,12,15,11,29,31,13,14,16,32,24,28,17,27,26,22,25,21,23,20,18,19
"5",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"6",0,1,2,1,5,3,4,6,7,9,8,10,30,14,32,11,12,31,17,13,27,29,15,28,25,21,16,20,18,26,19,23,24,22
"7",1,0,1,2,3,4,5,6,7,8,9,14,21,11,10,16,13,15,12,26,17,32,31,27,24,29,20,30,28,19,23,22,25,18
"8",0,1,1,3,2,4,6,5,7,8,12,9,10,14,32,16,11,13,30,27,31,15,17,29,18,26,21,22,23,25,19,28,20,24
"9",1,0,1,2,3,5,4,6,8,7,23,18,9,10,11,14,32,31,13,28,15,12,16,17,30,19,27,20,26,29,21,24,25,22
"10",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",1,0,1,2,3,4,5,6,9,10,8,11,7,16,15,14,17,13,12,32,21,28,19,18,29,30,23,20,24,27,31,26,22,25
"12",0,1,1,2,4,3,6,5,12,31,7,10,9,8,30,14,11,29,32,18,13,16,17,20,19,15,28,26,27,24,22,21,25,23
"13",1,0,1,2,3,4,7,6,5,8,16,10,11,13,9,32,12,14,17,19,31,26,29,15,18,30,20,21,23,24,22,28,27,25
"14",0,0,1,2,4,3,5,6,7,12,8,11,9,31,32,29,10,16,22,30,13,14,17,23,19,28,15,18,27,26,21,24,25,20
"15",0,1,1,2,5,3,4,7,6,8,11,27,9,10,29,30,32,31,28,22,12,13,14,26,21,20,19,15,25,16,23,24,17,18
"16",0,0,1,2,3,5,4,6,10,8,7,9,29,14,12,31,11,15,32,16,13,18,17,27,25,21,20,30,24,19,23,26,22,28
"17",1,0,1,2,3,6,5,4,8,9,11,7,10,15,13,12,31,16,14,17,32,30,27,18,29,23,25,28,20,19,22,26,21,24
"18",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
