"","descriptor1","descriptor2","party1","party2"
"1",1,1,2,1
"2",1,0,1,2
"3",1,1,2,1
"4",0,1,1,2
"5",1,0,1,2
"6",0,0,1,2
"7",1,1,2,1
"8",0,1,1,2
"9",0,0,1,2
"10",0,1,1,2
"11",1,0,1,2
"12",1,0,1,2
"13",0,1,1,2
"14",0,1,2,1
"15",0,0,1,2
"16",1,1,2,1
"17",1,0,1,2
"18",1,0,1,2
"19",0,0,1,2
"20",1,0,1,2
"21",1,0,2,1
"22",1,0,1,2
"23",0,0,1,2
"24",0,0,1,2
"25",1,1,2,1
"26",0,1,1,2
"27",0,0,1,2
"28",0,0,1,2
"29",0,1,1,2
"30",1,0,1,2
"31",0,1,1,2
"32",1,1,2,1
"33",1,0,1,2
"34",0,1,1,2
"35",1,1,2,1
"36",0,1,2,1
"37",0,0,1,2
"38",1,0,1,2
"39",0,1,2,1
"40",0,1,1,2
"41",1,0,1,2
"42",1,1,2,1
"43",1,0,1,2
"44",1,0,1,2
"45",0,0,1,2
"46",0,0,1,2
"47",0,0,1,2
"48",1,1,2,1
"49",1,0,2,1
"50",0,0,1,2
"51",0,1,2,1
"52",1,0,1,2
"53",0,0,1,2
"54",1,1,2,1
"55",0,1,1,2
"56",1,1,2,1
"57",1,1,2,1
"58",0,1,1,2
"59",1,0,1,2
"60",1,0,1,2
"61",0,0,1,2
"62",1,1,2,1
"63",0,0,2,1
"64",0,1,1,2
"65",0,1,1,2
"66",1,1,2,1
"67",1,0,1,2
"68",0,1,1,2
"69",1,1,2,1
"70",1,0,1,2
"71",0,0,2,1
"72",1,0,1,2
"73",0,1,1,2
"74",1,0,1,2
"75",1,1,2,1
"76",0,1,1,2
"77",0,0,1,2
"78",1,1,2,1
"79",0,1,1,2
"80",1,1,2,1
"81",1,0,1,2
"82",0,1,1,2
"83",1,0,1,2
"84",1,1,2,1
"85",1,1,2,1
"86",0,0,1,2
"87",1,0,1,2
"88",1,1,2,1
"89",1,0,1,2
"90",1,1,2,1
"91",1,0,1,2
"92",0,1,1,2
"93",1,0,1,2
"94",1,0,1,2
"95",1,1,2,1
"96",0,1,1,2
"97",0,0,1,2
"98",1,0,1,2
"99",1,1,2,1
"100",0,1,1,2
