"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,1,1,0,1,1,0,1,2,3,5,4,6,7,8
"2",0,0,0,1,0,0,1,0,1,2,3,7,5,4,6,8
"3",0,0,0,1,0,0,1,0,1,2,3,4,5,7,8,6
"4",0,0,1,1,0,0,1,1,1,2,4,5,3,6,8,7
"5",1,1,1,0,1,0,0,0,2,1,4,3,6,5,8,7
"6",0,1,1,0,1,1,1,0,1,2,4,3,5,6,8,7
"7",1,0,1,1,0,0,0,0,1,2,4,3,5,6,7,8
"8",1,1,1,1,0,1,1,1,2,1,4,3,6,5,8,7
"9",0,0,1,1,1,1,1,1,1,4,5,3,2,8,7,6
"10",1,1,1,1,0,0,1,0,2,1,4,3,6,5,8,7
"11",0,1,0,0,0,0,1,1,1,2,5,3,4,6,7,8
"12",0,1,0,1,0,1,0,1,1,3,2,4,5,7,8,6
"13",1,1,0,1,0,0,1,1,2,1,4,3,6,5,8,7
"14",1,1,1,0,1,1,1,0,2,1,4,3,6,5,8,7
"15",0,1,1,0,1,0,1,0,1,2,3,4,5,7,6,8
"16",1,1,0,0,0,0,1,1,2,1,4,3,6,5,8,7
"17",1,1,0,0,1,1,1,0,2,1,4,3,6,5,8,7
"18",0,0,1,0,1,1,0,1,1,2,3,6,4,5,8,7
"19",1,1,0,0,1,1,1,0,2,1,4,3,6,5,8,7
"20",1,1,0,1,1,1,1,0,2,1,4,3,6,5,8,7
"21",0,0,1,1,1,1,1,1,2,1,3,5,6,8,4,7
"22",1,1,0,1,1,0,1,0,2,1,4,3,6,5,8,7
"23",0,0,0,1,1,1,0,0,1,2,3,4,5,6,8,7
"24",1,1,0,1,0,0,1,1,2,1,4,3,6,5,8,7
"25",0,1,0,0,1,1,1,0,1,4,2,3,5,7,6,8
"26",1,0,0,0,0,0,1,1,1,2,3,4,5,6,8,7
"27",1,0,0,1,0,0,1,0,1,2,4,3,6,8,5,7
"28",1,1,0,0,1,0,0,0,2,1,4,3,6,5,8,7
"29",1,0,1,0,1,1,1,0,1,2,4,3,6,5,7,8
"30",1,0,0,0,0,0,1,1,1,2,3,4,6,5,8,7
"31",1,1,1,1,1,1,0,0,2,1,4,3,6,5,8,7
"32",1,1,1,0,0,1,0,1,2,1,4,3,6,5,8,7
"33",1,0,0,0,1,0,0,1,2,1,3,6,4,7,5,8
"34",0,0,0,1,0,0,1,0,1,2,3,4,5,8,7,6
"35",1,0,0,0,0,0,0,0,1,2,3,4,5,7,6,8
"36",1,0,0,0,1,0,1,0,1,2,4,3,5,7,8,6
"37",1,1,0,1,1,1,0,1,2,1,4,3,6,5,8,7
"38",1,0,1,0,1,1,0,0,1,3,2,5,4,8,6,7
"39",0,0,1,0,0,1,1,0,1,2,3,4,5,6,7,8
"40",0,0,1,1,0,1,0,0,1,3,2,5,4,6,8,7
"41",0,0,1,1,1,0,0,0,1,2,3,4,6,5,7,8
"42",0,1,1,1,0,0,1,0,1,2,3,5,6,4,8,7
"43",0,1,1,1,0,0,0,1,1,2,4,3,5,6,7,8
"44",1,0,0,1,1,1,0,1,1,2,3,4,5,6,7,8
"45",0,1,1,0,0,0,1,0,1,2,3,5,4,8,7,6
"46",1,0,0,1,0,0,0,1,2,1,3,5,4,6,7,8
"47",0,0,0,0,0,0,1,0,1,2,3,4,6,8,5,7
"48",0,0,0,0,1,1,1,0,1,2,3,4,6,5,7,8
"49",1,1,0,1,0,1,0,0,2,1,4,3,6,5,8,7
