"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,3,2,4,7,6,5,8,9,10,17,11,30,31,18,32,29,13,12,14,23,24,15,28,22,27,25,21,16,19,26,20
"2",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",1,0,1,2,3,4,6,5,7,8,32,9,12,16,11,10,13,31,15,18,14,21,27,26,17,25,29,22,28,30,19,24,20,23
"4",0,0,1,2,4,3,6,5,7,10,9,11,8,14,32,15,12,13,17,30,31,18,22,25,29,28,23,19,26,16,20,27,21,24
"5",0,0,1,2,3,4,9,5,6,8,10,7,13,11,14,12,31,21,29,15,20,16,18,28,32,19,30,17,22,25,24,23,26,27
"6",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"7",0,1,1,2,3,4,5,6,15,7,8,9,13,12,11,10,32,14,31,23,30,17,27,18,16,24,21,22,26,19,29,20,25,28
"8",0,1,1,2,3,5,4,8,13,6,7,10,11,9,32,12,28,14,31,24,15,16,25,30,17,20,29,18,21,19,26,23,22,27
"9",0,0,1,2,3,4,5,6,7,8,12,9,18,10,32,19,13,23,11,14,15,30,29,21,16,17,26,25,31,24,20,22,27,28
"10",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",1,0,1,2,3,4,5,15,7,6,11,8,9,32,19,13,17,10,14,30,26,12,31,25,28,16,29,23,27,22,24,21,18,20
"12",0,1,1,2,3,4,5,7,6,8,9,13,32,30,29,10,14,31,12,28,27,18,11,21,25,22,17,26,24,15,16,20,19,23
"13",1,0,1,3,2,4,5,7,6,8,11,9,10,30,29,31,13,15,32,12,21,20,28,27,14,22,23,24,17,26,16,25,18,19
"14",0,1,1,2,4,3,6,5,10,7,9,8,11,28,12,23,15,14,29,13,16,17,32,22,31,27,30,26,19,18,25,24,21,20
"15",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",1,0,1,2,3,4,5,6,7,9,12,10,8,32,17,15,16,11,30,14,13,31,19,21,29,28,18,27,26,22,24,20,23,25
"17",0,1,1,2,3,4,6,5,10,8,9,7,11,12,30,16,32,13,14,31,27,29,25,24,15,19,28,26,23,22,17,21,20,18
"18",1,0,1,2,5,3,4,8,6,7,10,9,26,25,32,28,30,13,20,12,31,16,11,14,29,18,17,15,27,24,21,19,22,23
"19",0,0,2,1,3,4,5,6,11,8,7,23,10,12,9,31,13,32,16,14,15,17,24,26,18,29,28,30,21,25,27,22,19,20
"20",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"22",0,1,1,2,6,3,5,4,8,7,9,10,14,12,11,17,13,15,16,31,24,29,32,19,18,21,26,22,28,20,30,25,23,27
"23",0,1,1,2,3,4,5,7,6,13,8,9,10,12,11,32,15,31,29,28,14,16,30,18,24,19,26,25,22,17,27,23,21,20
"24",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"25",0,0,1,2,3,4,7,6,5,8,9,13,10,11,23,31,12,30,14,15,32,20,16,22,18,19,29,26,28,25,17,21,27,24
"26",1,0,1,3,2,4,5,7,6,8,9,10,11,12,31,15,14,28,16,13,20,30,32,17,25,23,29,21,18,27,19,26,24,22
"27",0,1,1,2,3,4,8,7,5,11,6,9,10,15,12,14,13,18,17,16,24,29,32,27,25,31,19,20,21,22,30,28,23,26
"28",0,0,1,2,3,4,5,7,6,8,11,9,10,12,13,21,16,22,18,14,15,32,17,28,23,31,20,26,24,19,25,30,27,29
"29",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"30",0,0,1,2,3,4,5,9,8,6,11,10,7,14,12,18,13,16,32,15,31,29,30,19,17,28,24,26,27,21,20,25,23,22
"31",0,1,1,2,3,5,4,7,6,8,29,10,9,32,14,25,12,31,30,11,27,28,23,19,13,21,17,24,26,15,18,22,20,16
"32",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"33",0,0,1,2,3,6,5,4,9,7,12,8,11,13,10,30,15,31,16,18,32,14,19,17,29,22,21,20,27,28,23,25,26,24
